Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SNPS|2025-09-02 13:30|589.0500|596.8200|584.0050|596.8200|306473|7.7700|0.0000|5.0450|BULLISH
SNPS|2025-09-02 14:30|595.7700|596.2700|592.1550|592.3000|88164|3.4700|0.5000|0.1450|BEARISH
SNPS|2025-09-02 15:30|592.2300|592.2300|588.2254|588.6400|127544|3.5900|0.0000|0.4146|BEARISH
SNPS|2025-09-02 16:30|588.6400|591.2450|588.3700|590.7500|80747|2.1100|0.4950|0.2700|BULLISH
SNPS|2025-09-02 17:30|591.0500|591.9900|588.0000|589.8900|98199|1.1600|0.9400|1.8900|BEARISH
SNPS|2025-09-02 18:30|589.9050|591.6550|588.3000|590.4100|124495|0.5049|1.2451|1.6050|BULLISH
SNPS|2025-09-02 19:30|590.5650|592.2100|590.1150|591.6500|199569|1.0850|0.5600|0.4500|BULLISH
SNPS|2025-09-03 13:30|590.7600|592.2650|587.6300|588.4400|116117|2.3200|1.5050|0.8100|BEARISH
SNPS|2025-09-03 14:30|589.0000|593.7000|588.7100|591.6400|201931|2.6400|2.0600|0.2900|BULLISH
SNPS|2025-09-03 15:30|592.0250|592.0250|589.8300|590.2600|46337|1.7650|0.0000|0.4300|BEARISH
SNPS|2025-09-03 16:30|590.5200|590.5200|588.9450|588.9450|65053|1.5750|0.0000|0.0000|BEARISH
SNPS|2025-09-03 17:30|589.3800|589.3800|586.7700|589.2100|58855|0.1700|0.0000|2.4400|BEARISH
SNPS|2025-09-03 18:30|588.8950|590.2000|588.5300|589.5900|59945|0.6950|0.6100|0.3650|BULLISH
SNPS|2025-09-03 19:30|589.4650|592.7700|589.4650|591.5350|140333|2.0699|1.2350|0.0000|BULLISH
SNPS|2025-09-04 13:30|591.9900|592.5300|584.0001|590.4100|184335|1.5800|0.5400|6.4099|BEARISH
SNPS|2025-09-04 14:30|590.5642|598.7550|590.5642|597.8500|128380|7.2858|0.9050|0.0000|BULLISH
SNPS|2025-09-04 15:30|598.0050|600.5400|596.4100|596.7178|157601|1.2872|2.5350|0.3078|BEARISH
SNPS|2025-09-04 16:30|596.9600|599.8900|596.3600|599.8900|59443|2.9300|0.0000|0.6000|BULLISH
SNPS|2025-09-04 17:30|599.9900|601.3350|599.1150|600.8350|46091|0.8450|0.5000|0.8750|BULLISH
SNPS|2025-09-04 18:30|601.1600|602.1800|600.4700|601.9400|106323|0.7800|0.2400|0.6900|BULLISH
SNPS|2025-09-04 19:30|602.0300|602.8500|601.2200|602.0500|201774|0.0200|0.8000|0.8101|BULLISH
SNPS|2025-09-05 13:30|609.7700|615.7500|607.1125|607.7650|316899|2.0050|5.9800|0.6525|BEARISH
SNPS|2025-09-05 14:30|605.0000|606.1800|598.1000|599.1500|232786|5.8500|1.1800|1.0500|BEARISH
SNPS|2025-09-05 15:30|599.2800|599.5000|597.3900|598.2050|152491|1.0750|0.2200|0.8150|BEARISH
SNPS|2025-09-05 16:30|597.9650|598.0550|595.1150|595.1150|114543|2.8500|0.0900|0.0000|BEARISH
SNPS|2025-09-05 17:30|594.6050|598.6040|594.6050|598.6040|78420|3.9990|0.0000|0.0000|BULLISH
SNPS|2025-09-05 18:30|598.6050|600.9400|597.9800|599.7100|104518|1.1050|1.2300|0.6250|BULLISH
SNPS|2025-09-05 19:30|599.5600|599.8500|596.3900|597.9700|194620|1.5900|0.2900|1.5800|BEARISH
SNPS|2025-09-08 13:30|600.9200|612.5000|600.0300|611.6600|195878|10.7400|0.8400|0.8900|BULLISH
SNPS|2025-09-08 14:30|611.6600|615.7925|611.6600|613.2100|187408|1.5500|2.5825|0.0000|BULLISH
SNPS|2025-09-08 15:30|613.4200|613.8700|607.4700|608.7100|222701|4.7100|0.4500|1.2401|BEARISH
SNPS|2025-09-08 16:30|608.9900|610.4700|608.8450|609.5800|107759|0.5900|0.8900|0.1450|BULLISH
SNPS|2025-09-08 17:30|609.2600|609.7700|604.5900|607.6600|109861|1.6000|0.5100|3.0699|BEARISH
SNPS|2025-09-08 18:30|608.1100|608.4000|606.7070|607.3400|115316|0.7700|0.2900|0.6331|BEARISH
SNPS|2025-09-08 19:30|607.4300|609.3000|606.0500|609.2290|191567|1.7990|0.0710|1.3800|BULLISH
SNPS|2025-09-09 13:30|611.9700|614.8900|608.6000|609.4700|432958|2.5000|2.9200|0.8700|BEARISH
SNPS|2025-09-09 14:30|609.2550|610.0900|607.3500|608.0050|157079|1.2500|0.8350|0.6550|BEARISH
SNPS|2025-09-09 15:30|608.4200|610.6900|608.0800|608.3050|119493|0.1150|2.2700|0.2250|BEARISH
SNPS|2025-09-09 16:30|608.0100|610.3200|606.7000|609.7650|123976|1.7550|0.5550|1.3100|BULLISH
SNPS|2025-09-09 17:30|609.4800|610.4450|608.4250|609.2300|109357|0.2500|0.9650|0.8050|BEARISH
SNPS|2025-09-09 18:30|609.2200|609.4200|603.2874|604.2425|264460|4.9775|0.2000|0.9551|BEARISH
SNPS|2025-09-09 19:30|604.0800|606.4850|602.5000|603.2100|256009|0.8700|2.4050|0.7100|BEARISH
SNPS|2025-09-10 13:30|427.8000|429.6399|390.1500|401.7300|8115612|26.0700|1.8399|11.5800|BEARISH
SNPS|2025-09-10 14:30|401.4450|402.5700|390.1901|394.0850|2371305|7.3600|1.1250|3.8949|BEARISH
SNPS|2025-09-10 15:30|394.5450|406.2900|394.1500|396.4400|2472358|1.8950|9.8500|0.3950|BULLISH
SNPS|2025-09-10 16:30|396.4650|397.4300|386.8400|391.9852|2181818|4.4798|0.9650|5.1452|BEARISH
SNPS|2025-09-10 17:30|392.3100|394.2600|388.0501|389.7200|1282339|2.5900|1.9500|1.6699|BEARISH
SNPS|2025-09-10 18:30|389.8329|390.8500|383.9738|386.8950|1870275|2.9379|1.0171|2.9212|BEARISH
SNPS|2025-09-10 19:30|386.9800|391.9537|380.8450|387.8800|2292255|0.9000|4.0737|6.1350|BULLISH
SNPS|2025-09-11 13:30|415.9650|423.6800|405.5000|420.0100|5678897|4.0450|3.6700|10.4650|BULLISH
SNPS|2025-09-11 14:30|419.9000|427.2000|419.0600|426.5500|0|6.6500|0.6500|0.8400|BULLISH
SNPS|2025-09-11 15:30|426.5300|433.5200|424.3600|426.7853|4601324|0.2553|6.7347|2.1700|BULLISH
SNPS|2025-09-11 16:30|426.7100|429.8000|425.0101|427.8761|885119|1.1661|1.9239|1.6999|BULLISH
SNPS|2025-09-11 17:30|427.7500|437.9800|427.7100|433.6000|1437493|5.8500|4.3800|0.0400|BULLISH
SNPS|2025-09-11 18:30|433.4500|439.5200|431.6201|436.2500|1375320|2.8000|3.2700|1.8299|BULLISH
SNPS|2025-09-11 19:30|436.5853|439.6800|434.4500|438.0900|1399970|1.5047|1.5900|2.1353|BULLISH
SNPS|2025-09-12 13:30|444.1900|444.1900|425.8001|426.6200|2391153|17.5700|0.0000|0.8199|BEARISH
SNPS|2025-09-12 14:30|426.4400|430.7400|424.2300|428.6500|1023929|2.2100|2.0900|2.2100|BULLISH
SNPS|2025-09-12 15:30|428.6200|429.7200|425.3001|426.1500|551916|2.4700|1.1000|0.8499|BEARISH
