Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SO|2025-09-02 13:30|92.2400|92.5200|91.7400|92.3200|480442|0.0800|0.2000|0.5000|BULLISH
SO|2025-09-02 14:30|92.3400|92.8200|92.2800|92.6300|352714|0.2900|0.1900|0.0600|BULLISH
SO|2025-09-02 15:30|92.6200|92.7800|92.1050|92.1900|322016|0.4300|0.1600|0.0850|BEARISH
SO|2025-09-02 16:30|92.1950|92.2400|91.9200|92.0000|272752|0.1950|0.0450|0.0800|BEARISH
SO|2025-09-02 17:30|91.9900|92.0350|91.8150|91.9100|286862|0.0800|0.0450|0.0950|BEARISH
SO|2025-09-02 18:30|91.9100|91.9250|91.6400|91.6650|274920|0.2450|0.0150|0.0250|BEARISH
SO|2025-09-02 19:30|91.6700|92.0600|91.6300|92.0600|697512|0.3900|0.0000|0.0400|BULLISH
SO|2025-09-03 13:30|91.6400|91.9698|91.1700|91.4550|638486|0.1850|0.3298|0.2850|BEARISH
SO|2025-09-03 14:30|91.4650|91.8500|91.2300|91.8000|353698|0.3350|0.0500|0.2350|BULLISH
SO|2025-09-03 15:30|91.8100|91.8250|91.4500|91.4500|299651|0.3600|0.0150|0.0000|BEARISH
SO|2025-09-03 16:30|91.4386|91.4930|91.2550|91.3500|189485|0.0886|0.0544|0.0950|BEARISH
SO|2025-09-03 17:30|91.3500|91.5300|91.2400|91.4100|237193|0.0600|0.1200|0.1100|BULLISH
SO|2025-09-03 18:30|91.4000|91.5350|91.2600|91.4200|285086|0.0200|0.1150|0.1400|BULLISH
SO|2025-09-03 19:30|91.4200|91.7450|91.3900|91.6700|607479|0.2500|0.0750|0.0300|BULLISH
SO|2025-09-04 13:30|92.2400|92.4400|91.6950|91.8350|469230|0.4050|0.2000|0.1400|BEARISH
SO|2025-09-04 14:30|91.8500|91.9899|91.5350|91.5600|507105|0.2900|0.1399|0.0250|BEARISH
SO|2025-09-04 15:30|91.5600|91.7000|91.5000|91.6667|240621|0.1067|0.0333|0.0600|BULLISH
SO|2025-09-04 16:30|91.6700|91.8200|91.4300|91.7800|252959|0.1100|0.0400|0.2400|BULLISH
SO|2025-09-04 17:30|91.7800|91.8300|91.6400|91.6802|207137|0.0998|0.0500|0.0402|BEARISH
SO|2025-09-04 18:30|91.6800|91.8810|91.6400|91.8300|309572|0.1500|0.0510|0.0400|BULLISH
SO|2025-09-04 19:30|91.8200|91.9800|91.7400|91.8800|606041|0.0600|0.1000|0.0800|BULLISH
SO|2025-09-05 13:30|91.9800|92.3800|91.6400|91.8200|460263|0.1600|0.4000|0.1800|BEARISH
SO|2025-09-05 14:30|91.8400|92.1800|91.7450|92.0200|565208|0.1800|0.1600|0.0950|BULLISH
SO|2025-09-05 15:30|92.0300|92.0700|91.5500|91.5900|298502|0.4400|0.0400|0.0400|BEARISH
