Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SPG|2025-09-02 13:30|177.4700|179.1000|177.0100|179.0990|390375|1.6290|0.0010|0.4600|BULLISH
SPG|2025-09-02 14:30|179.1100|179.2200|178.1800|178.5800|295927|0.5300|0.1100|0.4000|BEARISH
SPG|2025-09-02 15:30|178.5700|178.7400|177.7550|178.0700|254197|0.5000|0.1700|0.3150|BEARISH
SPG|2025-09-02 16:30|178.0800|178.7500|177.9750|178.6200|286982|0.5400|0.1300|0.1050|BULLISH
SPG|2025-09-02 17:30|178.6550|178.8100|178.2500|178.4550|224092|0.2000|0.1550|0.2050|BEARISH
SPG|2025-09-02 18:30|178.4550|178.6900|177.9900|178.2850|366624|0.1700|0.2350|0.2950|BEARISH
SPG|2025-09-02 19:30|178.3000|179.0300|178.2940|178.8300|633705|0.5300|0.2000|0.0060|BULLISH
SPG|2025-09-03 13:30|178.6600|179.7900|178.4750|178.9300|176133|0.2700|0.8600|0.1850|BULLISH
SPG|2025-09-03 14:30|178.9600|179.2200|178.3500|178.9050|163310|0.0550|0.2600|0.5550|BEARISH
SPG|2025-09-03 15:30|178.9200|179.0800|177.8350|178.3650|173072|0.5550|0.1600|0.5300|BEARISH
SPG|2025-09-03 16:30|178.4400|179.4300|178.4250|179.3200|121560|0.8800|0.1100|0.0150|BULLISH
SPG|2025-09-03 17:30|179.3200|179.6000|178.9600|179.6000|125835|0.2800|0.0000|0.3600|BULLISH
SPG|2025-09-03 18:30|179.5700|179.7500|179.1607|179.7100|167437|0.1400|0.0400|0.4093|BULLISH
SPG|2025-09-03 19:30|179.7500|180.2500|179.5400|179.8800|386711|0.1300|0.3700|0.2100|BULLISH
SPG|2025-09-04 13:30|180.8200|181.9200|180.3700|180.9600|317335|0.1400|0.9600|0.4500|BULLISH
SPG|2025-09-04 14:30|180.9100|181.0800|180.0800|180.5700|242411|0.3400|0.1700|0.4900|BEARISH
SPG|2025-09-04 15:30|180.6300|180.8200|179.9100|180.0353|98574|0.5947|0.1900|0.1253|BEARISH
SPG|2025-09-04 16:30|180.0450|180.2400|179.7000|180.1700|148150|0.1250|0.0700|0.3450|BULLISH
SPG|2025-09-04 17:30|180.1750|180.6106|179.8900|180.5650|164992|0.3900|0.0456|0.2850|BULLISH
SPG|2025-09-04 18:30|180.5650|181.5600|180.4900|181.5300|234035|0.9650|0.0300|0.0750|BULLISH
SPG|2025-09-04 19:30|181.5100|181.6800|181.2900|181.4800|342027|0.0300|0.1700|0.1900|BEARISH
SPG|2025-09-05 13:30|182.8000|184.7800|181.4700|181.4800|225164|1.3200|1.9800|0.0100|BEARISH
SPG|2025-09-05 14:30|181.4500|181.5200|180.8100|181.5200|212564|0.0700|0.0000|0.6400|BULLISH
SPG|2025-09-05 15:30|181.5200|181.8981|181.3200|181.3800|109137|0.1400|0.3781|0.0600|BEARISH
SPG|2025-09-05 16:30|181.3600|181.4300|180.8900|181.2050|112903|0.1550|0.0700|0.3150|BEARISH
SPG|2025-09-05 17:30|181.2500|181.6600|181.0300|181.4700|141563|0.2200|0.1900|0.2200|BULLISH
SPG|2025-09-05 18:30|181.5100|182.3100|181.5100|182.1300|183679|0.6200|0.1800|0.0000|BULLISH
SPG|2025-09-05 19:30|182.2000|182.4500|181.8800|182.2400|411593|0.0400|0.2100|0.3200|BULLISH
SPG|2025-09-08 13:30|181.7700|182.0350|180.4420|180.9600|304672|0.8100|0.2650|0.5180|BEARISH
SPG|2025-09-08 14:30|180.9500|181.3500|180.1100|180.6000|217623|0.3500|0.4000|0.4900|BEARISH
SPG|2025-09-08 15:30|180.6000|181.0500|180.5200|180.7600|184995|0.1600|0.2900|0.0800|BULLISH
SPG|2025-09-08 16:30|180.7800|181.4800|180.7800|181.1200|145443|0.3400|0.3600|0.0000|BULLISH
SPG|2025-09-08 17:30|181.1900|181.3750|180.5000|181.2964|177014|0.1064|0.0786|0.6900|BULLISH
SPG|2025-09-08 18:30|181.3300|181.5750|181.0500|181.5400|185282|0.2100|0.0350|0.2800|BULLISH
SPG|2025-09-08 19:30|181.5450|182.9300|181.5400|182.6300|556550|1.0850|0.3000|0.0050|BULLISH
SPG|2025-09-09 13:30|179.4450|180.3838|178.2201|178.6300|227790|0.8150|0.9388|0.4099|BEARISH
SPG|2025-09-09 14:30|178.6450|179.7100|178.4900|179.6650|118100|1.0200|0.0450|0.1550|BULLISH
SPG|2025-09-09 15:30|179.7500|179.7900|179.0700|179.0700|126381|0.6800|0.0400|0.0000|BEARISH
SPG|2025-09-09 16:30|179.0650|179.4899|178.5750|178.5750|64093|0.4900|0.4249|0.0000|BEARISH
SPG|2025-09-09 17:30|178.5700|178.9400|178.1500|178.7400|102556|0.1700|0.2000|0.4200|BULLISH
SPG|2025-09-09 18:30|178.7300|178.9900|178.1700|178.5100|203494|0.2200|0.2600|0.3400|BEARISH
SPG|2025-09-09 19:30|178.5000|179.5650|178.3500|179.3800|447972|0.8800|0.1850|0.1500|BULLISH
SPG|2025-09-10 13:30|178.9100|179.8650|177.9900|179.7600|494260|0.8500|0.1050|0.9200|BULLISH
SPG|2025-09-10 14:30|179.7050|179.7050|178.2500|178.3400|495190|1.3650|0.0000|0.0900|BEARISH
SPG|2025-09-10 15:30|178.3350|179.1450|178.0700|178.6100|114254|0.2750|0.5350|0.2650|BULLISH
SPG|2025-09-10 16:30|178.5850|179.2800|178.2750|178.3650|122146|0.2200|0.6950|0.0900|BEARISH
SPG|2025-09-10 17:30|178.3450|178.5900|178.1500|178.4900|140694|0.1450|0.1000|0.1950|BULLISH
SPG|2025-09-10 18:30|178.4900|179.3500|178.4900|178.9400|103609|0.4500|0.4100|0.0000|BULLISH
SPG|2025-09-10 19:30|178.9700|179.5650|178.7100|179.2000|324701|0.2300|0.3650|0.2600|BULLISH
SPG|2025-09-11 13:30|179.9900|182.1800|179.6581|181.8350|189097|1.8450|0.3450|0.3319|BULLISH
SPG|2025-09-11 14:30|181.7600|182.7050|181.5900|182.5950|141835|0.8350|0.1100|0.1700|BULLISH
SPG|2025-09-11 15:30|182.6100|183.6700|182.6100|183.4600|293847|0.8500|0.2100|0.0000|BULLISH
SPG|2025-09-11 16:30|183.4800|183.6350|182.9800|183.4200|125696|0.0600|0.1550|0.4400|BEARISH
SPG|2025-09-11 17:30|183.4200|183.7300|182.9901|183.5750|102173|0.1550|0.1550|0.4299|BULLISH
SPG|2025-09-11 18:30|183.5750|183.7400|182.9800|183.6600|150658|0.0850|0.0800|0.5950|BULLISH
SPG|2025-09-11 19:30|183.6800|184.1600|183.1700|183.9100|345822|0.2300|0.2500|0.5100|BULLISH
SPG|2025-09-12 13:30|183.9000|184.5000|182.8901|183.4400|242275|0.4600|0.6000|0.5499|BEARISH
SPG|2025-09-12 14:30|183.3300|183.8300|183.2600|183.6200|90486|0.2900|0.2100|0.0700|BULLISH
SPG|2025-09-12 15:30|183.6200|183.6200|182.8800|183.5100|88237|0.1100|0.0000|0.6300|BEARISH
SPG|2025-09-12 16:30|183.5100|183.5200|183.1400|183.2200|66470|0.2900|0.0100|0.0800|BEARISH
SPG|2025-09-12 17:30|183.2550|183.2550|182.8000|183.1350|85310|0.1200|0.0000|0.3350|BEARISH
SPG|2025-09-12 18:30|183.1800|183.2550|182.6300|182.6950|123535|0.4850|0.0750|0.0650|BEARISH
SPG|2025-09-12 19:30|182.6950|182.9800|182.0950|182.5500|300955|0.1450|0.2850|0.4550|BEARISH
SPG|2025-09-15 13:30|182.2100|183.0100|181.2500|182.9750|126412|0.7650|0.0350|0.9600|BULLISH
SPG|2025-09-15 14:30|182.9200|183.4200|182.2600|182.2600|79901|0.6600|0.5000|0.0000|BEARISH
SPG|2025-09-15 15:30|182.2850|183.3000|182.1600|183.2500|92871|0.9650|0.0500|0.1250|BULLISH
SPG|2025-09-15 16:30|183.2000|183.4300|182.7900|182.7900|134919|0.4100|0.2300|0.0000|BEARISH
SPG|2025-09-15 17:30|182.8250|183.6900|182.8200|183.4000|126709|0.5750|0.2900|0.0050|BULLISH
SPG|2025-09-15 18:30|183.4300|183.9500|182.8900|183.9472|115152|0.5172|0.0028|0.5400|BULLISH
SPG|2025-09-15 19:30|183.9700|184.2400|183.5750|183.8000|439763|0.1700|0.2700|0.2250|BEARISH
SPG|2025-09-16 13:30|183.2800|184.0650|182.2800|182.4000|170123|0.8800|0.7850|0.1200|BEARISH
