Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
STLD|2025-09-02 13:30|128.7000|130.0000|127.4350|128.6750|173384|0.0250|1.3000|1.2400|BEARISH
STLD|2025-09-02 14:30|128.6775|128.9900|128.4800|128.9650|233895|0.2875|0.0250|0.1975|BULLISH
STLD|2025-09-02 15:30|128.9100|129.4500|128.6100|129.2050|136116|0.2950|0.2450|0.3000|BULLISH
STLD|2025-09-02 16:30|129.3300|129.6400|129.1800|129.6250|92981|0.2950|0.0150|0.1500|BULLISH
STLD|2025-09-02 17:30|129.7000|130.0290|129.0900|129.2100|89248|0.4900|0.3290|0.1200|BEARISH
STLD|2025-09-02 18:30|129.2900|129.5100|128.9200|129.4000|107909|0.1100|0.1100|0.3700|BULLISH
STLD|2025-09-02 19:30|129.4000|129.4250|128.7700|128.9800|250004|0.4200|0.0250|0.2100|BEARISH
STLD|2025-09-03 13:30|129.0000|129.2600|126.8900|126.8900|134880|2.1100|0.2600|0.0000|BEARISH
STLD|2025-09-03 14:30|126.9700|127.6100|126.8800|127.4900|103546|0.5200|0.1200|0.0900|BULLISH
STLD|2025-09-03 15:30|127.5700|127.8250|127.1900|127.7600|70795|0.1900|0.0650|0.3800|BULLISH
STLD|2025-09-03 16:30|127.8000|128.9300|127.8000|128.8900|86322|1.0900|0.0400|0.0000|BULLISH
STLD|2025-09-03 17:30|128.8750|129.0000|128.2000|129.0000|92740|0.1250|0.0000|0.6750|BULLISH
STLD|2025-09-03 18:30|128.9700|129.0700|128.6550|128.8900|124280|0.0800|0.1000|0.2350|BEARISH
STLD|2025-09-03 19:30|128.9000|129.8500|128.8600|129.5900|344980|0.6900|0.2600|0.0400|BULLISH
STLD|2025-09-04 13:30|128.7950|129.5700|127.4400|128.6200|97811|0.1750|0.7750|1.1800|BEARISH
STLD|2025-09-04 14:30|128.7000|129.8200|128.5400|129.7650|87051|1.0650|0.0550|0.1600|BULLISH
STLD|2025-09-04 15:30|129.8200|130.7400|129.7600|130.6450|71895|0.8250|0.0950|0.0600|BULLISH
