Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
STT|2025-09-02 13:30|113.6000|114.0050|111.9650|112.1700|208528|1.4300|0.4050|0.2050|BEARISH
STT|2025-09-02 14:30|112.2450|112.7900|112.2450|112.6100|175176|0.3650|0.1800|0.0000|BULLISH
STT|2025-09-02 15:30|112.5700|112.6300|112.1050|112.1200|162560|0.4500|0.0600|0.0150|BEARISH
STT|2025-09-02 16:30|112.1300|112.5850|112.1300|112.4800|124477|0.3500|0.1050|0.0000|BULLISH
STT|2025-09-02 17:30|112.4800|112.9250|112.4500|112.8300|189708|0.3500|0.0950|0.0300|BULLISH
STT|2025-09-02 18:30|112.8400|113.1700|112.7050|113.0500|265212|0.2100|0.1200|0.1350|BULLISH
STT|2025-09-02 19:30|113.0500|113.3000|113.0400|113.2800|270593|0.2300|0.0200|0.0100|BULLISH
STT|2025-09-03 13:30|113.1300|113.5400|112.2900|112.5900|115976|0.5400|0.4100|0.3000|BEARISH
STT|2025-09-03 14:30|112.6400|113.1200|112.6200|112.8700|116602|0.2300|0.2500|0.0200|BULLISH
STT|2025-09-03 15:30|112.9000|112.9400|112.1400|112.2100|147521|0.6900|0.0400|0.0700|BEARISH
STT|2025-09-03 16:30|112.2000|112.2050|111.7500|111.8950|110141|0.3050|0.0050|0.1450|BEARISH
STT|2025-09-03 17:30|111.9200|112.0350|111.4300|111.9500|116675|0.0300|0.0850|0.4900|BULLISH
STT|2025-09-03 18:30|111.9200|112.1700|111.7400|112.1550|158487|0.2350|0.0150|0.1800|BULLISH
STT|2025-09-03 19:30|112.1700|113.0100|112.1700|112.9700|337945|0.8000|0.0400|0.0000|BULLISH
STT|2025-09-04 13:30|113.6500|114.1100|112.8600|114.0000|113219|0.3500|0.1100|0.7900|BULLISH
STT|2025-09-04 14:30|114.0300|114.0300|113.4200|113.7300|76903|0.3000|0.0000|0.3100|BEARISH
STT|2025-09-04 15:30|113.6700|113.7400|113.1900|113.1900|101845|0.4800|0.0700|0.0000|BEARISH
STT|2025-09-04 16:30|113.2247|113.6900|113.1300|113.6900|64236|0.4653|0.0000|0.0947|BULLISH
STT|2025-09-04 17:30|113.6700|114.0000|113.5600|113.9200|71004|0.2500|0.0800|0.1100|BULLISH
STT|2025-09-04 18:30|113.8900|114.0500|113.7100|114.0000|104134|0.1100|0.0500|0.1800|BULLISH
STT|2025-09-04 19:30|114.0000|114.1600|113.8600|114.0500|246818|0.0500|0.1100|0.1400|BULLISH
STT|2025-09-05 13:30|115.2000|115.6399|112.6800|112.8400|391947|2.3600|0.4399|0.1600|BEARISH
STT|2025-09-05 14:30|112.8400|112.9450|111.9200|112.6500|292650|0.1900|0.1050|0.7300|BEARISH
STT|2025-09-05 15:30|112.7100|112.9800|112.4100|112.5500|134541|0.1600|0.2700|0.1400|BEARISH
STT|2025-09-05 16:30|112.5200|112.8900|112.4225|112.5850|228701|0.0650|0.3050|0.0975|BULLISH
STT|2025-09-05 17:30|112.5500|112.6800|112.2600|112.6600|139159|0.1100|0.0200|0.2900|BULLISH
STT|2025-09-05 18:30|112.6900|113.3900|112.6500|113.3200|286319|0.6300|0.0700|0.0400|BULLISH
STT|2025-09-05 19:30|113.3200|113.3200|112.8500|112.9500|554727|0.3700|0.0000|0.1000|BEARISH
STT|2025-09-08 13:30|113.1400|113.6800|112.0500|112.3150|153405|0.8250|0.5400|0.2650|BEARISH
STT|2025-09-08 14:30|112.3375|113.0600|112.2900|113.0550|149666|0.7175|0.0050|0.0475|BULLISH
STT|2025-09-08 15:30|113.0100|113.0200|112.0250|112.1900|134219|0.8200|0.0100|0.1650|BEARISH
STT|2025-09-08 16:30|112.1950|112.3600|111.6400|111.6600|173666|0.5350|0.1650|0.0200|BEARISH
STT|2025-09-08 17:30|111.6800|111.7700|110.7200|111.4300|463129|0.2500|0.0900|0.7100|BEARISH
STT|2025-09-08 18:30|111.4400|111.8500|111.3000|111.3900|480303|0.0500|0.4100|0.0900|BEARISH
STT|2025-09-08 19:30|111.4200|111.6700|111.0200|111.6300|864043|0.2100|0.0400|0.4000|BULLISH
STT|2025-09-09 13:30|111.1200|112.5900|111.0500|112.4400|306455|1.3200|0.1500|0.0700|BULLISH
STT|2025-09-09 14:30|112.4350|113.2900|112.2400|113.2350|217461|0.8000|0.0550|0.1950|BULLISH
STT|2025-09-09 15:30|113.2350|113.3200|111.9700|112.1700|169953|1.0650|0.0850|0.2000|BEARISH
STT|2025-09-09 16:30|112.1400|112.3200|111.9000|112.2250|163256|0.0850|0.0950|0.2400|BULLISH
STT|2025-09-09 17:30|112.1700|112.6600|112.1700|112.6300|139237|0.4600|0.0300|0.0000|BULLISH
STT|2025-09-09 18:30|112.6600|113.0250|112.0100|112.2850|269225|0.3750|0.3650|0.2750|BEARISH
STT|2025-09-09 19:30|112.2850|112.4500|112.0300|112.0300|504444|0.2550|0.1650|0.0000|BEARISH
STT|2025-09-10 13:30|112.0300|112.5100|111.0100|112.1250|171358|0.0950|0.3850|1.0200|BULLISH
STT|2025-09-10 14:30|112.0600|112.3600|111.0700|111.1050|439615|0.9550|0.3000|0.0350|BEARISH
STT|2025-09-10 15:30|111.1050|112.0200|110.9650|111.6400|233107|0.5350|0.3800|0.1400|BULLISH
STT|2025-09-10 16:30|111.6250|111.9300|111.4600|111.6350|58040|0.0100|0.2950|0.1650|BULLISH
STT|2025-09-10 17:30|111.6000|111.7250|111.1500|111.2800|119655|0.3200|0.1250|0.1300|BEARISH
STT|2025-09-10 18:30|111.2700|111.3200|110.5950|110.6200|331116|0.6500|0.0500|0.0250|BEARISH
STT|2025-09-10 19:30|110.6000|110.8600|110.4500|110.7600|502470|0.1600|0.1000|0.1500|BULLISH
STT|2025-09-11 13:30|110.8600|112.3900|110.6900|112.0900|173528|1.2300|0.3000|0.1700|BULLISH
