Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
STZ|2025-09-02 13:30|150.1300|154.1600|149.3595|151.4500|2132177|1.3200|2.7100|0.7705|BULLISH
STZ|2025-09-02 14:30|151.3700|151.7500|149.5000|150.2495|819360|1.1205|0.3800|0.7495|BEARISH
STZ|2025-09-02 15:30|150.2350|151.7300|150.1500|150.7350|432422|0.5000|0.9950|0.0850|BULLISH
STZ|2025-09-02 16:30|150.7200|151.1900|150.5300|150.8300|465676|0.1100|0.3600|0.1900|BULLISH
STZ|2025-09-02 17:30|150.8425|151.0600|149.6800|150.4700|432297|0.3725|0.2175|0.7900|BEARISH
STZ|2025-09-02 18:30|150.5000|151.5000|149.7000|151.3900|643234|0.8900|0.1100|0.8000|BULLISH
STZ|2025-09-02 19:30|151.3500|152.0200|150.9450|151.2500|830567|0.1000|0.6700|0.3050|BEARISH
STZ|2025-09-03 13:30|150.2500|150.5700|147.8900|147.9700|896146|2.2800|0.3200|0.0800|BEARISH
STZ|2025-09-03 14:30|147.9700|148.1384|146.7720|146.9850|568182|0.9850|0.1684|0.2130|BEARISH
STZ|2025-09-03 15:30|147.0100|148.0700|146.9100|147.5400|400385|0.5300|0.5300|0.1000|BULLISH
STZ|2025-09-03 16:30|147.5250|148.0899|147.1500|147.9900|374594|0.4650|0.0999|0.3750|BULLISH
STZ|2025-09-03 17:30|148.0100|148.3800|147.2100|147.3600|295894|0.6500|0.3700|0.1500|BEARISH
STZ|2025-09-03 18:30|147.3300|147.3600|146.6000|146.8800|417811|0.4500|0.0300|0.2800|BEARISH
STZ|2025-09-03 19:30|146.8700|146.9700|146.3250|146.4600|1081652|0.4100|0.1000|0.1350|BEARISH
STZ|2025-09-04 13:30|146.8700|147.8000|145.8600|147.1200|463829|0.2500|0.6800|1.0100|BULLISH
STZ|2025-09-04 14:30|147.1104|147.1200|146.2300|146.2350|336675|0.8754|0.0096|0.0050|BEARISH
STZ|2025-09-04 15:30|146.2200|146.4120|145.1214|145.4100|295139|0.8100|0.1920|0.2886|BEARISH
STZ|2025-09-04 16:30|145.4500|145.6200|144.8100|145.4110|357198|0.0390|0.1700|0.6010|BEARISH
STZ|2025-09-04 17:30|145.3400|146.0600|145.1500|145.9700|236931|0.6300|0.0900|0.1900|BULLISH
STZ|2025-09-04 18:30|145.8600|146.5000|145.7100|146.0250|292492|0.1650|0.4750|0.1500|BULLISH
STZ|2025-09-04 19:30|146.0100|146.1500|145.8100|145.8750|465836|0.1350|0.1400|0.0650|BEARISH
STZ|2025-09-05 13:30|146.2300|149.2700|145.5301|149.2700|675267|3.0400|0.0000|0.6999|BULLISH
STZ|2025-09-05 14:30|149.2100|150.0350|148.4100|149.4200|404508|0.2100|0.6150|0.8000|BULLISH
STZ|2025-09-05 15:30|149.4450|150.7300|148.9700|149.9850|292146|0.5400|0.7450|0.4750|BULLISH
STZ|2025-09-05 16:30|149.9850|150.1200|149.1523|149.2100|202836|0.7750|0.1350|0.0577|BEARISH
STZ|2025-09-05 17:30|149.3000|149.4500|148.7500|148.8800|216610|0.4200|0.1500|0.1300|BEARISH
STZ|2025-09-05 18:30|148.8800|149.1300|148.6072|148.8200|299945|0.0600|0.2500|0.2128|BEARISH
STZ|2025-09-05 19:30|148.8700|148.8800|148.3000|148.4600|495774|0.4100|0.0100|0.1600|BEARISH
STZ|2025-09-08 13:30|148.2200|148.2200|144.5839|145.5350|623408|2.6850|0.0000|0.9511|BEARISH
STZ|2025-09-08 14:30|145.4800|145.9900|145.0600|145.9100|321750|0.4300|0.0800|0.4200|BULLISH
STZ|2025-09-08 15:30|145.9050|146.0300|145.1100|145.8700|322776|0.0350|0.1250|0.7600|BEARISH
STZ|2025-09-08 16:30|145.8750|146.0900|145.2500|145.4300|242678|0.4450|0.2150|0.1800|BEARISH
STZ|2025-09-08 17:30|145.4600|145.6000|144.7900|145.3100|398149|0.1500|0.1400|0.5200|BEARISH
STZ|2025-09-08 18:30|145.2800|145.7300|145.1000|145.3200|338859|0.0400|0.4100|0.1800|BULLISH
STZ|2025-09-08 19:30|145.3500|146.1900|145.0900|146.1250|563052|0.7750|0.0650|0.2600|BULLISH
STZ|2025-09-09 13:30|145.8100|147.7000|145.3900|147.5000|626676|1.6900|0.2000|0.4200|BULLISH
STZ|2025-09-09 14:30|147.5000|148.1000|146.6400|146.7400|255331|0.7600|0.6000|0.1000|BEARISH
STZ|2025-09-09 15:30|146.7400|146.7400|145.5000|145.7100|285595|1.0300|0.0000|0.2100|BEARISH
STZ|2025-09-09 16:30|145.7600|146.3900|145.4900|146.3400|409879|0.5800|0.0500|0.2700|BULLISH
STZ|2025-09-09 17:30|146.2730|146.5799|145.9400|146.1550|219942|0.1180|0.3069|0.2150|BEARISH
STZ|2025-09-09 18:30|146.1700|146.3900|145.3900|145.4300|507509|0.7400|0.2200|0.0400|BEARISH
STZ|2025-09-09 19:30|145.4300|146.1500|145.3800|145.9800|607361|0.5500|0.1700|0.0500|BULLISH
STZ|2025-09-10 13:30|146.0000|146.0000|143.8295|143.9500|392919|2.0500|0.0000|0.1205|BEARISH
STZ|2025-09-10 14:30|143.9000|143.9900|143.1700|143.8200|296658|0.0800|0.0900|0.6500|BEARISH
STZ|2025-09-10 15:30|143.8600|143.9799|142.9500|143.0700|257820|0.7900|0.1199|0.1200|BEARISH
STZ|2025-09-10 16:30|143.1100|143.1800|142.7000|142.9250|183235|0.1850|0.0700|0.2250|BEARISH
STZ|2025-09-10 17:30|142.9400|143.3300|142.5100|143.2800|162862|0.3400|0.0500|0.4300|BULLISH
STZ|2025-09-10 18:30|143.3048|143.6000|143.1000|143.1924|291005|0.1124|0.2952|0.0924|BEARISH
STZ|2025-09-10 19:30|143.1500|143.4200|142.8600|142.9500|409284|0.2000|0.2700|0.0900|BEARISH
STZ|2025-09-11 13:30|142.9000|143.4300|142.2500|143.0600|388728|0.1600|0.3700|0.6500|BULLISH
STZ|2025-09-11 14:30|143.0900|143.5988|142.4200|143.4900|356800|0.4000|0.1088|0.6700|BULLISH
STZ|2025-09-11 15:30|143.5050|143.5800|142.7700|143.0700|266692|0.4350|0.0750|0.3000|BEARISH
STZ|2025-09-11 16:30|143.0500|143.3500|142.6300|143.0101|419986|0.0399|0.3000|0.3801|BEARISH
STZ|2025-09-11 17:30|143.0400|143.7900|142.9900|143.5050|373649|0.4650|0.2850|0.0500|BULLISH
STZ|2025-09-11 18:30|143.5200|143.9100|143.2000|143.2400|540919|0.2800|0.3900|0.0400|BEARISH
STZ|2025-09-11 19:30|143.2400|143.2700|142.5500|142.9100|440911|0.3300|0.0300|0.3600|BEARISH
STZ|2025-09-12 13:30|143.0000|143.0000|140.3600|140.8600|511472|2.1400|0.0000|0.5000|BEARISH
STZ|2025-09-12 14:30|140.8100|140.8600|139.7150|140.1500|404089|0.6600|0.0500|0.4350|BEARISH
STZ|2025-09-12 15:30|140.1600|140.8272|139.9900|140.4000|183512|0.2400|0.4272|0.1700|BULLISH
STZ|2025-09-12 16:30|140.3850|140.5200|139.6700|140.0100|241409|0.3750|0.1350|0.3400|BEARISH
STZ|2025-09-12 17:30|140.0100|140.1995|139.5900|140.0300|203923|0.0200|0.1695|0.4200|BULLISH
STZ|2025-09-12 18:30|139.9950|140.1881|139.5700|140.1040|272441|0.1090|0.0841|0.4250|BULLISH
STZ|2025-09-12 19:30|140.0600|140.1700|139.4500|139.4700|351592|0.5900|0.1100|0.0200|BEARISH
STZ|2025-09-15 13:30|140.2300|140.5350|138.2700|138.5200|414530|1.7100|0.3050|0.2500|BEARISH
STZ|2025-09-15 14:30|138.5350|138.7500|136.7100|136.9200|552116|1.6150|0.2150|0.2100|BEARISH
STZ|2025-09-15 15:30|136.8800|137.4199|135.8500|136.1460|427768|0.7340|0.5399|0.2960|BEARISH
STZ|2025-09-15 16:30|136.1700|136.2300|135.6400|135.9300|405992|0.2400|0.0600|0.2900|BEARISH
STZ|2025-09-15 17:30|135.9200|136.0600|135.2500|135.4700|346714|0.4500|0.1400|0.2200|BEARISH
STZ|2025-09-15 18:30|135.4700|136.0700|135.2500|136.0500|379218|0.5800|0.0200|0.2200|BULLISH
STZ|2025-09-15 19:30|136.0700|136.0800|135.2500|135.4200|665582|0.6500|0.0100|0.1700|BEARISH
STZ|2025-09-16 13:30|135.6700|135.7100|133.8400|134.5210|564704|1.1490|0.0400|0.6810|BEARISH
STZ|2025-09-16 14:30|134.5900|134.9000|134.0500|134.5336|304457|0.0564|0.3100|0.4836|BEARISH
STZ|2025-09-16 15:30|134.5491|134.5800|134.0500|134.0700|128788|0.4791|0.0309|0.0200|BEARISH
STZ|2025-09-16 16:30|134.0800|135.4280|134.0800|135.4150|235267|1.3350|0.0130|0.0000|BULLISH
STZ|2025-09-16 17:30|135.4250|135.4650|134.7600|134.8460|334898|0.5790|0.0400|0.0860|BEARISH
STZ|2025-09-16 18:30|134.8750|135.2500|134.4200|134.5100|294505|0.3650|0.3750|0.0900|BEARISH
STZ|2025-09-16 19:30|134.5300|135.3500|134.3400|134.6400|696176|0.1100|0.7100|0.1900|BULLISH
STZ|2025-09-17 13:30|135.1300|135.9099|134.8500|135.1315|326617|0.0015|0.7784|0.2800|BULLISH
STZ|2025-09-17 14:30|135.0500|135.9900|134.3550|135.7800|346803|0.7300|0.2100|0.6950|BULLISH
STZ|2025-09-17 15:30|135.7600|135.7600|134.9001|135.0070|353303|0.7530|0.0000|0.1069|BEARISH
STZ|2025-09-17 16:30|135.0000|135.4960|134.4150|134.6600|288830|0.3400|0.4960|0.2450|BEARISH
STZ|2025-09-17 17:30|134.6400|135.4300|134.5000|134.8100|255227|0.1700|0.6200|0.1400|BULLISH
STZ|2025-09-17 18:30|134.8100|134.8100|133.0375|133.0900|391999|1.7200|0.0000|0.0525|BEARISH
STZ|2025-09-17 19:30|133.0500|133.6900|132.8200|133.0300|540748|0.0200|0.6400|0.2100|BEARISH
STZ|2025-09-18 13:30|133.1000|133.7717|131.9000|133.7300|744588|0.6300|0.0417|1.2000|BULLISH
STZ|2025-09-18 14:30|133.7100|133.7900|132.7600|133.1050|321440|0.6050|0.0800|0.3450|BEARISH
STZ|2025-09-18 15:30|133.1600|133.4735|132.7200|133.2700|280840|0.1100|0.2035|0.4400|BULLISH
STZ|2025-09-18 16:30|133.2200|133.4099|132.6600|132.8160|243269|0.4040|0.1899|0.1560|BEARISH
STZ|2025-09-18 17:30|132.8000|133.4050|132.6501|133.3100|238365|0.5100|0.0950|0.1499|BULLISH
STZ|2025-09-18 18:30|133.3000|134.2000|133.3000|133.4800|325121|0.1800|0.7200|0.0000|BULLISH
STZ|2025-09-18 19:30|133.4800|133.4800|132.7450|133.0100|546980|0.4700|0.0000|0.2650|BEARISH
STZ|2025-09-19 13:30|133.7600|134.1500|132.4100|132.5300|556987|1.2300|0.3900|0.1200|BEARISH
STZ|2025-09-19 14:30|132.5700|132.9600|131.8800|132.0000|314012|0.5700|0.3900|0.1200|BEARISH
STZ|2025-09-19 15:30|132.0730|132.4050|131.8200|132.1900|236297|0.1170|0.2150|0.2530|BULLISH
STZ|2025-09-19 16:30|132.1900|132.5000|131.8958|132.2050|191736|0.0150|0.2950|0.2942|BULLISH
STZ|2025-09-19 17:30|132.2161|132.7500|132.0801|132.7400|303830|0.5239|0.0100|0.1360|BULLISH
STZ|2025-09-19 18:30|132.7400|133.4500|132.1200|133.1150|435663|0.3750|0.3350|0.6200|BULLISH
STZ|2025-09-19 19:30|133.1400|133.3500|132.7400|132.9200|687987|0.2200|0.2100|0.1800|BEARISH
STZ|2025-09-22 13:30|133.0000|135.1800|132.4900|134.9700|559638|1.9700|0.2100|0.5100|BULLISH
STZ|2025-09-22 14:30|134.9850|135.0200|133.6200|134.7500|442366|0.2350|0.0350|1.1300|BEARISH
STZ|2025-09-22 15:30|134.8100|134.9012|134.1750|134.7200|313255|0.0900|0.0912|0.5450|BEARISH
STZ|2025-09-22 16:30|134.6750|135.1800|134.2300|134.7850|383374|0.1100|0.3950|0.4450|BULLISH
STZ|2025-09-22 17:30|134.8400|135.1150|134.4050|134.4350|275678|0.4050|0.2750|0.0300|BEARISH
STZ|2025-09-22 18:30|134.4200|134.5450|133.8200|133.8500|321145|0.5700|0.1250|0.0300|BEARISH
STZ|2025-09-22 19:30|133.8350|133.9200|133.3700|133.5400|546688|0.2950|0.0850|0.1700|BEARISH
STZ|2025-09-23 13:30|133.5000|133.8076|131.6000|131.8100|590029|1.6900|0.3076|0.2100|BEARISH
STZ|2025-09-23 14:30|131.8200|132.1500|131.3300|131.5725|353065|0.2475|0.3300|0.2425|BEARISH
STZ|2025-09-23 15:30|131.6000|131.7760|131.2100|131.3900|231856|0.2100|0.1760|0.1800|BEARISH
STZ|2025-09-23 16:30|131.3700|131.9100|131.3000|131.7200|235253|0.3500|0.1900|0.0700|BULLISH
STZ|2025-09-23 17:30|131.7830|132.2400|131.2000|131.8750|416910|0.0920|0.3650|0.5830|BULLISH
STZ|2025-09-23 18:30|131.8750|132.0200|131.5550|131.6800|369328|0.1950|0.1450|0.1250|BEARISH
STZ|2025-09-23 19:30|131.6800|131.9500|131.6000|131.7500|560059|0.0700|0.2000|0.0800|BULLISH
STZ|2025-09-24 13:30|131.7600|134.4800|131.5000|133.0050|588628|1.2450|1.4750|0.2600|BULLISH
STZ|2025-09-24 14:30|132.9800|133.5299|132.7700|133.1750|257985|0.1950|0.3549|0.2100|BULLISH
STZ|2025-09-24 15:30|133.1950|133.8150|133.0700|133.2700|282151|0.0750|0.5450|0.1250|BULLISH
STZ|2025-09-24 16:30|133.2600|133.5700|132.8600|133.4000|169570|0.1400|0.1700|0.4000|BULLISH
STZ|2025-09-24 17:30|133.3600|133.8300|133.1100|133.5600|175780|0.2000|0.2700|0.2500|BULLISH
STZ|2025-09-24 18:30|133.5700|133.9300|133.2950|133.3900|276751|0.1800|0.3600|0.0950|BEARISH
STZ|2025-09-24 19:30|133.4100|133.8800|133.2300|133.3300|564044|0.0800|0.4700|0.1000|BEARISH
STZ|2025-09-25 13:30|133.7500|133.9250|131.8600|132.8700|377380|0.8800|0.1750|1.0100|BEARISH
