Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SWK|2025-09-02 13:30|72.0800|72.6350|71.7200|71.9200|250064|0.1600|0.5550|0.2000|BEARISH
SWK|2025-09-02 14:30|71.9350|71.9500|71.2900|71.4450|208979|0.4900|0.0150|0.1550|BEARISH
SWK|2025-09-02 15:30|71.4400|71.7100|71.2800|71.3200|127850|0.1200|0.2700|0.0400|BEARISH
SWK|2025-09-02 16:30|71.3600|71.7400|71.3300|71.6300|111988|0.2700|0.1100|0.0300|BULLISH
SWK|2025-09-02 17:30|71.6500|71.9800|71.5800|71.6400|117200|0.0100|0.3300|0.0600|BEARISH
SWK|2025-09-02 18:30|71.6400|71.8600|71.5900|71.7200|165950|0.0800|0.1400|0.0500|BULLISH
SWK|2025-09-02 19:30|71.7250|71.8500|71.6400|71.7000|338439|0.0250|0.1250|0.0600|BEARISH
SWK|2025-09-03 13:30|72.4500|73.7700|72.0800|72.8100|389456|0.3600|0.9600|0.3700|BULLISH
SWK|2025-09-03 14:30|72.8500|73.0750|72.3400|72.4200|363790|0.4300|0.2250|0.0800|BEARISH
SWK|2025-09-03 15:30|72.4100|72.6200|72.1700|72.5100|179725|0.1000|0.1100|0.2400|BULLISH
SWK|2025-09-03 16:30|72.5100|73.4100|72.5100|73.3600|141892|0.8500|0.0500|0.0000|BULLISH
SWK|2025-09-03 17:30|73.3600|73.3700|72.6000|72.9850|141830|0.3750|0.0100|0.3850|BEARISH
SWK|2025-09-03 18:30|72.9700|73.0500|72.3700|72.3950|176969|0.5750|0.0800|0.0250|BEARISH
SWK|2025-09-03 19:30|72.4000|72.9000|72.3900|72.8850|300478|0.4850|0.0150|0.0100|BULLISH
SWK|2025-09-04 13:30|73.2900|73.5900|72.7500|73.2000|135579|0.0900|0.3000|0.4500|BEARISH
SWK|2025-09-04 14:30|73.1700|73.7750|73.1700|73.7650|107199|0.5950|0.0100|0.0000|BULLISH
SWK|2025-09-04 15:30|73.7300|74.1400|73.7200|73.9750|128593|0.2450|0.1650|0.0100|BULLISH
SWK|2025-09-04 16:30|73.9800|74.1650|73.7500|74.1650|144999|0.1850|0.0000|0.2300|BULLISH
SWK|2025-09-04 17:30|74.1800|74.7800|74.0100|74.5950|197577|0.4150|0.1850|0.1700|BULLISH
SWK|2025-09-04 18:30|74.5950|74.6500|74.2400|74.5000|184346|0.0950|0.0550|0.2600|BEARISH
SWK|2025-09-04 19:30|74.5150|74.8150|74.4450|74.7600|364255|0.2450|0.0550|0.0700|BULLISH
SWK|2025-09-05 13:30|75.6100|78.0800|75.6100|76.8900|524982|1.2800|1.1900|0.0000|BULLISH
SWK|2025-09-05 14:30|76.8350|77.0800|76.2100|76.8800|227315|0.0450|0.2000|0.6250|BULLISH
SWK|2025-09-05 15:30|76.9500|77.6600|76.7800|77.3400|228162|0.3900|0.3200|0.1700|BULLISH
SWK|2025-09-05 16:30|77.3350|77.6400|77.3100|77.3900|270480|0.0550|0.2500|0.0250|BULLISH
SWK|2025-09-05 17:30|77.4000|77.6200|77.2400|77.5500|352083|0.1500|0.0700|0.1600|BULLISH
SWK|2025-09-05 18:30|77.5800|78.0600|77.5204|78.0350|365028|0.4550|0.0250|0.0596|BULLISH
SWK|2025-09-05 19:30|78.0400|78.4300|77.8869|78.4200|803576|0.3800|0.0100|0.1531|BULLISH
SWK|2025-09-08 13:30|78.5100|78.6100|77.1600|78.0800|472792|0.4300|0.1000|0.9200|BEARISH
SWK|2025-09-08 14:30|78.1000|78.9800|78.0400|78.6350|273541|0.5350|0.3450|0.0600|BULLISH
SWK|2025-09-08 15:30|78.6100|78.7300|78.0000|78.1900|173059|0.4200|0.1200|0.1900|BEARISH
SWK|2025-09-08 16:30|78.2100|78.3300|77.6700|77.9300|266277|0.2800|0.1200|0.2600|BEARISH
SWK|2025-09-08 17:30|77.9500|78.2100|77.5500|78.1700|183741|0.2200|0.0400|0.4000|BULLISH
SWK|2025-09-08 18:30|78.1900|78.4400|78.0200|78.1900|459680|0.0000|0.2500|0.1700|BULLISH
SWK|2025-09-08 19:30|78.2000|78.5300|78.1200|78.4200|934647|0.2200|0.1100|0.0800|BULLISH
SWK|2025-09-09 13:30|78.0100|78.1100|77.2650|77.2800|304708|0.7300|0.1000|0.0150|BEARISH
SWK|2025-09-09 14:30|77.2550|77.4900|76.6200|77.0200|604143|0.2350|0.2350|0.4000|BEARISH
SWK|2025-09-09 15:30|77.0700|77.2900|76.4600|76.8800|104915|0.1900|0.2200|0.4200|BEARISH
SWK|2025-09-09 16:30|76.8600|77.2000|76.6500|77.1300|95910|0.2700|0.0700|0.2100|BULLISH
SWK|2025-09-09 17:30|77.1400|77.4300|77.1400|77.4100|124718|0.2700|0.0200|0.0000|BULLISH
SWK|2025-09-09 18:30|77.4200|77.4800|76.3900|76.5200|293568|0.9000|0.0600|0.1300|BEARISH
SWK|2025-09-09 19:30|76.5200|77.0050|76.3400|76.7600|540718|0.2400|0.2450|0.1800|BULLISH
SWK|2025-09-10 13:30|76.6800|77.5900|76.0600|76.7400|343160|0.0600|0.8500|0.6200|BULLISH
SWK|2025-09-10 14:30|76.7000|76.7350|76.2050|76.3350|164664|0.3650|0.0350|0.1300|BEARISH
SWK|2025-09-10 15:30|76.3600|76.8400|76.2500|76.6500|106212|0.2900|0.1900|0.1100|BULLISH
SWK|2025-09-10 16:30|76.6500|76.9100|76.3900|76.5200|120959|0.1300|0.2600|0.1300|BEARISH
SWK|2025-09-10 17:30|76.5000|76.5000|76.0600|76.3200|137188|0.1800|0.0000|0.2600|BEARISH
SWK|2025-09-10 18:30|76.3300|76.8600|76.3200|76.3750|138630|0.0450|0.4850|0.0100|BULLISH
SWK|2025-09-10 19:30|76.4000|77.0100|76.2600|76.9700|384749|0.5700|0.0400|0.1400|BULLISH
SWK|2025-09-11 13:30|77.3400|79.1500|76.6100|79.0100|167763|1.6700|0.1400|0.7300|BULLISH
SWK|2025-09-11 14:30|79.0200|79.3500|78.8720|78.9400|196455|0.0800|0.3300|0.0680|BEARISH
SWK|2025-09-11 15:30|78.9650|79.2300|78.7200|79.1750|186873|0.2100|0.0550|0.2450|BULLISH
SWK|2025-09-11 16:30|79.2200|79.9300|79.1500|79.4800|296080|0.2600|0.4500|0.0700|BULLISH
SWK|2025-09-11 17:30|79.5000|80.0600|79.5000|79.7400|196058|0.2400|0.3200|0.0000|BULLISH
SWK|2025-09-11 18:30|79.7200|79.8500|79.5300|79.6650|215401|0.0550|0.1300|0.1350|BEARISH
SWK|2025-09-11 19:30|79.6600|79.9300|79.5100|79.5300|383467|0.1300|0.2700|0.0200|BEARISH
SWK|2025-09-12 13:30|78.9200|79.2700|77.4800|77.5600|268837|1.3600|0.3500|0.0800|BEARISH
SWK|2025-09-12 14:30|77.5300|77.6200|76.9000|76.9350|256099|0.5950|0.0900|0.0350|BEARISH
SWK|2025-09-12 15:30|76.9350|77.1750|76.6800|76.9002|237497|0.0348|0.2400|0.2202|BEARISH
SWK|2025-09-12 16:30|76.9050|77.1650|76.8310|77.0300|157020|0.1250|0.1350|0.0740|BULLISH
SWK|2025-09-12 17:30|77.0500|77.5200|77.0300|77.4700|256836|0.4200|0.0500|0.0200|BULLISH
SWK|2025-09-12 18:30|77.4900|78.4000|77.4300|77.7600|609751|0.2700|0.6400|0.0600|BULLISH
SWK|2025-09-12 19:30|77.7650|77.7800|77.2400|77.5500|646913|0.2150|0.0150|0.3100|BEARISH
SWK|2025-09-15 13:30|77.9600|78.3500|77.3510|78.3200|179902|0.3600|0.0300|0.6090|BULLISH
