Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SYK|2025-09-02 13:30|388.9200|390.6200|386.0100|389.9699|154781|1.0499|0.6501|2.9100|BULLISH
SYK|2025-09-02 14:30|389.7100|390.9000|388.8000|389.1500|83409|0.5600|1.1900|0.3500|BEARISH
SYK|2025-09-02 15:30|389.1175|389.5699|388.1150|388.2250|59433|0.8925|0.4524|0.1100|BEARISH
SYK|2025-09-02 16:30|388.2500|389.0900|388.1700|388.9550|48760|0.7050|0.1350|0.0800|BULLISH
SYK|2025-09-02 17:30|388.9550|390.1579|388.7700|388.7700|49334|0.1850|1.2029|0.0000|BEARISH
SYK|2025-09-02 18:30|388.8400|389.6400|388.4000|389.4100|83912|0.5700|0.2300|0.4400|BULLISH
SYK|2025-09-02 19:30|389.3700|389.9500|388.9200|389.9300|212667|0.5600|0.0200|0.4500|BULLISH
SYK|2025-09-03 13:30|389.8800|391.3950|388.1400|388.3600|80497|1.5200|1.5150|0.2200|BEARISH
SYK|2025-09-03 14:30|388.1001|389.3750|387.6800|387.9800|74260|0.1201|1.2749|0.3000|BEARISH
SYK|2025-09-03 15:30|387.9400|387.9400|385.3900|386.1850|75329|1.7550|0.0000|0.7950|BEARISH
SYK|2025-09-03 16:30|386.1900|386.5023|384.2500|384.7800|90247|1.4100|0.3123|0.5300|BEARISH
SYK|2025-09-03 17:30|384.6900|386.5380|384.5250|386.3800|70149|1.6900|0.1580|0.1650|BULLISH
SYK|2025-09-03 18:30|386.4000|387.6700|386.2100|387.0900|106931|0.6900|0.5800|0.1900|BULLISH
SYK|2025-09-03 19:30|387.0350|388.6500|386.8600|388.5600|201604|1.5250|0.0900|0.1750|BULLISH
SYK|2025-09-04 13:30|389.1200|393.4100|386.8100|393.4050|168728|4.2850|0.0050|2.3100|BULLISH
SYK|2025-09-04 14:30|393.4550|395.6300|393.0900|395.5050|117284|2.0500|0.1250|0.3650|BULLISH
SYK|2025-09-04 15:30|395.5250|396.2400|394.9400|395.9000|104699|0.3750|0.3400|0.5850|BULLISH
SYK|2025-09-04 16:30|395.9000|396.8600|395.5100|396.7700|58093|0.8700|0.0900|0.3900|BULLISH
SYK|2025-09-04 17:30|396.4550|396.5600|393.6400|394.0500|85444|2.4050|0.1050|0.4100|BEARISH
SYK|2025-09-04 18:30|394.0500|394.8000|393.1250|394.5200|97098|0.4700|0.2800|0.9250|BULLISH
SYK|2025-09-04 19:30|394.3400|394.5800|393.5140|394.2100|197195|0.1300|0.2400|0.6960|BEARISH
SYK|2025-09-05 13:30|394.0000|396.3700|392.7500|393.1400|91981|0.8600|2.3700|0.3900|BEARISH
SYK|2025-09-05 14:30|392.9100|393.6700|392.2112|393.5370|94218|0.6270|0.1330|0.6988|BULLISH
SYK|2025-09-05 15:30|393.6500|393.7000|392.4800|392.6350|78310|1.0150|0.0500|0.1550|BEARISH
SYK|2025-09-05 16:30|392.5500|392.9800|391.3800|391.5200|70291|1.0300|0.4300|0.1400|BEARISH
SYK|2025-09-05 17:30|391.4450|391.7300|389.6350|389.6950|110754|1.7500|0.2850|0.0600|BEARISH
SYK|2025-09-05 18:30|389.7600|392.5100|389.7250|392.1093|132241|2.3493|0.4007|0.0350|BULLISH
SYK|2025-09-05 19:30|392.0450|392.3600|391.6000|392.3100|172877|0.2650|0.0500|0.4450|BULLISH
SYK|2025-09-08 13:30|390.9800|391.9584|388.1550|390.0500|121700|0.9300|0.9784|1.8950|BEARISH
SYK|2025-09-08 14:30|390.2750|392.0000|389.8300|391.2600|96725|0.9850|0.7400|0.4450|BULLISH
SYK|2025-09-08 15:30|391.2900|392.0500|390.7600|391.5100|70092|0.2200|0.5400|0.5300|BULLISH
SYK|2025-09-08 16:30|391.2700|392.0178|390.9300|391.7050|73550|0.4350|0.3128|0.3400|BULLISH
SYK|2025-09-08 17:30|391.8900|392.2850|391.0250|391.8500|68753|0.0400|0.3950|0.8250|BEARISH
SYK|2025-09-08 18:30|392.1200|392.2400|391.2000|391.2600|89996|0.8600|0.1200|0.0600|BEARISH
SYK|2025-09-08 19:30|391.3200|393.5300|391.0900|393.3600|160558|2.0400|0.1700|0.2300|BULLISH
SYK|2025-09-09 13:30|392.9000|395.9000|391.7900|392.8750|105519|0.0250|3.0000|1.0850|BEARISH
SYK|2025-09-09 14:30|392.8750|393.7700|392.3250|393.7700|94065|0.8950|0.0000|0.5500|BULLISH
SYK|2025-09-09 15:30|393.3500|393.5800|391.8600|392.6100|51577|0.7400|0.2300|0.7500|BEARISH
SYK|2025-09-09 16:30|392.6100|392.8500|391.9450|392.7700|62371|0.1600|0.0800|0.6650|BULLISH
SYK|2025-09-09 17:30|392.8400|393.3300|391.8400|392.0850|79780|0.7550|0.4900|0.2450|BEARISH
SYK|2025-09-09 18:30|392.0800|392.5500|390.7800|391.0000|192526|1.0800|0.4700|0.2200|BEARISH
SYK|2025-09-09 19:30|390.9850|392.9700|390.3900|392.7600|263038|1.7750|0.2100|0.5950|BULLISH
SYK|2025-09-10 13:30|392.9500|392.9500|386.5700|389.2550|146820|3.6950|0.0000|2.6850|BEARISH
SYK|2025-09-10 14:30|389.0850|389.9300|384.7200|385.8713|89758|3.2137|0.8450|1.1513|BEARISH
SYK|2025-09-10 15:30|385.8900|386.6400|384.8150|385.3600|51167|0.5300|0.7500|0.5450|BEARISH
SYK|2025-09-10 16:30|385.4700|385.6350|383.0500|383.0925|81441|2.3775|0.1650|0.0425|BEARISH
SYK|2025-09-10 17:30|383.0500|383.1400|381.5113|381.5113|83875|1.5387|0.0900|0.0000|BEARISH
SYK|2025-09-10 18:30|381.5500|383.2100|381.5500|382.6950|135309|1.1450|0.5150|0.0000|BULLISH
SYK|2025-09-10 19:30|382.6850|383.6600|382.1000|382.9700|158688|0.2850|0.6900|0.5850|BULLISH
SYK|2025-09-11 13:30|383.2200|385.3500|382.9500|384.8300|82241|1.6100|0.5200|0.2700|BULLISH
SYK|2025-09-11 14:30|384.9700|386.6600|384.6400|386.3700|79390|1.4000|0.2900|0.3300|BULLISH
SYK|2025-09-11 15:30|386.4500|387.6000|386.4500|387.4000|63532|0.9500|0.2000|0.0000|BULLISH
SYK|2025-09-11 16:30|387.3800|387.4850|386.4000|387.0705|51385|0.3095|0.1050|0.6705|BEARISH
SYK|2025-09-11 17:30|386.7300|387.7500|386.5600|387.5470|55763|0.8170|0.2030|0.1700|BULLISH
SYK|2025-09-11 18:30|387.5000|388.7400|387.2850|388.6250|74246|1.1250|0.1150|0.2150|BULLISH
SYK|2025-09-11 19:30|388.6300|389.3650|388.2300|388.7000|148980|0.0700|0.6650|0.4000|BULLISH
SYK|2025-09-12 13:30|386.0400|387.8000|385.5275|385.5375|116563|0.5025|1.7600|0.0100|BEARISH
