Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SYY|2025-09-02 13:30|80.3400|81.1954|80.3400|80.8450|318886|0.5050|0.3504|0.0000|BULLISH
SYY|2025-09-02 14:30|80.8600|80.9900|80.4600|80.5200|145634|0.3400|0.1300|0.0600|BEARISH
SYY|2025-09-02 15:30|80.5150|80.6400|80.4000|80.5050|118900|0.0100|0.1250|0.1050|BEARISH
SYY|2025-09-02 16:30|80.5050|80.6800|80.4500|80.5300|125653|0.0250|0.1500|0.0550|BULLISH
SYY|2025-09-02 17:30|80.5150|80.5600|80.3950|80.4200|123268|0.0950|0.0450|0.0250|BEARISH
SYY|2025-09-02 18:30|80.4300|80.4900|80.3350|80.4200|168680|0.0100|0.0600|0.0850|BEARISH
SYY|2025-09-02 19:30|80.4400|80.5500|80.3300|80.5300|403351|0.0900|0.0200|0.1100|BULLISH
SYY|2025-09-03 13:30|80.0900|80.5000|79.8250|80.1300|277071|0.0400|0.3700|0.2650|BULLISH
SYY|2025-09-03 14:30|80.1350|82.1600|80.0700|81.7800|1198116|1.6450|0.3800|0.0650|BULLISH
SYY|2025-09-03 15:30|81.7900|82.4000|80.9103|81.0501|672600|0.7399|0.6100|0.1398|BEARISH
SYY|2025-09-03 16:30|81.0200|81.0374|80.7900|80.9050|216381|0.1150|0.0174|0.1150|BEARISH
SYY|2025-09-03 17:30|80.8989|81.0800|80.8000|81.0700|189175|0.1711|0.0100|0.0989|BULLISH
SYY|2025-09-03 18:30|81.0700|81.1700|80.6000|80.8500|345975|0.2200|0.1000|0.2500|BEARISH
SYY|2025-09-03 19:30|80.8400|81.0500|80.8200|81.0400|494227|0.2000|0.0100|0.0200|BULLISH
SYY|2025-09-04 13:30|81.5300|82.0900|81.0000|81.6226|455182|0.0926|0.4674|0.5300|BULLISH
SYY|2025-09-04 14:30|81.6250|82.1900|81.6250|82.1100|276844|0.4850|0.0800|0.0000|BULLISH
SYY|2025-09-04 15:30|82.0850|82.2300|81.8700|81.9400|247432|0.1450|0.1450|0.0700|BEARISH
SYY|2025-09-04 16:30|81.9600|81.9700|81.7650|81.8900|163023|0.0700|0.0100|0.1250|BEARISH
SYY|2025-09-04 17:30|81.8800|81.9800|81.6900|81.9800|217648|0.1000|0.0000|0.1900|BULLISH
SYY|2025-09-04 18:30|81.9900|82.0700|81.7950|82.0550|345953|0.0650|0.0150|0.1950|BULLISH
SYY|2025-09-04 19:30|82.0550|82.5600|82.0450|82.5500|781361|0.4950|0.0100|0.0100|BULLISH
