Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TER|2025-09-02 13:30|116.3800|119.0900|114.5001|118.8900|680091|2.5100|0.2000|1.8799|BULLISH
TER|2025-09-02 14:30|118.9200|119.0600|117.5200|117.6800|274677|1.2400|0.1400|0.1600|BEARISH
TER|2025-09-02 15:30|117.6800|118.4400|117.3075|118.1100|223240|0.4300|0.3300|0.3725|BULLISH
TER|2025-09-02 16:30|118.0950|118.8450|118.0950|118.5500|217964|0.4550|0.2950|0.0000|BULLISH
TER|2025-09-02 17:30|118.5600|119.1150|118.5600|118.8500|235359|0.2900|0.2650|0.0000|BULLISH
TER|2025-09-02 18:30|118.8500|120.1100|118.8350|120.0000|418602|1.1500|0.1100|0.0150|BULLISH
TER|2025-09-02 19:30|120.0000|121.0300|119.9800|120.6200|908400|0.6200|0.4100|0.0200|BULLISH
TER|2025-09-03 13:30|120.7700|122.1200|120.3300|120.6900|512865|0.0800|1.3500|0.3600|BEARISH
TER|2025-09-03 14:30|120.7200|121.0800|118.9000|118.9644|312454|1.7556|0.3600|0.0644|BEARISH
TER|2025-09-03 15:30|118.9700|119.8050|118.9045|119.5300|239385|0.5600|0.2750|0.0655|BULLISH
TER|2025-09-03 16:30|119.5600|119.6300|119.0400|119.4400|153384|0.1200|0.0700|0.4000|BEARISH
TER|2025-09-03 17:30|119.4543|119.5000|118.4000|118.6600|220319|0.7943|0.0457|0.2600|BEARISH
TER|2025-09-03 18:30|118.6600|119.0550|118.3850|118.8100|329961|0.1500|0.2450|0.2750|BULLISH
TER|2025-09-03 19:30|118.8100|119.8100|118.8100|119.6400|665312|0.8300|0.1700|0.0000|BULLISH
TER|2025-09-04 13:30|117.8500|119.0000|116.0000|118.9400|559484|1.0900|0.0600|1.8500|BULLISH
TER|2025-09-04 14:30|118.9400|119.8450|118.6350|119.5600|276028|0.6200|0.2850|0.3050|BULLISH
TER|2025-09-04 15:30|119.5400|119.8350|119.2000|119.2450|153474|0.2950|0.2950|0.0450|BEARISH
TER|2025-09-04 16:30|119.2800|119.4500|118.9000|119.0550|190123|0.2250|0.1700|0.1550|BEARISH
TER|2025-09-04 17:30|119.0900|119.1699|118.6700|119.0400|209980|0.0500|0.0799|0.3700|BEARISH
TER|2025-09-04 18:30|119.0569|119.6400|119.0569|119.6200|325082|0.5631|0.0200|0.0000|BULLISH
TER|2025-09-04 19:30|119.6000|120.0200|119.1500|119.4000|663148|0.2000|0.4200|0.2500|BEARISH
TER|2025-09-05 13:30|120.4600|123.4400|120.0600|121.3700|796827|0.9100|2.0700|0.4000|BULLISH
TER|2025-09-05 14:30|121.2600|121.7900|120.4400|120.9750|266629|0.2850|0.5300|0.5350|BEARISH
