Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TPR|2025-09-02 13:30|100.1600|102.9450|99.8701|102.9450|558473|2.7850|0.0000|0.2899|BULLISH
TPR|2025-09-02 14:30|102.9450|103.1500|102.4008|102.9100|375581|0.0350|0.2050|0.5092|BEARISH
TPR|2025-09-02 15:30|102.9000|102.9000|102.1700|102.2700|343077|0.6300|0.0000|0.1000|BEARISH
TPR|2025-09-02 16:30|102.2800|102.8500|102.2800|102.5300|258637|0.2500|0.3200|0.0000|BULLISH
TPR|2025-09-02 17:30|102.5400|102.8950|102.1735|102.2600|298767|0.2800|0.3550|0.0865|BEARISH
TPR|2025-09-02 18:30|102.2550|102.5800|102.0700|102.5700|338423|0.3150|0.0100|0.1850|BULLISH
TPR|2025-09-02 19:30|102.5700|102.8300|102.4950|102.7850|696685|0.2150|0.0450|0.0750|BULLISH
TPR|2025-09-03 13:30|103.0000|105.3400|102.8100|103.5200|558681|0.5200|1.8200|0.1900|BULLISH
TPR|2025-09-03 14:30|103.5400|103.9900|103.3500|103.7000|322908|0.1600|0.2900|0.1900|BULLISH
TPR|2025-09-03 15:30|103.7200|104.1600|103.5000|103.8550|253952|0.1350|0.3050|0.2200|BULLISH
TPR|2025-09-03 16:30|103.8525|103.9800|103.5000|103.9000|200232|0.0475|0.0800|0.3525|BULLISH
TPR|2025-09-03 17:30|103.8800|103.9300|103.4000|103.5450|265777|0.3350|0.0500|0.1450|BEARISH
TPR|2025-09-03 18:30|103.5550|104.1400|103.3050|104.1400|314021|0.5850|0.0000|0.2500|BULLISH
TPR|2025-09-03 19:30|104.1400|104.4700|104.0300|104.4200|611374|0.2800|0.0500|0.1100|BULLISH
TPR|2025-09-04 13:30|104.7000|105.2100|103.7400|104.0900|379180|0.6100|0.5100|0.3500|BEARISH
TPR|2025-09-04 14:30|104.1100|104.4450|103.8150|104.2100|311479|0.1000|0.2350|0.2950|BULLISH
TPR|2025-09-04 15:30|104.2300|104.6600|104.1250|104.5200|250261|0.2900|0.1400|0.1050|BULLISH
TPR|2025-09-04 16:30|104.5300|104.6350|104.1900|104.5300|221711|0.0000|0.1050|0.3400|BULLISH
TPR|2025-09-04 17:30|104.5350|104.6800|104.3000|104.6498|221842|0.1148|0.0302|0.2350|BULLISH
TPR|2025-09-04 18:30|104.6500|105.3600|104.6400|105.3600|646468|0.7100|0.0000|0.0100|BULLISH
TPR|2025-09-04 19:30|105.3200|105.8500|105.2100|105.8200|633361|0.5000|0.0300|0.1100|BULLISH
TPR|2025-09-05 13:30|105.7300|105.9800|103.9400|104.0100|436751|1.7200|0.2500|0.0700|BEARISH
TPR|2025-09-05 14:30|104.0300|104.3100|102.9700|103.4600|271151|0.5700|0.2800|0.4900|BEARISH
TPR|2025-09-05 15:30|103.4500|103.9450|103.2300|103.7750|179174|0.3250|0.1700|0.2200|BULLISH
TPR|2025-09-05 16:30|103.7750|104.1800|103.6200|103.9300|194026|0.1550|0.2500|0.1550|BULLISH
TPR|2025-09-05 17:30|103.9600|104.2170|103.8150|104.0784|157423|0.1184|0.1386|0.1450|BULLISH
TPR|2025-09-05 18:30|104.0800|104.5300|104.0800|104.3200|193363|0.2400|0.2100|0.0000|BULLISH
TPR|2025-09-05 19:30|104.3250|104.5100|104.0700|104.2097|545300|0.1153|0.1850|0.1397|BEARISH
TPR|2025-09-08 13:30|105.6700|105.8900|102.8400|104.0000|399743|1.6700|0.2200|1.1600|BEARISH
TPR|2025-09-08 14:30|104.0700|104.8900|104.0100|104.7000|274512|0.6300|0.1900|0.0600|BULLISH
TPR|2025-09-08 15:30|104.6700|104.7700|104.4200|104.4200|227211|0.2500|0.1000|0.0000|BEARISH
TPR|2025-09-08 16:30|104.4600|104.7300|104.3200|104.6748|181714|0.2148|0.0552|0.1400|BULLISH
TPR|2025-09-08 17:30|104.6400|104.9300|104.3950|104.9250|221671|0.2850|0.0050|0.2450|BULLISH
TPR|2025-09-08 18:30|104.9500|105.0900|104.6600|104.9100|384523|0.0400|0.1400|0.2500|BEARISH
TPR|2025-09-08 19:30|104.9300|105.0400|104.6000|104.8600|609247|0.0700|0.1100|0.2600|BEARISH
TPR|2025-09-09 13:30|104.2500|104.4800|102.4900|103.0700|424769|1.1800|0.2300|0.5800|BEARISH
TPR|2025-09-09 14:30|103.0800|104.4500|103.0000|104.4000|256558|1.3200|0.0500|0.0800|BULLISH
TPR|2025-09-09 15:30|104.4200|104.7100|104.3450|104.4100|225580|0.0100|0.2900|0.0650|BEARISH
TPR|2025-09-09 16:30|104.4100|104.4800|103.8000|104.2800|287300|0.1300|0.0700|0.4800|BEARISH
