Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TSN|2025-09-02 13:30|56.7200|56.8950|56.1700|56.2400|331985|0.4800|0.1750|0.0700|BEARISH
TSN|2025-09-02 14:30|56.2350|56.6200|56.1500|56.5300|234650|0.2950|0.0900|0.0850|BULLISH
TSN|2025-09-02 15:30|56.5300|56.7200|56.4500|56.6200|159387|0.0900|0.1000|0.0800|BULLISH
TSN|2025-09-02 16:30|56.6150|56.7550|56.5150|56.6100|153533|0.0050|0.1400|0.0950|BEARISH
TSN|2025-09-02 17:30|56.6200|56.7700|56.5838|56.7650|240183|0.1450|0.0050|0.0362|BULLISH
TSN|2025-09-02 18:30|56.7650|56.7900|56.4500|56.4600|236752|0.3050|0.0250|0.0100|BEARISH
TSN|2025-09-02 19:30|56.4650|56.5500|56.2700|56.5300|533280|0.0650|0.0200|0.1950|BULLISH
TSN|2025-09-03 13:30|56.3700|56.3700|55.4100|55.6350|497583|0.7350|0.0000|0.2250|BEARISH
TSN|2025-09-03 14:30|55.6200|56.2500|55.6200|56.1300|251943|0.5100|0.1200|0.0000|BULLISH
TSN|2025-09-03 15:30|56.1400|56.2800|56.0000|56.0550|159654|0.0850|0.1400|0.0550|BEARISH
TSN|2025-09-03 16:30|56.0350|56.2200|55.9950|56.2000|111407|0.1650|0.0200|0.0400|BULLISH
TSN|2025-09-03 17:30|56.2100|56.5000|56.1650|56.4600|131752|0.2500|0.0400|0.0450|BULLISH
TSN|2025-09-03 18:30|56.4600|56.5400|56.3300|56.3700|153840|0.0900|0.0800|0.0400|BEARISH
TSN|2025-09-03 19:30|56.3600|56.4200|56.2600|56.3500|478294|0.0100|0.0600|0.0900|BEARISH
TSN|2025-09-04 13:30|56.5000|56.5700|55.9700|56.1962|213125|0.3038|0.0700|0.2262|BEARISH
TSN|2025-09-04 14:30|56.2100|56.2500|56.0600|56.1200|124525|0.0900|0.0400|0.0600|BEARISH
TSN|2025-09-04 15:30|56.1200|56.2300|56.0100|56.0950|132208|0.0250|0.1100|0.0850|BEARISH
TSN|2025-09-04 16:30|56.0950|56.2600|55.9700|56.1825|123582|0.0875|0.0775|0.1250|BULLISH
TSN|2025-09-04 17:30|56.1800|56.3600|56.1100|56.3600|114879|0.1800|0.0000|0.0700|BULLISH
TSN|2025-09-04 18:30|56.3500|56.4100|56.2000|56.2150|227233|0.1350|0.0600|0.0150|BEARISH
TSN|2025-09-04 19:30|56.2200|56.3200|56.1400|56.1800|483831|0.0400|0.1000|0.0400|BEARISH
TSN|2025-09-05 13:30|56.1100|56.6800|55.9400|55.9700|228647|0.1400|0.5700|0.0300|BEARISH
TSN|2025-09-05 14:30|56.0000|56.1500|55.7900|56.0400|231377|0.0400|0.1100|0.2100|BULLISH
TSN|2025-09-05 15:30|56.0600|56.0950|55.8400|55.8400|172681|0.2200|0.0350|0.0000|BEARISH
TSN|2025-09-05 16:30|55.8350|55.9300|55.7600|55.7700|145214|0.0650|0.0950|0.0100|BEARISH
TSN|2025-09-05 17:30|55.7900|55.8900|55.7000|55.8300|183036|0.0400|0.0600|0.0900|BULLISH
TSN|2025-09-05 18:30|55.8500|56.0900|55.8500|56.0220|232704|0.1720|0.0680|0.0000|BULLISH
TSN|2025-09-05 19:30|56.0300|56.2600|55.9800|56.2000|370537|0.1700|0.0600|0.0500|BULLISH
TSN|2025-09-08 13:30|55.7700|55.9700|55.3600|55.8050|304377|0.0350|0.1650|0.4100|BULLISH
TSN|2025-09-08 14:30|55.7900|56.0670|55.7300|55.7900|205902|0.0000|0.2770|0.0600|BULLISH
TSN|2025-09-08 15:30|55.7950|55.8069|55.6450|55.6982|158745|0.0968|0.0119|0.0532|BEARISH
TSN|2025-09-08 16:30|55.6800|55.8200|55.6800|55.7750|150195|0.0950|0.0450|0.0000|BULLISH
TSN|2025-09-08 17:30|55.7750|55.8180|55.6000|55.6900|192887|0.0850|0.0430|0.0900|BEARISH
TSN|2025-09-08 18:30|55.6800|55.8300|55.6500|55.6600|265291|0.0200|0.1500|0.0100|BEARISH
TSN|2025-09-08 19:30|55.6600|55.9400|55.6600|55.9200|380201|0.2600|0.0200|0.0000|BULLISH
TSN|2025-09-09 13:30|55.7000|55.9200|55.6000|55.9000|237448|0.2000|0.0200|0.1000|BULLISH
TSN|2025-09-09 14:30|55.8900|55.9700|55.6400|55.8950|175237|0.0050|0.0750|0.2500|BULLISH
TSN|2025-09-09 15:30|55.9100|55.9795|55.8000|55.8800|140764|0.0300|0.0695|0.0800|BEARISH
TSN|2025-09-09 16:30|55.8703|55.8800|55.6950|55.7700|111363|0.1003|0.0097|0.0750|BEARISH
TSN|2025-09-09 17:30|55.7800|56.0550|55.7800|56.0450|132364|0.2650|0.0100|0.0000|BULLISH
TSN|2025-09-09 18:30|56.0500|56.0800|55.8150|55.8400|195064|0.2100|0.0300|0.0250|BEARISH
TSN|2025-09-09 19:30|55.8489|55.9250|55.7950|55.8300|337108|0.0189|0.0761|0.0350|BEARISH
TSN|2025-09-10 13:30|55.6000|55.6800|55.0800|55.1200|294966|0.4800|0.0800|0.0400|BEARISH
TSN|2025-09-10 14:30|55.1100|55.1100|54.8150|54.9600|271308|0.1500|0.0000|0.1450|BEARISH
TSN|2025-09-10 15:30|54.9600|55.3400|54.9600|55.1750|249855|0.2150|0.1650|0.0000|BULLISH
TSN|2025-09-10 16:30|55.1750|55.2800|55.0300|55.1700|161127|0.0050|0.1050|0.1400|BEARISH
TSN|2025-09-10 17:30|55.1700|55.4700|55.1700|55.4100|202900|0.2400|0.0600|0.0000|BULLISH
TSN|2025-09-10 18:30|55.4100|55.6350|55.3500|55.4750|256978|0.0650|0.1600|0.0600|BULLISH
TSN|2025-09-10 19:30|55.4700|55.5050|55.3000|55.4100|411448|0.0600|0.0350|0.1100|BEARISH
TSN|2025-09-11 13:30|55.7700|56.4300|55.5500|56.2450|367773|0.4750|0.1850|0.2200|BULLISH
TSN|2025-09-11 14:30|56.2500|56.3030|56.0200|56.0400|263350|0.2100|0.0530|0.0200|BEARISH
TSN|2025-09-11 15:30|56.0600|56.1350|55.9800|56.0250|182284|0.0350|0.0750|0.0450|BEARISH
TSN|2025-09-11 16:30|56.0200|56.1050|55.8900|56.0300|246588|0.0100|0.0750|0.1300|BULLISH
TSN|2025-09-11 17:30|56.0350|56.2050|55.9500|56.2001|315106|0.1651|0.0049|0.0850|BULLISH
TSN|2025-09-11 18:30|56.2035|56.2035|55.9900|56.0350|318633|0.1685|0.0000|0.0450|BEARISH
TSN|2025-09-11 19:30|56.0350|56.1600|55.9800|56.0800|650041|0.0450|0.0800|0.0550|BULLISH
TSN|2025-09-12 13:30|56.0150|56.0700|55.4900|55.5100|224928|0.5050|0.0550|0.0200|BEARISH
TSN|2025-09-12 14:30|55.5300|55.5900|55.1600|55.2700|265222|0.2600|0.0600|0.1100|BEARISH
TSN|2025-09-12 15:30|55.2700|55.4100|55.1600|55.2800|167307|0.0100|0.1300|0.1100|BULLISH
TSN|2025-09-12 16:30|55.3000|55.3600|55.1450|55.2100|208342|0.0900|0.0600|0.0650|BEARISH
TSN|2025-09-12 17:30|55.2200|55.3200|55.1350|55.2350|210285|0.0150|0.0850|0.0850|BULLISH
TSN|2025-09-12 18:30|55.2400|55.5100|55.2150|55.3150|388878|0.0750|0.1950|0.0250|BULLISH
TSN|2025-09-12 19:30|55.3200|55.4000|55.1100|55.1400|418642|0.1800|0.0800|0.0300|BEARISH
TSN|2025-09-15 13:30|55.2800|55.3800|54.8750|54.9450|230308|0.3350|0.1000|0.0700|BEARISH
TSN|2025-09-15 14:30|54.9450|54.9900|54.2600|54.2898|276838|0.6552|0.0450|0.0298|BEARISH
TSN|2025-09-15 15:30|54.2900|54.4650|54.2400|54.3450|258882|0.0550|0.1200|0.0500|BULLISH
TSN|2025-09-15 16:30|54.3500|54.4300|54.2450|54.2950|166469|0.0550|0.0800|0.0500|BEARISH
TSN|2025-09-15 17:30|54.2990|54.3150|54.2050|54.2450|253256|0.0540|0.0160|0.0400|BEARISH
TSN|2025-09-15 18:30|54.2500|54.4400|54.1350|54.1850|355907|0.0650|0.1900|0.0500|BEARISH
TSN|2025-09-15 19:30|54.1850|54.2400|53.9050|53.9800|663325|0.2050|0.0550|0.0750|BEARISH
TSN|2025-09-16 13:30|54.0500|54.2199|53.7850|53.9700|278045|0.0800|0.1699|0.1850|BEARISH
TSN|2025-09-16 14:30|53.9700|54.2450|53.8900|54.1800|248937|0.2100|0.0650|0.0800|BULLISH
TSN|2025-09-16 15:30|54.1900|54.2300|54.0400|54.0500|246433|0.1400|0.0400|0.0100|BEARISH
TSN|2025-09-16 16:30|54.0500|54.2400|54.0400|54.1300|181818|0.0800|0.1100|0.0100|BULLISH
TSN|2025-09-16 17:30|54.1300|54.2850|54.0850|54.2800|194311|0.1500|0.0050|0.0450|BULLISH
TSN|2025-09-16 18:30|54.2900|54.4950|54.2850|54.4000|308583|0.1100|0.0950|0.0050|BULLISH
TSN|2025-09-16 19:30|54.4050|54.6150|54.3400|54.3700|686455|0.0350|0.2100|0.0300|BEARISH
TSN|2025-09-17 13:30|54.3500|54.8100|54.1900|54.3600|218617|0.0100|0.4500|0.1600|BULLISH
TSN|2025-09-17 14:30|54.3650|54.6900|54.3000|54.6500|157892|0.2850|0.0400|0.0650|BULLISH
TSN|2025-09-17 15:30|54.6500|54.7050|54.4300|54.4500|128428|0.2000|0.0550|0.0200|BEARISH
TSN|2025-09-17 16:30|54.4700|54.6200|54.4350|54.5400|149644|0.0700|0.0800|0.0350|BULLISH
TSN|2025-09-17 17:30|54.5200|54.8100|54.4600|54.6600|267379|0.1400|0.1500|0.0600|BULLISH
TSN|2025-09-17 18:30|54.6600|54.6700|54.0900|54.1700|329130|0.4900|0.0100|0.0800|BEARISH
TSN|2025-09-17 19:30|54.1700|54.2400|54.0550|54.1100|502343|0.0600|0.0700|0.0550|BEARISH
TSN|2025-09-18 13:30|53.9500|54.2050|53.7500|54.1350|188310|0.1850|0.0700|0.2000|BULLISH
TSN|2025-09-18 14:30|54.1350|54.1950|53.8600|54.1700|138328|0.0350|0.0250|0.2750|BULLISH
TSN|2025-09-18 15:30|54.1800|54.2250|54.0200|54.1699|219373|0.0101|0.0450|0.1499|BEARISH
TSN|2025-09-18 16:30|54.1700|54.3000|54.1600|54.1800|126260|0.0100|0.1200|0.0100|BULLISH
TSN|2025-09-18 17:30|54.1900|54.2700|54.1001|54.1500|148207|0.0400|0.0800|0.0499|BEARISH
TSN|2025-09-18 18:30|54.1500|54.3000|54.1000|54.1300|189909|0.0200|0.1500|0.0300|BEARISH
TSN|2025-09-18 19:30|54.1300|54.3050|54.0000|54.0100|412940|0.1200|0.1750|0.0100|BEARISH
TSN|2025-09-19 13:30|54.2200|54.2750|53.8600|54.0500|741765|0.1700|0.0550|0.1900|BEARISH
TSN|2025-09-19 14:30|54.0400|54.0400|53.8300|53.8600|144366|0.1800|0.0000|0.0300|BEARISH
TSN|2025-09-19 15:30|53.8700|54.0500|53.8200|53.9200|200467|0.0500|0.1300|0.0500|BULLISH
TSN|2025-09-19 16:30|53.9250|54.0150|53.8350|53.9050|150397|0.0200|0.0900|0.0700|BEARISH
TSN|2025-09-19 17:30|53.9100|53.9600|53.6950|53.7200|138441|0.1900|0.0500|0.0250|BEARISH
TSN|2025-09-19 18:30|53.7100|53.8600|53.6800|53.7950|196416|0.0850|0.0650|0.0300|BULLISH
TSN|2025-09-19 19:30|53.7850|53.8350|53.5900|53.6000|374781|0.1850|0.0500|0.0100|BEARISH
TSN|2025-09-22 13:30|53.5700|53.9600|53.2877|53.9300|346194|0.3600|0.0300|0.2823|BULLISH
TSN|2025-09-22 14:30|53.9500|54.1700|53.7900|53.8400|230710|0.1100|0.2200|0.0500|BEARISH
TSN|2025-09-22 15:30|53.8453|53.8900|53.6000|53.6300|229433|0.2153|0.0447|0.0300|BEARISH
TSN|2025-09-22 16:30|53.6300|53.7300|53.4900|53.6700|162527|0.0400|0.0600|0.1400|BULLISH
TSN|2025-09-22 17:30|53.6750|53.7465|53.6200|53.6700|200784|0.0050|0.0715|0.0500|BEARISH
TSN|2025-09-22 18:30|53.6600|53.8000|53.6300|53.7050|255265|0.0450|0.0950|0.0300|BULLISH
TSN|2025-09-22 19:30|53.7050|53.9200|53.6500|53.6600|460148|0.0450|0.2150|0.0100|BEARISH
TSN|2025-09-23 13:30|53.8500|54.1600|53.7200|53.8000|186272|0.0500|0.3100|0.0800|BEARISH
TSN|2025-09-23 14:30|53.7700|53.8890|53.6050|53.6600|142109|0.1100|0.1190|0.0550|BEARISH
TSN|2025-09-23 15:30|53.6700|53.8900|53.6550|53.8750|215678|0.2050|0.0150|0.0150|BULLISH
TSN|2025-09-23 16:30|53.8700|53.8800|53.7100|53.7300|143474|0.1400|0.0100|0.0200|BEARISH
TSN|2025-09-23 17:30|53.7250|53.8450|53.5700|53.5900|132069|0.1350|0.1200|0.0200|BEARISH
TSN|2025-09-23 18:30|53.5800|53.7950|53.5600|53.6300|255496|0.0500|0.1650|0.0200|BULLISH
TSN|2025-09-23 19:30|53.6250|53.8500|53.5950|53.8500|395350|0.2250|0.0000|0.0300|BULLISH
TSN|2025-09-24 13:30|53.6600|54.2900|53.6436|54.1300|225372|0.4700|0.1600|0.0164|BULLISH
TSN|2025-09-24 14:30|54.1330|54.4500|54.1176|54.3000|289583|0.1670|0.1500|0.0154|BULLISH
TSN|2025-09-24 15:30|54.3000|54.5700|54.2500|54.3900|202793|0.0900|0.1800|0.0500|BULLISH
TSN|2025-09-24 16:30|54.4000|54.5700|54.3400|54.5000|119249|0.1000|0.0700|0.0600|BULLISH
TSN|2025-09-24 17:30|54.5050|54.6400|54.3650|54.4200|175251|0.0850|0.1350|0.0550|BEARISH
TSN|2025-09-24 18:30|54.4151|54.4500|54.3350|54.4300|260162|0.0149|0.0200|0.0801|BULLISH
TSN|2025-09-24 19:30|54.4400|54.5300|54.3750|54.4600|505818|0.0200|0.0700|0.0650|BULLISH
TSN|2025-09-25 13:30|54.7500|54.7500|53.9400|53.9400|405490|0.8100|0.0000|0.0000|BEARISH
TSN|2025-09-25 14:30|53.9350|54.4000|53.9100|54.3200|227028|0.3850|0.0800|0.0250|BULLISH
