Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TTWO|2025-09-02 13:30|231.1600|236.3650|229.3300|236.3000|241865|5.1400|0.0650|1.8300|BULLISH
TTWO|2025-09-02 14:30|236.3250|238.3100|235.8800|237.7504|231741|1.4254|0.5596|0.4450|BULLISH
TTWO|2025-09-02 15:30|237.7300|237.8500|236.5100|236.8065|168064|0.9235|0.1200|0.2965|BEARISH
TTWO|2025-09-02 16:30|236.9350|238.4300|236.4700|238.3200|115009|1.3850|0.1100|0.4650|BULLISH
TTWO|2025-09-02 17:30|238.2900|239.3350|238.2175|238.7100|157283|0.4200|0.6250|0.0725|BULLISH
TTWO|2025-09-02 18:30|238.6150|240.1850|238.5700|239.8500|237984|1.2350|0.3350|0.0450|BULLISH
TTWO|2025-09-02 19:30|239.7550|241.0800|239.6350|240.9500|303919|1.1950|0.1300|0.1200|BULLISH
TTWO|2025-09-03 13:30|241.2800|242.3000|238.7100|239.0700|186913|2.2100|1.0200|0.3600|BEARISH
TTWO|2025-09-03 14:30|239.1450|241.2700|239.1450|240.2800|122280|1.1350|0.9900|0.0000|BULLISH
TTWO|2025-09-03 15:30|240.2600|240.2600|239.2300|239.6100|108875|0.6500|0.0000|0.3800|BEARISH
TTWO|2025-09-03 16:30|239.5800|239.6750|238.5550|238.5550|88646|1.0250|0.0950|0.0000|BEARISH
TTWO|2025-09-03 17:30|238.6400|238.6400|237.4700|238.1900|105619|0.4500|0.0000|0.7200|BEARISH
TTWO|2025-09-03 18:30|238.1300|238.1900|237.0250|238.1800|115690|0.0500|0.0100|1.1050|BULLISH
TTWO|2025-09-03 19:30|238.1400|239.0550|238.1400|238.9000|234409|0.7600|0.1550|0.0000|BULLISH
TTWO|2025-09-04 13:30|238.5300|239.7000|237.5000|238.9600|109473|0.4300|0.7400|1.0300|BULLISH
TTWO|2025-09-04 14:30|239.1000|239.8500|238.6600|239.7711|86489|0.6711|0.0789|0.4400|BULLISH
TTWO|2025-09-04 15:30|239.6500|239.8700|239.1200|239.4822|93675|0.1678|0.2200|0.3622|BEARISH
TTWO|2025-09-04 16:30|239.5000|240.7800|239.5000|240.6500|75529|1.1500|0.1300|0.0000|BULLISH
TTWO|2025-09-04 17:30|240.5812|240.8000|239.9000|239.9700|82262|0.6112|0.2188|0.0700|BEARISH
TTWO|2025-09-04 18:30|239.9280|240.2800|239.7500|240.2600|83795|0.3320|0.0200|0.1780|BULLISH
TTWO|2025-09-04 19:30|240.2150|240.8400|239.7900|240.6390|189862|0.4240|0.2010|0.4250|BULLISH
TTWO|2025-09-05 13:30|241.9983|242.3750|239.0000|239.1682|175278|2.8301|0.3767|0.1682|BEARISH
TTWO|2025-09-05 14:30|239.0200|239.1000|236.9400|238.7900|102459|0.2300|0.0800|1.8500|BEARISH
TTWO|2025-09-05 15:30|238.6400|239.1800|238.2000|238.2000|66931|0.4400|0.5400|0.0000|BEARISH
TTWO|2025-09-05 16:30|238.3200|238.8153|237.9300|238.7599|61316|0.4399|0.0554|0.3900|BULLISH
TTWO|2025-09-05 17:30|238.7700|239.7900|238.5700|239.4850|71452|0.7150|0.3050|0.2000|BULLISH
TTWO|2025-09-05 18:30|239.5800|240.8190|239.5300|240.8190|112808|1.2390|0.0000|0.0500|BULLISH
TTWO|2025-09-05 19:30|240.8100|240.8700|239.4900|239.7500|197515|1.0600|0.0600|0.2600|BEARISH
TTWO|2025-09-08 13:30|241.4000|246.4300|241.4000|245.1500|346638|3.7500|1.2800|0.0000|BULLISH
TTWO|2025-09-08 14:30|245.1800|247.0000|244.9200|246.6650|181227|1.4850|0.3350|0.2600|BULLISH
TTWO|2025-09-08 15:30|246.7300|248.7000|246.4900|248.1400|276500|1.4100|0.5600|0.2400|BULLISH
TTWO|2025-09-08 16:30|248.1100|248.9800|247.8850|248.8800|128083|0.7700|0.1000|0.2250|BULLISH
TTWO|2025-09-08 17:30|248.8750|249.6250|248.1900|249.4944|203342|0.6194|0.1306|0.6850|BULLISH
TTWO|2025-09-08 18:30|249.4200|250.4500|248.6500|249.4576|323145|0.0376|0.9924|0.7700|BULLISH
TTWO|2025-09-08 19:30|249.5600|249.7200|248.0500|248.7990|335472|0.7610|0.1600|0.7490|BEARISH
TTWO|2025-09-09 13:30|249.2800|249.9999|247.3200|247.6900|141850|1.5900|0.7199|0.3700|BEARISH
TTWO|2025-09-09 14:30|247.6500|248.7500|247.4700|248.4200|87101|0.7700|0.3300|0.1800|BULLISH
TTWO|2025-09-09 15:30|248.3900|248.4900|247.9800|248.0500|69573|0.3400|0.1000|0.0700|BEARISH
TTWO|2025-09-09 16:30|248.0400|248.6200|247.3550|248.4800|74048|0.4400|0.1400|0.6850|BULLISH
TTWO|2025-09-09 17:30|248.5800|248.9000|248.0950|248.8000|80857|0.2200|0.1000|0.4850|BULLISH
TTWO|2025-09-09 18:30|248.7300|248.7300|247.5200|247.8000|105274|0.9300|0.0000|0.2800|BEARISH
TTWO|2025-09-09 19:30|247.8500|248.1400|247.2700|247.9000|210657|0.0500|0.2400|0.5800|BULLISH
TTWO|2025-09-10 13:30|248.5800|248.5800|244.5201|245.2000|193406|3.3800|0.0000|0.6799|BEARISH
TTWO|2025-09-10 14:30|245.1400|245.3550|244.0700|244.4000|126027|0.7400|0.2150|0.3300|BEARISH
TTWO|2025-09-10 15:30|244.4600|244.6899|243.8900|244.0450|79568|0.4150|0.2299|0.1550|BEARISH
TTWO|2025-09-10 16:30|243.9400|245.0599|243.8000|244.0500|65677|0.1100|1.0099|0.1400|BULLISH
TTWO|2025-09-10 17:30|244.0315|244.8400|243.9300|244.8000|63475|0.7685|0.0400|0.1015|BULLISH
TTWO|2025-09-10 18:30|244.8000|244.8000|243.4600|243.8050|90578|0.9950|0.0000|0.3450|BEARISH
TTWO|2025-09-10 19:30|243.8500|244.4400|243.7400|244.0400|234420|0.1900|0.4000|0.1100|BULLISH
TTWO|2025-09-11 13:30|246.0700|247.2550|244.8850|247.1200|89447|1.0500|0.1350|1.1850|BULLISH
TTWO|2025-09-11 14:30|246.9700|247.3200|245.0500|245.9900|45422|0.9800|0.3500|0.9400|BEARISH
TTWO|2025-09-11 15:30|245.9300|248.0000|245.7400|247.8600|115206|1.9300|0.1400|0.1900|BULLISH
TTWO|2025-09-11 16:30|247.8600|247.9900|247.1000|247.2300|81602|0.6300|0.1300|0.1300|BEARISH
TTWO|2025-09-11 17:30|247.2400|247.6300|245.6300|246.0100|159233|1.2300|0.3900|0.3800|BEARISH
TTWO|2025-09-11 18:30|246.0550|247.1282|245.3700|247.0200|130693|0.9650|0.1082|0.6850|BULLISH
TTWO|2025-09-11 19:30|247.0150|247.2600|246.4100|246.4400|163173|0.5750|0.2450|0.0300|BEARISH
TTWO|2025-09-12 13:30|245.9700|248.2600|244.1901|244.3200|165954|1.6500|2.2900|0.1299|BEARISH
TTWO|2025-09-12 14:30|244.4114|245.7500|244.0300|245.5500|89850|1.1386|0.2000|0.3814|BULLISH
TTWO|2025-09-12 15:30|245.7000|245.7800|244.7700|244.9100|59801|0.7900|0.0800|0.1400|BEARISH
TTWO|2025-09-12 16:30|244.9400|245.6050|244.9400|245.3700|52609|0.4300|0.2350|0.0000|BULLISH
TTWO|2025-09-12 17:30|245.3550|246.0300|245.2900|245.7400|69601|0.3850|0.2900|0.0650|BULLISH
TTWO|2025-09-12 18:30|245.8000|246.9600|245.8000|246.2600|92163|0.4600|0.7000|0.0000|BULLISH
TTWO|2025-09-12 19:30|246.2400|246.9300|245.7900|246.2600|213432|0.0200|0.6700|0.4500|BULLISH
TTWO|2025-09-15 13:30|246.2500|249.1300|246.0500|248.8400|170574|2.5900|0.2900|0.2000|BULLISH
TTWO|2025-09-15 14:30|248.6700|249.5750|248.1500|248.4875|114709|0.1825|0.9050|0.3375|BEARISH
TTWO|2025-09-15 15:30|248.4950|249.6000|248.1500|249.4100|80924|0.9150|0.1900|0.3450|BULLISH
TTWO|2025-09-15 16:30|249.4100|250.2484|248.3700|248.3700|136486|1.0400|0.8384|0.0000|BEARISH
TTWO|2025-09-15 17:30|248.7100|248.7100|247.4200|247.8200|117415|0.8900|0.0000|0.4000|BEARISH
TTWO|2025-09-15 18:30|247.8550|248.3000|247.0200|247.3100|92840|0.5450|0.4450|0.2900|BEARISH
TTWO|2025-09-15 19:30|247.2950|248.0300|247.0500|247.2300|252622|0.0650|0.7350|0.1800|BEARISH
TTWO|2025-09-16 13:30|247.5400|249.7300|246.7218|249.6200|275468|2.0800|0.1100|0.8182|BULLISH
TTWO|2025-09-16 14:30|249.7500|250.9600|247.1100|247.3900|219387|2.3600|1.2100|0.2800|BEARISH
TTWO|2025-09-16 15:30|247.4800|248.4100|247.4500|248.1600|99550|0.6800|0.2500|0.0300|BULLISH
TTWO|2025-09-16 16:30|248.1450|249.0100|247.0400|247.4250|126302|0.7200|0.8650|0.3850|BEARISH
TTWO|2025-09-16 17:30|247.4250|248.4400|247.1500|248.3350|100516|0.9100|0.1050|0.2750|BULLISH
TTWO|2025-09-16 18:30|248.2500|249.0350|248.0200|248.0200|139022|0.2300|0.7850|0.0000|BEARISH
TTWO|2025-09-16 19:30|248.0100|248.6300|247.6000|247.7300|343249|0.2800|0.6200|0.1300|BEARISH
TTWO|2025-09-17 13:30|248.0000|248.3500|246.6900|247.5700|170178|0.4300|0.3500|0.8800|BEARISH
TTWO|2025-09-17 14:30|247.5700|247.7000|246.2900|246.6500|140309|0.9200|0.1300|0.3600|BEARISH
TTWO|2025-09-17 15:30|246.8000|247.2900|245.7100|247.1850|183645|0.3850|0.1050|1.0900|BULLISH
TTWO|2025-09-17 16:30|247.2900|247.2900|246.1901|246.9850|97865|0.3050|0.0000|0.7949|BEARISH
TTWO|2025-09-17 17:30|246.9650|248.1900|246.5900|247.8200|163408|0.8550|0.3700|0.3750|BULLISH
TTWO|2025-09-17 18:30|247.6300|250.5500|246.6500|250.4100|251385|2.7800|0.1400|0.9800|BULLISH
TTWO|2025-09-17 19:30|250.4650|251.2000|250.0700|250.5300|347350|0.0650|0.6700|0.3950|BULLISH
TTWO|2025-09-18 13:30|251.0900|252.6100|250.7600|252.0564|219120|0.9664|0.5536|0.3300|BULLISH
TTWO|2025-09-18 14:30|251.9950|252.3200|251.0900|251.3100|168479|0.6850|0.3250|0.2200|BEARISH
TTWO|2025-09-18 15:30|251.3100|251.3950|249.3200|250.8250|149494|0.4850|0.0850|1.5050|BEARISH
TTWO|2025-09-18 16:30|250.8950|251.7100|250.6100|251.5350|105626|0.6400|0.1750|0.2850|BULLISH
TTWO|2025-09-18 17:30|251.5150|252.1700|250.7350|251.9800|133778|0.4650|0.1900|0.7800|BULLISH
TTWO|2025-09-18 18:30|252.0600|252.4400|250.1700|250.4400|198682|1.6200|0.3800|0.2700|BEARISH
TTWO|2025-09-18 19:30|250.4000|250.5500|249.1200|249.7500|395446|0.6500|0.1500|0.6300|BEARISH
TTWO|2025-09-19 13:30|251.4000|252.1625|247.8064|248.8700|570246|2.5300|0.7625|1.0636|BEARISH
TTWO|2025-09-19 14:30|248.8750|249.7350|248.1000|249.3200|134745|0.4450|0.4150|0.7750|BULLISH
TTWO|2025-09-19 15:30|249.3500|249.5000|247.8424|249.4950|131010|0.1450|0.0050|1.5076|BULLISH
TTWO|2025-09-19 16:30|249.4700|249.8850|249.1921|249.5750|93973|0.1050|0.3100|0.2779|BULLISH
TTWO|2025-09-19 17:30|249.5750|250.3800|249.5750|250.3800|85615|0.8050|0.0000|0.0000|BULLISH
TTWO|2025-09-19 18:30|250.3000|250.7600|250.1700|250.4000|135398|0.1000|0.3600|0.1300|BULLISH
TTWO|2025-09-19 19:30|250.3800|251.7900|250.3050|250.8500|346230|0.4700|0.9400|0.0750|BULLISH
TTWO|2025-09-22 13:30|249.3900|255.3300|249.3900|253.8000|197590|4.4100|1.5300|0.0000|BULLISH
TTWO|2025-09-22 14:30|253.7200|255.0100|253.0132|253.9700|129991|0.2500|1.0400|0.7068|BULLISH
TTWO|2025-09-22 15:30|253.8800|254.3100|252.1600|252.3200|131132|1.5600|0.4300|0.1600|BEARISH
TTWO|2025-09-22 16:30|252.3200|253.0100|251.5700|251.9300|121588|0.3900|0.6900|0.3600|BEARISH
TTWO|2025-09-22 17:30|252.0500|253.2100|251.4168|253.1450|92958|1.0950|0.0650|0.6332|BULLISH
TTWO|2025-09-22 18:30|253.1800|253.8100|251.7000|251.8300|148045|1.3500|0.6300|0.1300|BEARISH
TTWO|2025-09-22 19:30|251.7800|252.4400|251.2600|251.6400|287285|0.1400|0.6600|0.3800|BEARISH
TTWO|2025-09-23 13:30|251.6400|254.1200|251.4450|252.2500|138729|0.6100|1.8700|0.1950|BULLISH
TTWO|2025-09-23 14:30|252.2500|253.3700|251.8700|252.1500|104461|0.1000|1.1200|0.2800|BEARISH
TTWO|2025-09-23 15:30|252.3100|252.3480|250.8700|251.3700|112356|0.9400|0.0380|0.5000|BEARISH
TTWO|2025-09-23 16:30|251.4600|252.5350|250.9700|252.1400|183125|0.6800|0.3950|0.4900|BULLISH
TTWO|2025-09-23 17:30|252.1000|252.2800|251.1652|251.7700|93235|0.3300|0.1800|0.6048|BEARISH
TTWO|2025-09-23 18:30|251.8900|252.1100|251.4000|252.0000|286221|0.1100|0.1100|0.4900|BULLISH
TTWO|2025-09-23 19:30|252.0600|252.9550|251.1000|251.2800|312571|0.7800|0.8950|0.1800|BEARISH
TTWO|2025-09-24 13:30|252.6200|252.8250|244.1900|246.1100|195991|6.5100|0.2050|1.9200|BEARISH
TTWO|2025-09-24 14:30|246.3950|246.8800|240.4500|240.6208|224818|5.7742|0.4850|0.1708|BEARISH
TTWO|2025-09-24 15:30|240.7603|242.6200|239.4600|242.6200|229561|1.8597|0.0000|1.3003|BULLISH
TTWO|2025-09-24 16:30|242.6699|244.2200|242.1600|243.4400|190096|0.7701|0.7800|0.5099|BULLISH
TTWO|2025-09-24 17:30|243.0500|244.0000|242.6500|243.0000|94750|0.0500|0.9500|0.3500|BEARISH
TTWO|2025-09-24 18:30|243.0300|244.6700|243.0300|243.6300|134244|0.6000|1.0400|0.0000|BULLISH
TTWO|2025-09-24 19:30|243.6350|244.3100|243.2700|244.2200|226404|0.5850|0.0900|0.3650|BULLISH
TTWO|2025-09-25 13:30|244.0900|245.3600|242.6150|245.2500|138934|1.1600|0.1100|1.4750|BULLISH
TTWO|2025-09-25 14:30|245.1443|245.3500|244.0000|244.0600|88393|1.0843|0.2057|0.0600|BEARISH
TTWO|2025-09-25 15:30|244.4300|244.9299|244.1400|244.6100|56912|0.1800|0.3199|0.2900|BULLISH
TTWO|2025-09-25 16:30|244.7500|245.6850|244.3200|245.1600|64208|0.4100|0.5250|0.4300|BULLISH
TTWO|2025-09-25 17:30|245.2550|245.3000|244.1000|245.2500|56940|0.0050|0.0450|1.1500|BEARISH
TTWO|2025-09-25 18:30|245.3200|246.1250|245.0600|245.8700|91206|0.5500|0.2550|0.2600|BULLISH
TTWO|2025-09-25 19:30|245.9300|246.1300|245.0700|245.1200|206835|0.8100|0.2000|0.0500|BEARISH
TTWO|2025-09-26 13:30|246.3000|248.9400|245.5550|246.9500|86660|0.6500|1.9900|0.7450|BULLISH
TTWO|2025-09-26 14:30|246.9700|248.4600|246.5650|248.4600|65302|1.4900|0.0000|0.4050|BULLISH
TTWO|2025-09-26 15:30|248.2400|248.9900|247.5700|248.8800|48381|0.6400|0.1100|0.6700|BULLISH
TTWO|2025-09-26 16:30|249.0800|249.0900|248.5600|248.8300|36690|0.2500|0.0100|0.2700|BEARISH
TTWO|2025-09-26 17:30|248.7550|248.7550|248.0100|248.5750|35806|0.1800|0.0000|0.5650|BEARISH
TTWO|2025-09-26 18:30|248.5700|258.1000|248.3900|254.2500|1480686|5.6800|3.8500|0.1800|BULLISH
TTWO|2025-09-26 19:30|254.2500|256.6700|254.0200|256.0900|1448485|1.8400|0.5800|0.2300|BULLISH
TTWO|2025-09-29 13:30|257.5000|261.0000|254.5500|259.5100|362351|2.0100|1.4900|2.9500|BULLISH
TTWO|2025-09-29 14:30|259.5300|260.1900|257.5200|258.1000|213891|1.4300|0.6600|0.5800|BEARISH
TTWO|2025-09-29 15:30|258.2300|258.6700|256.9550|257.1200|80284|1.1100|0.4400|0.1650|BEARISH
TTWO|2025-09-29 16:30|257.2350|257.8100|256.5975|257.0950|81571|0.1400|0.5750|0.4975|BEARISH
TTWO|2025-09-29 17:30|257.2900|259.4800|257.1750|259.3950|86184|2.1050|0.0850|0.1150|BULLISH
TTWO|2025-09-29 18:30|259.2300|260.1600|258.3000|259.7400|146571|0.5100|0.4200|0.9300|BULLISH
TTWO|2025-09-29 19:30|259.7500|261.2200|259.4300|260.0200|270307|0.2700|1.2000|0.3200|BULLISH
TTWO|2025-09-30 13:30|259.7000|261.1550|256.1600|256.8150|165979|2.8850|1.4550|0.6550|BEARISH
TTWO|2025-09-30 14:30|256.9850|259.0700|256.4300|258.4654|146702|1.4804|0.6046|0.5550|BULLISH
TTWO|2025-09-30 15:30|258.5650|259.2795|257.1500|257.6200|119091|0.9450|0.7145|0.4700|BEARISH
TTWO|2025-09-30 16:30|257.7200|257.9450|256.5700|256.9600|78784|0.7600|0.2250|0.3900|BEARISH
TTWO|2025-09-30 17:30|256.9600|258.3100|256.6200|257.8800|77916|0.9200|0.4300|0.3400|BULLISH
TTWO|2025-09-30 18:30|258.0150|258.3400|257.7200|258.1150|105188|0.1000|0.2250|0.2950|BULLISH
TTWO|2025-09-30 19:30|258.0900|259.1000|257.9600|258.3900|318388|0.3000|0.7100|0.1300|BULLISH
TTWO|2025-10-01 13:30|256.6900|258.2850|253.3100|256.5200|193349|0.1700|1.5950|3.2100|BEARISH
TTWO|2025-10-01 14:30|256.8900|257.5700|256.3350|256.5400|92192|0.3500|0.6800|0.2050|BEARISH
TTWO|2025-10-01 15:30|256.5700|256.7200|255.5800|256.0250|108217|0.5450|0.1500|0.4450|BEARISH
TTWO|2025-10-01 16:30|255.9850|256.4900|255.7100|255.9000|80112|0.0850|0.5050|0.1900|BEARISH
TTWO|2025-10-01 17:30|255.9000|257.3100|255.9000|257.2400|281741|1.3400|0.0700|0.0000|BULLISH
TTWO|2025-10-01 18:30|257.2550|257.4800|256.7300|257.2800|133568|0.0250|0.2000|0.5250|BULLISH
