Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TXT|2025-09-02 13:30|79.2800|79.9300|78.4800|79.4750|162197|0.1950|0.4550|0.8000|BULLISH
TXT|2025-09-02 14:30|79.4450|79.4450|78.9900|79.0000|91244|0.4450|0.0000|0.0100|BEARISH
TXT|2025-09-02 15:30|78.9900|79.1100|78.8100|78.8100|100002|0.1800|0.1200|0.0000|BEARISH
TXT|2025-09-02 16:30|78.8200|79.2225|78.8200|79.1700|165336|0.3500|0.0525|0.0000|BULLISH
TXT|2025-09-02 17:30|79.1700|79.4099|79.1650|79.2650|369099|0.0950|0.1449|0.0050|BULLISH
TXT|2025-09-02 18:30|79.2750|79.5900|79.2200|79.5100|230172|0.2350|0.0800|0.0550|BULLISH
TXT|2025-09-02 19:30|79.5000|79.6350|79.3900|79.5000|466972|0.0000|0.1350|0.1100|BULLISH
TXT|2025-09-03 13:30|79.4200|79.6600|79.2100|79.3300|142956|0.0900|0.2400|0.1200|BEARISH
TXT|2025-09-03 14:30|79.3600|79.4700|79.1800|79.2550|57289|0.1050|0.1100|0.0750|BEARISH
TXT|2025-09-03 15:30|79.2800|79.3000|78.9900|79.1900|204386|0.0900|0.0200|0.2000|BEARISH
TXT|2025-09-03 16:30|79.2100|79.6350|79.1650|79.6100|185311|0.4000|0.0250|0.0450|BULLISH
TXT|2025-09-03 17:30|79.6100|79.6300|79.2200|79.4200|143194|0.1900|0.0200|0.2000|BEARISH
TXT|2025-09-03 18:30|79.4000|79.4300|79.1780|79.3100|121093|0.0900|0.0300|0.1320|BEARISH
TXT|2025-09-03 19:30|79.3200|79.7100|79.3200|79.6800|238093|0.3600|0.0300|0.0000|BULLISH
TXT|2025-09-04 13:30|79.9400|80.0000|79.4400|79.9400|75732|0.0000|0.0600|0.5000|BULLISH
TXT|2025-09-04 14:30|79.9300|80.2400|79.9300|80.1400|64153|0.2100|0.1000|0.0000|BULLISH
TXT|2025-09-04 15:30|80.1450|80.4200|80.1300|80.4200|80371|0.2750|0.0000|0.0150|BULLISH
TXT|2025-09-04 16:30|80.4500|80.5000|80.2800|80.4050|47382|0.0450|0.0500|0.1250|BEARISH
TXT|2025-09-04 17:30|80.3800|80.7800|80.2876|80.7800|84494|0.4000|0.0000|0.0924|BULLISH
TXT|2025-09-04 18:30|80.7850|80.9500|80.6500|80.9100|89954|0.1250|0.0400|0.1350|BULLISH
TXT|2025-09-04 19:30|80.9000|81.3300|80.9000|81.3300|196719|0.4300|0.0000|0.0000|BULLISH
TXT|2025-09-05 13:30|81.3000|82.1800|81.3000|81.5000|242136|0.2000|0.6800|0.0000|BULLISH
TXT|2025-09-05 14:30|81.4500|81.5500|81.1700|81.2900|193391|0.1600|0.1000|0.1200|BEARISH
TXT|2025-09-05 15:30|81.2900|81.3600|81.0400|81.1300|102650|0.1600|0.0700|0.0900|BEARISH
TXT|2025-09-05 16:30|81.1200|81.1900|80.9650|80.9700|63048|0.1500|0.0700|0.0050|BEARISH
TXT|2025-09-05 17:30|80.9650|81.1000|80.8200|81.1000|81880|0.1350|0.0000|0.1450|BULLISH
TXT|2025-09-05 18:30|81.1000|81.5200|81.1000|81.4500|136295|0.3500|0.0700|0.0000|BULLISH
TXT|2025-09-05 19:30|81.4600|81.5429|81.2200|81.4800|383689|0.0200|0.0629|0.2400|BULLISH
TXT|2025-09-08 13:30|81.5300|81.6800|80.2500|81.2500|284761|0.2800|0.1500|1.0000|BEARISH
TXT|2025-09-08 14:30|81.2600|82.2300|81.2600|82.2000|110734|0.9400|0.0300|0.0000|BULLISH
TXT|2025-09-08 15:30|82.2000|82.2100|81.8400|81.8600|119102|0.3400|0.0100|0.0200|BEARISH
TXT|2025-09-08 16:30|81.8700|82.1300|81.8300|82.0700|96469|0.2000|0.0600|0.0400|BULLISH
TXT|2025-09-08 17:30|82.0700|82.2150|81.8600|82.2090|142046|0.1390|0.0060|0.2100|BULLISH
TXT|2025-09-08 18:30|82.2100|82.5150|82.2050|82.3750|321786|0.1650|0.1400|0.0050|BULLISH
TXT|2025-09-08 19:30|82.3800|82.8600|82.2800|82.7300|452893|0.3500|0.1300|0.1000|BULLISH
TXT|2025-09-09 13:30|82.4400|82.4400|81.1800|81.2300|89347|1.2100|0.0000|0.0500|BEARISH
TXT|2025-09-09 14:30|81.1850|81.1850|80.6800|80.9700|83453|0.2150|0.0000|0.2900|BEARISH
TXT|2025-09-09 15:30|80.9400|80.9800|80.5350|80.6150|67942|0.3250|0.0400|0.0800|BEARISH
TXT|2025-09-09 16:30|80.6200|80.7050|80.4600|80.6600|68501|0.0400|0.0450|0.1600|BULLISH
TXT|2025-09-09 17:30|80.7300|80.8300|80.5800|80.7100|85340|0.0200|0.1000|0.1300|BEARISH
TXT|2025-09-09 18:30|80.7100|80.7200|80.2222|80.3200|134210|0.3900|0.0100|0.0978|BEARISH
TXT|2025-09-09 19:30|80.3250|80.5950|80.2200|80.5300|250553|0.2050|0.0650|0.1050|BULLISH
TXT|2025-09-10 13:30|80.4000|81.5500|80.1600|81.4400|136303|1.0400|0.1100|0.2400|BULLISH
TXT|2025-09-10 14:30|81.4000|81.4100|80.8200|80.8700|80969|0.5300|0.0100|0.0500|BEARISH
TXT|2025-09-10 15:30|80.8400|81.0900|80.8300|80.8600|42688|0.0200|0.2300|0.0100|BULLISH
TXT|2025-09-10 16:30|80.8700|80.9600|80.6400|80.6401|48605|0.2299|0.0900|0.0001|BEARISH
TXT|2025-09-10 17:30|80.6200|80.6700|80.3900|80.5490|62593|0.0710|0.0500|0.1590|BEARISH
TXT|2025-09-10 18:30|80.5200|80.8000|80.4300|80.4300|71549|0.0900|0.2800|0.0000|BEARISH
TXT|2025-09-10 19:30|80.4400|81.0200|80.3800|81.0000|224254|0.5600|0.0200|0.0600|BULLISH
TXT|2025-09-11 13:30|81.0800|82.1600|80.6150|82.1100|71498|1.0300|0.0500|0.4650|BULLISH
TXT|2025-09-11 14:30|82.0550|82.3650|82.0000|82.2800|49457|0.2250|0.0850|0.0550|BULLISH
TXT|2025-09-11 15:30|82.3100|82.3600|82.0600|82.1500|65647|0.1600|0.0500|0.0900|BEARISH
TXT|2025-09-11 16:30|82.1750|82.3000|82.0900|82.1075|63669|0.0675|0.1250|0.0175|BEARISH
TXT|2025-09-11 17:30|82.1050|82.4000|82.1000|82.2250|90331|0.1200|0.1750|0.0050|BULLISH
TXT|2025-09-11 18:30|82.2200|82.2900|81.9050|82.2900|114342|0.0700|0.0000|0.3150|BULLISH
TXT|2025-09-11 19:30|82.2900|82.5150|82.2200|82.2500|279087|0.0400|0.2250|0.0300|BEARISH
TXT|2025-09-12 13:30|82.0700|82.3250|81.4300|81.6000|122825|0.4700|0.2550|0.1700|BEARISH
TXT|2025-09-12 14:30|81.6400|81.8600|81.4900|81.6450|131477|0.0050|0.2150|0.1500|BULLISH
TXT|2025-09-12 15:30|81.6450|81.6950|81.4400|81.5600|73149|0.0850|0.0500|0.1200|BEARISH
TXT|2025-09-12 16:30|81.5400|81.5800|81.4100|81.5700|51871|0.0300|0.0100|0.1300|BULLISH
TXT|2025-09-12 17:30|81.5800|81.6800|81.5550|81.6800|69924|0.1000|0.0000|0.0250|BULLISH
TXT|2025-09-12 18:30|81.6860|81.7700|81.3500|81.4800|114978|0.2060|0.0840|0.1300|BEARISH
TXT|2025-09-12 19:30|81.4700|81.6050|81.2300|81.2300|217126|0.2400|0.1350|0.0000|BEARISH
TXT|2025-09-15 13:30|81.6000|82.2900|81.2400|82.2800|152905|0.6800|0.0100|0.3600|BULLISH
TXT|2025-09-15 14:30|82.2600|82.5300|82.1000|82.2550|179979|0.0050|0.2700|0.1550|BEARISH
TXT|2025-09-15 15:30|82.2500|82.6200|82.1400|82.6200|102632|0.3700|0.0000|0.1100|BULLISH
TXT|2025-09-15 16:30|82.6000|82.6600|81.6900|81.8106|257699|0.7894|0.0600|0.1206|BEARISH
TXT|2025-09-15 17:30|81.8200|82.1600|81.7400|81.8700|111722|0.0500|0.2900|0.0800|BULLISH
TXT|2025-09-15 18:30|81.8800|82.2800|81.7800|82.2500|157284|0.3700|0.0300|0.1000|BULLISH
TXT|2025-09-15 19:30|82.2500|82.4300|82.1100|82.2300|464619|0.0200|0.1800|0.1200|BEARISH
TXT|2025-09-16 13:30|82.9500|83.1800|82.5000|82.5400|257786|0.4100|0.2300|0.0400|BEARISH
TXT|2025-09-16 14:30|82.5550|82.6100|82.0600|82.6100|121740|0.0550|0.0000|0.4950|BULLISH
TXT|2025-09-16 15:30|82.5900|83.0100|82.5900|82.7500|123090|0.1600|0.2600|0.0000|BULLISH
TXT|2025-09-16 16:30|82.7250|84.1800|82.6800|83.9700|573265|1.2450|0.2100|0.0450|BULLISH
TXT|2025-09-16 17:30|84.0200|84.4200|83.6800|83.8700|156717|0.1500|0.4000|0.1900|BEARISH
TXT|2025-09-16 18:30|83.8600|83.8900|83.4000|83.4250|135025|0.4350|0.0300|0.0250|BEARISH
TXT|2025-09-16 19:30|83.4300|83.5600|83.2100|83.4350|275814|0.0050|0.1250|0.2200|BULLISH
TXT|2025-09-17 13:30|83.8400|84.5500|83.4800|84.1250|141330|0.2850|0.4250|0.3600|BULLISH
TXT|2025-09-17 14:30|84.1250|84.1250|83.5200|83.5200|128390|0.6050|0.0000|0.0000|BEARISH
TXT|2025-09-17 15:30|83.4000|83.9000|83.3850|83.5299|119920|0.1299|0.3701|0.0150|BULLISH
TXT|2025-09-17 16:30|83.5300|84.1500|83.4600|83.9350|186716|0.4050|0.2150|0.0700|BULLISH
TXT|2025-09-17 17:30|83.9250|84.7200|83.5600|84.0700|162481|0.1450|0.6500|0.3650|BULLISH
TXT|2025-09-17 18:30|84.0750|84.0750|82.7400|83.0100|376659|1.0650|0.0000|0.2700|BEARISH
TXT|2025-09-17 19:30|82.9900|83.1150|82.6800|82.7600|355462|0.2300|0.1250|0.0800|BEARISH
TXT|2025-09-18 13:30|83.0300|83.7600|82.9100|83.5000|140186|0.4700|0.2600|0.1200|BULLISH
TXT|2025-09-18 14:30|83.4800|83.5917|83.2300|83.4600|161599|0.0200|0.1117|0.2300|BEARISH
TXT|2025-09-18 15:30|83.4450|83.8300|83.3600|83.8150|67542|0.3700|0.0150|0.0850|BULLISH
TXT|2025-09-18 16:30|83.8400|84.0600|83.7750|83.8400|75282|0.0000|0.2200|0.0650|BULLISH
TXT|2025-09-18 17:30|83.8400|83.9200|83.5200|83.5400|97959|0.3000|0.0800|0.0200|BEARISH
TXT|2025-09-18 18:30|83.5300|84.0500|83.5300|83.7800|95737|0.2500|0.2700|0.0000|BULLISH
TXT|2025-09-18 19:30|83.7800|84.0400|83.6700|83.9400|164786|0.1600|0.1000|0.1100|BULLISH
TXT|2025-09-19 13:30|84.0000|84.0800|83.2900|83.4550|186773|0.5450|0.0800|0.1650|BEARISH
TXT|2025-09-19 14:30|83.4550|83.7650|83.3200|83.4600|96299|0.0050|0.3050|0.1350|BULLISH
TXT|2025-09-19 15:30|83.4400|83.5850|83.3200|83.4600|70739|0.0200|0.1250|0.1200|BULLISH
TXT|2025-09-19 16:30|83.4400|83.5800|83.3800|83.5000|51087|0.0600|0.0800|0.0600|BULLISH
TXT|2025-09-19 17:30|83.5100|83.6350|83.4800|83.5400|81979|0.0300|0.0950|0.0300|BULLISH
TXT|2025-09-19 18:30|83.5200|83.9116|83.4950|83.9000|95014|0.3800|0.0116|0.0250|BULLISH
TXT|2025-09-19 19:30|83.9100|84.0700|83.6100|83.6400|207967|0.2700|0.1600|0.0300|BEARISH
TXT|2025-09-22 13:30|83.3400|83.4450|82.6000|82.6000|152627|0.7400|0.1050|0.0000|BEARISH
TXT|2025-09-22 14:30|82.6300|83.3750|82.5750|83.3750|160620|0.7450|0.0000|0.0550|BULLISH
TXT|2025-09-22 15:30|83.3700|83.4700|83.1450|83.2600|97171|0.1100|0.1000|0.1150|BEARISH
TXT|2025-09-22 16:30|83.2400|83.2840|82.9800|83.0300|83944|0.2100|0.0440|0.0500|BEARISH
