Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TYL|2025-09-02 13:30|555.2400|560.1700|548.4000|557.6200|46027|2.3800|2.5500|6.8400|BULLISH
TYL|2025-09-02 14:30|557.6200|558.3975|551.9650|552.2500|19331|5.3700|0.7775|0.2850|BEARISH
TYL|2025-09-02 15:30|552.2450|552.9300|550.6300|551.0000|29865|1.2450|0.6850|0.3700|BEARISH
TYL|2025-09-02 16:30|550.9800|554.3797|550.5500|553.0100|20650|2.0300|1.3697|0.4300|BULLISH
TYL|2025-09-02 17:30|553.5200|554.4800|551.4550|551.5300|24520|1.9900|0.9600|0.0750|BEARISH
TYL|2025-09-02 18:30|552.4600|552.7501|551.7500|551.9900|31227|0.4700|0.2901|0.2400|BEARISH
TYL|2025-09-02 19:30|551.9500|552.9700|550.3600|552.5000|63219|0.5500|0.4700|1.5900|BULLISH
TYL|2025-09-03 13:30|551.7000|553.1700|549.2869|551.0000|16652|0.7000|1.4700|1.7131|BEARISH
TYL|2025-09-03 14:30|549.9800|552.5600|549.9800|550.8600|12020|0.8800|1.7000|0.0000|BULLISH
TYL|2025-09-03 15:30|550.8650|551.5500|550.5700|551.5250|8634|0.6600|0.0250|0.2950|BULLISH
TYL|2025-09-03 16:30|552.3300|553.2700|552.2200|552.7900|11394|0.4600|0.4800|0.1100|BULLISH
TYL|2025-09-03 17:30|551.8550|551.8550|550.4500|551.4150|10351|0.4400|0.0000|0.9650|BEARISH
TYL|2025-09-03 18:30|551.7000|552.5900|550.9200|552.2950|16200|0.5950|0.2950|0.7800|BULLISH
TYL|2025-09-03 19:30|552.4300|554.1400|552.1400|554.1400|41202|1.7100|0.0000|0.2900|BULLISH
TYL|2025-09-04 13:30|553.0900|553.0900|546.4100|549.2450|27733|3.8450|0.0000|2.8350|BEARISH
TYL|2025-09-04 14:30|550.4800|552.8600|548.6400|552.8600|53455|2.3800|0.0000|1.8400|BULLISH
TYL|2025-09-04 15:30|551.9700|553.6100|551.9400|553.6100|15993|1.6400|0.0000|0.0300|BULLISH
TYL|2025-09-04 16:30|553.1900|553.5400|552.0000|553.5100|13003|0.3200|0.0300|1.1900|BULLISH
TYL|2025-09-04 17:30|552.6200|554.1200|552.0400|553.7200|11686|1.1000|0.4000|0.5800|BULLISH
TYL|2025-09-04 18:30|553.5100|553.7500|548.3700|551.2700|100733|2.2400|0.2400|2.9000|BEARISH
TYL|2025-09-04 19:30|551.4250|554.5300|550.9000|553.9800|57010|2.5550|0.5500|0.5250|BULLISH
TYL|2025-09-05 13:30|557.7200|561.0200|554.9400|555.2800|17755|2.4399|3.3000|0.3400|BEARISH
TYL|2025-09-05 14:30|554.8750|555.9800|553.0800|554.7400|17786|0.1350|1.1050|1.6600|BEARISH
TYL|2025-09-05 15:30|553.9200|555.0900|553.2500|554.3700|9374|0.4500|0.7200|0.6700|BULLISH
TYL|2025-09-05 16:30|554.5800|555.1100|553.5200|554.9800|11187|0.4000|0.1300|1.0600|BULLISH
TYL|2025-09-05 17:30|555.6500|557.2900|554.6200|557.2400|10373|1.5900|0.0500|1.0300|BULLISH
TYL|2025-09-05 18:30|557.1950|560.9700|557.1200|560.9100|30162|3.7150|0.0600|0.0750|BULLISH
TYL|2025-09-05 19:30|560.8500|560.8600|558.9300|559.6700|39632|1.1800|0.0100|0.7400|BEARISH
TYL|2025-09-08 13:30|559.9600|560.4500|558.2350|558.8000|38985|1.1600|0.4900|0.5650|BEARISH
TYL|2025-09-08 14:30|560.0000|564.4800|559.9250|564.4800|14139|4.4800|0.0000|0.0750|BULLISH
TYL|2025-09-08 15:30|563.7700|565.0000|562.0000|562.0000|15986|1.7700|1.2300|0.0000|BEARISH
TYL|2025-09-08 16:30|562.0850|564.2300|562.0000|563.4900|17245|1.4050|0.7400|0.0850|BULLISH
TYL|2025-09-08 17:30|563.9200|564.3500|562.2450|563.7700|13887|0.1500|0.4300|1.5250|BEARISH
TYL|2025-09-08 18:30|563.7700|564.2200|561.2900|563.3350|23526|0.4350|0.4500|2.0450|BEARISH
TYL|2025-09-08 19:30|563.3500|566.5800|563.3500|565.9000|61353|2.5500|0.6800|0.0000|BULLISH
TYL|2025-09-09 13:30|566.3400|566.3400|558.0900|558.0900|27604|8.2500|0.0000|0.0000|BEARISH
TYL|2025-09-09 14:30|559.3899|559.3899|554.4701|555.2300|25088|4.1599|0.0000|0.7599|BEARISH
TYL|2025-09-09 15:30|555.1500|558.1000|555.1500|557.3700|31037|2.2200|0.7300|0.0000|BULLISH
TYL|2025-09-09 16:30|557.3650|557.8900|555.3600|557.8900|16675|0.5250|0.0000|2.0050|BULLISH
TYL|2025-09-09 17:30|557.9500|559.6000|557.3600|559.4200|26556|1.4700|0.1800|0.5900|BULLISH
TYL|2025-09-09 18:30|559.7600|559.8300|558.5850|558.8600|25402|0.9000|0.0700|0.2750|BEARISH
TYL|2025-09-09 19:30|558.9200|559.2800|557.7200|557.9300|62730|0.9900|0.3600|0.2100|BEARISH
TYL|2025-09-10 13:30|557.0100|558.4900|550.0500|550.3800|24643|6.6300|1.4800|0.3300|BEARISH
TYL|2025-09-10 14:30|550.0000|550.3900|543.6800|546.1200|41327|3.8800|0.3900|2.4400|BEARISH
TYL|2025-09-10 15:30|546.1200|548.6050|545.7800|547.5300|22922|1.4100|1.0750|0.3400|BULLISH
TYL|2025-09-10 16:30|549.3099|549.3099|545.7200|545.7200|19971|3.5899|0.0000|0.0000|BEARISH
TYL|2025-09-10 17:30|545.6950|548.6200|545.6950|547.9450|26816|2.2500|0.6750|0.0000|BULLISH
TYL|2025-09-10 18:30|547.8600|547.9500|545.2300|545.4450|36495|2.4150|0.0900|0.2150|BEARISH
TYL|2025-09-10 19:30|545.3700|546.6600|543.9500|546.0300|59623|0.6600|0.6299|1.4200|BULLISH
TYL|2025-09-11 13:30|552.4000|552.4100|548.2500|550.7800|27796|1.6200|0.0099|2.5300|BEARISH
TYL|2025-09-11 14:30|550.5500|552.7600|550.5500|552.1800|24022|1.6300|0.5800|0.0000|BULLISH
TYL|2025-09-11 15:30|552.8250|553.2600|550.2700|551.8100|21531|1.0150|0.4350|1.5400|BEARISH
TYL|2025-09-11 16:30|550.8400|551.8450|550.1050|551.3745|19869|0.5345|0.4705|0.7350|BULLISH
TYL|2025-09-11 17:30|551.3050|552.3450|550.6100|551.7500|25215|0.4450|0.5950|0.6950|BULLISH
TYL|2025-09-11 18:30|552.4600|553.5100|552.4600|553.3400|19606|0.8800|0.1700|0.0000|BULLISH
TYL|2025-09-11 19:30|553.5400|555.5200|553.0800|553.7300|64736|0.1900|1.7900|0.4600|BULLISH
TYL|2025-09-12 13:30|553.1900|553.1900|548.7200|549.7000|17225|3.4900|0.0000|0.9800|BEARISH
TYL|2025-09-12 14:30|548.8200|550.5300|547.1800|549.8400|26048|1.0200|0.6900|1.6400|BULLISH
