Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
VICI|2025-09-02 13:30|33.5200|33.7299|33.4250|33.7150|1039207|0.1950|0.0149|0.0950|BULLISH
VICI|2025-09-02 14:30|33.7150|33.7450|33.4800|33.5050|819625|0.2100|0.0300|0.0250|BEARISH
VICI|2025-09-02 15:30|33.5000|33.5050|33.3900|33.4150|356380|0.0850|0.0050|0.0250|BEARISH
VICI|2025-09-02 16:30|33.4150|33.4550|33.3850|33.3850|353947|0.0300|0.0400|0.0000|BEARISH
VICI|2025-09-02 17:30|33.3850|33.4000|33.2250|33.2550|384817|0.1300|0.0150|0.0300|BEARISH
VICI|2025-09-02 18:30|33.2550|33.2772|33.1800|33.2700|535869|0.0150|0.0072|0.0750|BULLISH
VICI|2025-09-02 19:30|33.2700|33.3500|33.2650|33.3300|1185669|0.0600|0.0200|0.0050|BULLISH
VICI|2025-09-03 13:30|33.3800|33.5000|33.2500|33.4150|1273876|0.0350|0.0850|0.1300|BULLISH
VICI|2025-09-03 14:30|33.4150|33.5050|33.3650|33.4600|890825|0.0450|0.0450|0.0500|BULLISH
VICI|2025-09-03 15:30|33.4600|33.4700|33.2600|33.3200|358794|0.1400|0.0100|0.0600|BEARISH
VICI|2025-09-03 16:30|33.3200|33.3865|33.3050|33.3750|312504|0.0550|0.0115|0.0150|BULLISH
VICI|2025-09-03 17:30|33.3750|33.4500|33.3150|33.4400|397440|0.0650|0.0100|0.0600|BULLISH
VICI|2025-09-03 18:30|33.4350|33.4700|33.3550|33.3950|350797|0.0400|0.0350|0.0400|BEARISH
VICI|2025-09-03 19:30|33.3950|33.4300|33.3650|33.4000|1139057|0.0050|0.0300|0.0300|BULLISH
VICI|2025-09-04 13:30|33.6100|33.8300|33.5400|33.6050|896372|0.0050|0.2200|0.0650|BEARISH
VICI|2025-09-04 14:30|33.6050|33.6200|33.5200|33.5999|463240|0.0051|0.0150|0.0799|BEARISH
VICI|2025-09-04 15:30|33.5900|33.6100|33.4150|33.4450|401227|0.1450|0.0200|0.0300|BEARISH
VICI|2025-09-04 16:30|33.4500|33.4600|33.3600|33.4300|305109|0.0200|0.0100|0.0700|BEARISH
VICI|2025-09-04 17:30|33.4200|33.5250|33.3850|33.5150|471540|0.0950|0.0100|0.0350|BULLISH
VICI|2025-09-04 18:30|33.5150|33.5850|33.4900|33.5350|651873|0.0200|0.0500|0.0250|BULLISH
VICI|2025-09-04 19:30|33.5350|33.5350|33.4800|33.4900|1567131|0.0450|0.0000|0.0100|BEARISH
VICI|2025-09-05 13:30|33.5500|33.8200|33.5100|33.6700|833946|0.1200|0.1500|0.0400|BULLISH
VICI|2025-09-05 14:30|33.6650|33.7150|33.5350|33.7050|680761|0.0400|0.0100|0.1300|BULLISH
VICI|2025-09-05 15:30|33.7050|33.7250|33.6050|33.6053|565704|0.0997|0.0200|0.0003|BEARISH
VICI|2025-09-05 16:30|33.6081|33.6250|33.5550|33.5550|445115|0.0531|0.0169|0.0000|BEARISH
VICI|2025-09-05 17:30|33.5550|33.5900|33.4800|33.5100|315345|0.0450|0.0350|0.0300|BEARISH
VICI|2025-09-05 18:30|33.5050|33.6150|33.5050|33.5800|351396|0.0750|0.0350|0.0000|BULLISH
VICI|2025-09-05 19:30|33.5850|33.6400|33.5700|33.5950|1390631|0.0100|0.0450|0.0150|BULLISH
VICI|2025-09-08 13:30|33.5100|33.6500|33.2150|33.2550|851430|0.2550|0.1400|0.0400|BEARISH
VICI|2025-09-08 14:30|33.2550|33.3650|33.1800|33.2950|458416|0.0400|0.0700|0.0750|BULLISH
VICI|2025-09-08 15:30|33.2950|33.2950|33.1600|33.2450|558304|0.0500|0.0000|0.0850|BEARISH
VICI|2025-09-08 16:30|33.2500|33.3000|33.1900|33.2842|546254|0.0342|0.0158|0.0600|BULLISH
VICI|2025-09-08 17:30|33.2850|33.2900|33.2000|33.2900|529663|0.0050|0.0000|0.0850|BULLISH
VICI|2025-09-08 18:30|33.2900|33.3100|33.1750|33.2250|693537|0.0650|0.0200|0.0500|BEARISH
VICI|2025-09-08 19:30|33.2250|33.3100|33.2150|33.3100|1693289|0.0850|0.0000|0.0100|BULLISH
VICI|2025-09-09 13:30|33.2600|33.3400|33.1200|33.2090|876456|0.0510|0.0800|0.0890|BEARISH
VICI|2025-09-09 14:30|33.2000|33.2250|33.1000|33.1450|743474|0.0550|0.0250|0.0450|BEARISH
VICI|2025-09-09 15:30|33.1450|33.1650|33.0450|33.0850|665908|0.0600|0.0200|0.0400|BEARISH
VICI|2025-09-09 16:30|33.0800|33.1000|32.9900|33.0650|494242|0.0150|0.0200|0.0750|BEARISH
VICI|2025-09-09 17:30|33.0650|33.2000|33.0500|33.1782|384409|0.1132|0.0218|0.0150|BULLISH
VICI|2025-09-09 18:30|33.1750|33.2000|33.1300|33.1350|570777|0.0400|0.0250|0.0050|BEARISH
VICI|2025-09-09 19:30|33.1400|33.1650|33.0900|33.1000|1773757|0.0400|0.0250|0.0100|BEARISH
