Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
VMC|2025-09-02 13:30|288.4800|291.9705|287.3100|291.9705|56602|3.4905|0.0000|1.1700|BULLISH
VMC|2025-09-02 14:30|291.8600|292.1000|290.4100|290.8150|76753|1.0450|0.2400|0.4050|BEARISH
VMC|2025-09-02 15:30|290.8400|290.8900|290.1500|290.3375|80021|0.5025|0.0500|0.1875|BEARISH
VMC|2025-09-02 16:30|290.3700|291.0150|289.9500|291.0150|68225|0.6450|0.0000|0.4200|BULLISH
VMC|2025-09-02 17:30|290.9500|292.0800|290.7600|292.0750|64053|1.1250|0.0050|0.1900|BULLISH
VMC|2025-09-02 18:30|292.0900|292.5700|291.5400|292.3800|123553|0.2900|0.1900|0.5500|BULLISH
VMC|2025-09-02 19:30|292.3450|292.8000|292.2000|292.5000|180818|0.1550|0.3000|0.1450|BULLISH
VMC|2025-09-03 13:30|292.5300|292.5300|287.9200|288.1000|59946|4.4300|0.0000|0.1800|BEARISH
VMC|2025-09-03 14:30|288.3400|289.8300|288.1200|288.1800|87671|0.1600|1.4900|0.0600|BEARISH
VMC|2025-09-03 15:30|288.2500|288.7800|288.0000|288.2788|42884|0.0288|0.5012|0.2500|BULLISH
VMC|2025-09-03 16:30|288.1400|288.2200|286.8250|288.2200|48261|0.0800|0.0000|1.3150|BULLISH
VMC|2025-09-03 17:30|288.2700|288.3300|286.9700|287.6850|85337|0.5850|0.0600|0.7150|BEARISH
VMC|2025-09-03 18:30|287.7300|287.9100|286.8000|286.9200|83443|0.8100|0.1800|0.1200|BEARISH
VMC|2025-09-03 19:30|286.9700|288.4800|286.9250|288.0500|270322|1.0800|0.4300|0.0450|BULLISH
VMC|2025-09-04 13:30|289.2400|289.8600|287.4700|289.8200|163389|0.5800|0.0400|1.7700|BULLISH
VMC|2025-09-04 14:30|289.8550|291.2800|289.6250|290.1950|101537|0.3400|1.0850|0.2300|BULLISH
VMC|2025-09-04 15:30|290.1550|291.1930|289.3400|290.8000|99393|0.6450|0.3930|0.8150|BULLISH
VMC|2025-09-04 16:30|290.9300|291.0800|289.4000|290.1634|111081|0.7666|0.1500|0.7634|BEARISH
VMC|2025-09-04 17:30|290.0300|291.1800|290.0200|291.0900|120461|1.0600|0.0900|0.0100|BULLISH
VMC|2025-09-04 18:30|291.0500|292.3450|290.8750|292.2750|140908|1.2250|0.0700|0.1750|BULLISH
VMC|2025-09-04 19:30|292.2750|292.8950|291.4050|292.1300|196503|0.1450|0.6200|0.7250|BEARISH
VMC|2025-09-05 13:30|293.6600|295.2600|292.7150|293.0150|81749|0.6450|1.6000|0.3000|BEARISH
VMC|2025-09-05 14:30|293.4800|293.4800|291.6100|292.8950|55106|0.5850|0.0000|1.2850|BEARISH
VMC|2025-09-05 15:30|292.8950|294.1800|292.3800|293.3200|77120|0.4250|0.8600|0.5150|BULLISH
VMC|2025-09-05 16:30|293.3200|293.7600|292.3679|292.7800|46790|0.5400|0.4400|0.4121|BEARISH
VMC|2025-09-05 17:30|292.9400|293.4600|292.4000|293.1400|48048|0.2000|0.3200|0.5400|BULLISH
VMC|2025-09-05 18:30|293.3300|294.9200|293.3100|294.8000|52483|1.4700|0.1200|0.0200|BULLISH
VMC|2025-09-05 19:30|294.7400|294.9900|293.9200|294.8100|118359|0.0700|0.1800|0.8200|BULLISH
VMC|2025-09-08 13:30|295.1900|297.8600|293.5200|296.2300|151322|1.0400|1.6300|1.6700|BULLISH
VMC|2025-09-08 14:30|296.3650|298.3400|296.2873|298.3400|47608|1.9750|0.0000|0.0777|BULLISH
VMC|2025-09-08 15:30|298.3100|299.0500|297.8050|298.1100|74425|0.2000|0.7400|0.3050|BEARISH
