Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
VRSK|2025-09-02 13:30|268.3100|268.5350|266.2800|266.9500|152529|1.3600|0.2250|0.6700|BEARISH
VRSK|2025-09-02 14:30|266.8100|266.9100|265.2500|265.2500|85304|1.5600|0.1000|0.0000|BEARISH
VRSK|2025-09-02 15:30|265.0700|265.7200|264.3200|264.3200|74376|0.7500|0.6500|0.0000|BEARISH
VRSK|2025-09-02 16:30|264.4100|264.4100|263.2900|264.0300|117975|0.3800|0.0000|0.7400|BEARISH
VRSK|2025-09-02 17:30|264.0700|264.6400|263.6100|263.9000|108997|0.1700|0.5700|0.2900|BEARISH
VRSK|2025-09-02 18:30|263.9400|264.3100|263.3400|264.1950|110538|0.2550|0.1150|0.6000|BULLISH
VRSK|2025-09-02 19:30|264.1400|265.4000|263.9600|264.9900|246877|0.8500|0.4100|0.1800|BULLISH
VRSK|2025-09-03 13:30|265.0000|267.4330|265.0000|266.7000|153166|1.7000|0.7330|0.0000|BULLISH
VRSK|2025-09-03 14:30|266.8100|268.1500|266.8050|268.1500|60081|1.3400|0.0000|0.0050|BULLISH
VRSK|2025-09-03 15:30|268.1500|268.2100|266.6400|266.7400|61797|1.4100|0.0600|0.1000|BEARISH
VRSK|2025-09-03 16:30|266.8100|267.1000|266.5400|266.9150|42793|0.1050|0.1850|0.2700|BULLISH
VRSK|2025-09-03 17:30|266.8700|267.3500|266.6900|267.3050|53639|0.4350|0.0450|0.1800|BULLISH
VRSK|2025-09-03 18:30|267.2000|267.5450|266.8400|267.2200|82596|0.0200|0.3250|0.3600|BULLISH
VRSK|2025-09-03 19:30|267.2150|268.5400|267.2100|268.4900|205573|1.2750|0.0500|0.0050|BULLISH
VRSK|2025-09-04 13:30|268.7900|269.9000|267.1840|269.3300|109235|0.5400|0.5700|1.6060|BULLISH
VRSK|2025-09-04 14:30|269.3450|269.4000|267.5600|268.0400|107515|1.3050|0.0550|0.4800|BEARISH
VRSK|2025-09-04 15:30|267.9100|268.5800|267.7800|267.8700|68943|0.0400|0.6700|0.0900|BEARISH
VRSK|2025-09-04 16:30|267.9400|268.8700|267.7000|268.5900|69331|0.6500|0.2800|0.2400|BULLISH
VRSK|2025-09-04 17:30|268.5400|269.6400|268.3800|269.4150|89579|0.8750|0.2250|0.1600|BULLISH
VRSK|2025-09-04 18:30|269.4950|270.1700|269.4600|269.8100|110138|0.3150|0.3600|0.0350|BULLISH
VRSK|2025-09-04 19:30|269.7500|270.7800|269.6300|270.0500|216460|0.3000|0.7300|0.1200|BULLISH
VRSK|2025-09-05 13:30|271.0400|273.7100|269.9500|270.0400|147098|1.0000|2.6700|0.0900|BEARISH
VRSK|2025-09-05 14:30|270.0950|270.4450|269.1100|269.5400|100206|0.5550|0.3500|0.4300|BEARISH
VRSK|2025-09-05 15:30|269.5600|269.5900|268.4200|268.6200|71399|0.9400|0.0300|0.2000|BEARISH
VRSK|2025-09-05 16:30|268.7100|269.1400|268.2800|268.7100|61055|0.0000|0.4300|0.4300|BULLISH
VRSK|2025-09-05 17:30|268.8000|269.3499|268.1050|268.9900|98996|0.1900|0.3599|0.6950|BULLISH
VRSK|2025-09-05 18:30|269.1500|269.8800|269.1500|269.8150|74470|0.6650|0.0650|0.0000|BULLISH
VRSK|2025-09-05 19:30|269.8400|270.5000|269.5350|270.0800|180847|0.2400|0.4200|0.3050|BULLISH
VRSK|2025-09-08 13:30|270.5000|270.8800|268.3150|268.9800|327929|1.5200|0.3800|0.6650|BEARISH
VRSK|2025-09-08 14:30|269.1700|271.4300|269.1700|271.4300|76760|2.2600|0.0000|0.0000|BULLISH
VRSK|2025-09-08 15:30|271.5350|271.5350|270.6300|271.3500|68432|0.1850|0.0000|0.7200|BEARISH
VRSK|2025-09-08 16:30|271.1600|272.1000|270.9800|271.9200|45182|0.7600|0.1800|0.1800|BULLISH
VRSK|2025-09-08 17:30|271.9000|272.0800|271.2000|271.7300|46428|0.1700|0.1800|0.5300|BEARISH
VRSK|2025-09-08 18:30|271.8500|272.4100|271.7100|272.0600|88227|0.2100|0.3500|0.1400|BULLISH
VRSK|2025-09-08 19:30|272.1100|273.2000|272.0400|273.1100|161477|1.0000|0.0900|0.0700|BULLISH
VRSK|2025-09-09 13:30|272.8400|273.8300|271.3200|271.6100|82545|1.2300|0.9900|0.2900|BEARISH
VRSK|2025-09-09 14:30|271.4050|271.5900|269.9300|269.9800|127077|1.4250|0.1850|0.0500|BEARISH
VRSK|2025-09-09 15:30|269.8500|270.1100|268.6500|269.1300|67958|0.7200|0.2600|0.4800|BEARISH
VRSK|2025-09-09 16:30|268.9250|269.4200|268.2200|269.3700|69912|0.4450|0.0500|0.7050|BULLISH
VRSK|2025-09-09 17:30|269.5700|270.2400|269.4550|270.2400|70452|0.6700|0.0000|0.1150|BULLISH
VRSK|2025-09-09 18:30|270.1950|270.1950|269.2400|269.5800|67902|0.6150|0.0000|0.3400|BEARISH
VRSK|2025-09-09 19:30|269.5200|269.7700|268.5700|268.6600|148184|0.8600|0.2500|0.0900|BEARISH
VRSK|2025-09-10 13:30|268.1850|268.1850|264.0600|264.8700|136004|3.3150|0.0000|0.8100|BEARISH
VRSK|2025-09-10 14:30|264.3700|264.3700|262.7900|263.8100|75893|0.5600|0.0000|1.0200|BEARISH
VRSK|2025-09-10 15:30|263.9350|264.0300|262.3500|262.3900|90549|1.5450|0.0950|0.0400|BEARISH
VRSK|2025-09-10 16:30|262.3800|263.1800|262.3000|262.4700|67011|0.0900|0.7100|0.0800|BULLISH
VRSK|2025-09-10 17:30|262.4600|263.3600|262.3400|263.2000|83804|0.7400|0.1600|0.1200|BULLISH
VRSK|2025-09-10 18:30|263.0900|263.1800|261.9600|261.9600|77045|1.1300|0.0900|0.0000|BEARISH
VRSK|2025-09-10 19:30|262.0500|263.3250|261.4200|262.7500|178794|0.7000|0.5750|0.6300|BULLISH
VRSK|2025-09-11 13:30|262.8950|265.5000|262.8950|264.1200|133066|1.2250|1.3800|0.0000|BULLISH
VRSK|2025-09-11 14:30|264.0800|264.2400|263.1500|263.6300|117424|0.4500|0.1600|0.4800|BEARISH
VRSK|2025-09-11 15:30|263.6800|265.5700|263.3100|265.5700|79056|1.8900|0.0000|0.3700|BULLISH
VRSK|2025-09-11 16:30|265.5800|265.7700|265.0500|265.5500|63779|0.0300|0.1900|0.5000|BEARISH
VRSK|2025-09-11 17:30|265.5750|265.7899|264.9200|265.6100|103016|0.0350|0.1799|0.6550|BULLISH
VRSK|2025-09-11 18:30|265.6100|265.7800|265.1700|265.6000|136754|0.0100|0.1700|0.4300|BEARISH
VRSK|2025-09-11 19:30|265.5600|267.2600|265.5100|266.0800|207301|0.5200|1.1800|0.0500|BULLISH
VRSK|2025-09-12 13:30|266.5700|267.0700|264.1000|264.7150|89014|1.8550|0.5000|0.6150|BEARISH
VRSK|2025-09-12 14:30|264.7300|264.9200|263.2550|263.5050|102918|1.2250|0.1900|0.2500|BEARISH
VRSK|2025-09-12 15:30|263.5100|264.1100|263.0700|263.9550|73619|0.4450|0.1550|0.4400|BULLISH
VRSK|2025-09-12 16:30|263.9550|264.2300|263.5300|263.5500|43537|0.4050|0.2750|0.0200|BEARISH
VRSK|2025-09-12 17:30|263.6350|263.8999|263.4300|263.5300|92431|0.1050|0.2649|0.1000|BEARISH
VRSK|2025-09-12 18:30|263.6000|263.8800|263.0300|263.4350|96672|0.1650|0.2800|0.4050|BEARISH
VRSK|2025-09-12 19:30|263.4575|263.4600|262.0300|262.0300|209000|1.4275|0.0025|0.0000|BEARISH
VRSK|2025-09-15 13:30|261.8500|263.4600|261.0950|261.3400|68917|0.5100|1.6100|0.2450|BEARISH
VRSK|2025-09-15 14:30|261.0800|261.8000|259.4000|259.8100|89365|1.2700|0.7200|0.4100|BEARISH
VRSK|2025-09-15 15:30|259.7800|259.8150|258.0300|258.1950|169359|1.5850|0.0350|0.1650|BEARISH
VRSK|2025-09-15 16:30|258.0100|258.8500|257.5400|257.6800|157920|0.3300|0.8400|0.1400|BEARISH
VRSK|2025-09-15 17:30|257.6950|258.1600|257.3700|257.3700|137654|0.3250|0.4650|0.0000|BEARISH
VRSK|2025-09-15 18:30|257.3600|258.4100|255.5600|256.0800|213567|1.2800|1.0500|0.5200|BEARISH
VRSK|2025-09-15 19:30|256.0900|256.4000|254.6600|255.0200|323491|1.0700|0.3100|0.3600|BEARISH
VRSK|2025-09-16 13:30|254.7200|256.9400|252.8200|254.1500|84835|0.5700|2.2200|1.3300|BEARISH
VRSK|2025-09-16 14:30|254.0400|254.7400|252.5300|252.6100|171474|1.4300|0.7000|0.0800|BEARISH
VRSK|2025-09-16 15:30|252.5300|253.2930|251.5150|251.5200|96869|1.0100|0.7630|0.0050|BEARISH
VRSK|2025-09-16 16:30|251.5250|252.2400|251.3800|251.6700|58463|0.1450|0.5700|0.1450|BULLISH
VRSK|2025-09-16 17:30|251.6500|252.1950|251.1300|252.1050|61170|0.4550|0.0900|0.5200|BULLISH
VRSK|2025-09-16 18:30|252.1250|253.5200|252.1250|252.6200|75140|0.4950|0.9000|0.0000|BULLISH
VRSK|2025-09-16 19:30|252.5500|252.6800|251.4200|251.7200|230016|0.8300|0.1300|0.3000|BEARISH
VRSK|2025-09-17 13:30|252.0500|255.2300|251.9950|253.2900|186080|1.2400|1.9400|0.0550|BULLISH
VRSK|2025-09-17 14:30|253.2750|253.4900|252.3600|252.5300|101470|0.7450|0.2150|0.1700|BEARISH
VRSK|2025-09-17 15:30|252.4600|252.8400|251.9500|252.0800|55374|0.3800|0.3800|0.1300|BEARISH
VRSK|2025-09-17 16:30|252.1600|253.1300|251.8800|253.1300|63916|0.9700|0.0000|0.2800|BULLISH
VRSK|2025-09-17 17:30|253.0977|254.8370|252.2700|252.4350|102593|0.6627|1.7393|0.1650|BEARISH
VRSK|2025-09-17 18:30|252.4000|252.6000|249.4200|249.6600|229992|2.7400|0.2000|0.2400|BEARISH
VRSK|2025-09-17 19:30|249.6600|249.8800|248.9800|249.5800|319432|0.0800|0.2200|0.6000|BEARISH
