Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
VRTX|2025-09-02 13:30|391.0200|397.3522|390.7900|395.5350|235806|4.5150|1.8172|0.2300|BULLISH
VRTX|2025-09-02 14:30|395.6000|395.8400|392.3600|392.8700|124382|2.7300|0.2400|0.5100|BEARISH
VRTX|2025-09-02 15:30|392.9100|398.7499|392.8000|397.1250|332525|4.2150|1.6249|0.1100|BULLISH
VRTX|2025-09-02 16:30|397.0900|399.8800|396.8700|399.6050|189794|2.5150|0.2750|0.2200|BULLISH
VRTX|2025-09-02 17:30|399.6100|400.6400|399.2501|400.0400|184920|0.4300|0.6000|0.3599|BULLISH
VRTX|2025-09-02 18:30|400.1050|401.2850|399.1200|400.8964|214484|0.7914|0.3886|0.9850|BULLISH
VRTX|2025-09-02 19:30|400.8350|401.5550|399.9300|400.9900|267072|0.1550|0.5650|0.9050|BULLISH
VRTX|2025-09-03 13:30|400.0900|402.3900|399.0700|399.6100|170882|0.4800|2.3000|0.5400|BEARISH
VRTX|2025-09-03 14:30|399.7500|400.2400|396.9100|396.9100|155014|2.8400|0.4900|0.0000|BEARISH
VRTX|2025-09-03 15:30|396.7100|396.9550|394.8000|394.8200|86288|1.8900|0.2450|0.0200|BEARISH
VRTX|2025-09-03 16:30|394.8500|396.0598|394.4000|395.9250|89865|1.0750|0.1348|0.4500|BULLISH
VRTX|2025-09-03 17:30|395.9950|396.3600|393.6700|393.9300|113002|2.0650|0.3650|0.2600|BEARISH
VRTX|2025-09-03 18:30|393.9300|394.5400|393.0501|393.9874|127518|0.0574|0.5526|0.8799|BULLISH
VRTX|2025-09-03 19:30|393.8400|396.7900|393.5100|396.7600|279941|2.9200|0.0300|0.3300|BULLISH
VRTX|2025-09-04 13:30|397.5400|400.3600|395.6700|400.1600|153509|2.6200|0.2000|1.8700|BULLISH
VRTX|2025-09-04 14:30|399.9400|400.1900|396.8031|396.8200|118812|3.1200|0.2500|0.0169|BEARISH
VRTX|2025-09-04 15:30|396.8750|397.3350|395.1700|395.2100|103250|1.6650|0.4600|0.0400|BEARISH
VRTX|2025-09-04 16:30|395.2400|395.9100|394.8200|395.2001|81234|0.0399|0.6700|0.3801|BEARISH
VRTX|2025-09-04 17:30|395.4600|395.8650|395.1100|395.4000|69797|0.0600|0.4050|0.2900|BEARISH
VRTX|2025-09-04 18:30|395.4500|396.9899|395.4000|396.6700|143812|1.2200|0.3199|0.0500|BULLISH
VRTX|2025-09-04 19:30|396.6700|397.3000|396.4100|396.9400|187362|0.2700|0.3600|0.2600|BULLISH
VRTX|2025-09-05 13:30|397.8700|402.7400|396.6550|400.0050|121822|2.1350|2.7350|1.2150|BULLISH
VRTX|2025-09-05 14:30|399.9600|399.9600|397.3950|398.1400|116010|1.8200|0.0000|0.7450|BEARISH
VRTX|2025-09-05 15:30|398.2800|398.3500|396.1800|396.2800|94529|2.0000|0.0700|0.1000|BEARISH
VRTX|2025-09-05 16:30|396.0100|396.1800|394.1200|394.2700|109415|1.7400|0.1700|0.1500|BEARISH
VRTX|2025-09-05 17:30|394.1300|394.7847|393.5100|394.0600|96611|0.0700|0.6547|0.5500|BEARISH
VRTX|2025-09-05 18:30|394.0600|395.2400|393.6401|395.0140|163585|0.9540|0.2260|0.4199|BULLISH
VRTX|2025-09-05 19:30|394.8800|396.1700|394.7100|396.0900|223465|1.2100|0.0800|0.1700|BULLISH
VRTX|2025-09-08 13:30|395.2800|396.0000|390.9800|392.2700|176627|3.0100|0.7200|1.2900|BEARISH
VRTX|2025-09-08 14:30|392.0000|395.7350|391.5850|394.9600|183692|2.9600|0.7750|0.4150|BULLISH
VRTX|2025-09-08 15:30|394.7300|394.7300|392.4900|392.8800|135897|1.8500|0.0000|0.3900|BEARISH
VRTX|2025-09-08 16:30|392.8000|393.9400|391.8796|393.8600|112886|1.0600|0.0800|0.9204|BULLISH
VRTX|2025-09-08 17:30|393.7000|393.9300|392.3100|393.6700|90812|0.0300|0.2300|1.3600|BEARISH
VRTX|2025-09-08 18:30|393.8400|394.5100|393.2200|393.4500|152510|0.3900|0.6700|0.2300|BEARISH
VRTX|2025-09-08 19:30|393.5600|395.5800|393.2800|395.2500|219986|1.6900|0.3300|0.2800|BULLISH
VRTX|2025-09-09 13:30|395.0100|396.1200|391.7600|393.2700|119150|1.7400|1.1100|1.5100|BEARISH
VRTX|2025-09-09 14:30|393.3600|394.4400|392.4110|394.3800|98508|1.0200|0.0600|0.9490|BULLISH
VRTX|2025-09-09 15:30|394.4600|396.2300|394.0650|396.1200|114638|1.6600|0.1100|0.3950|BULLISH
VRTX|2025-09-09 16:30|396.1600|397.2500|395.1600|395.1650|64516|0.9950|1.0900|0.0050|BEARISH
VRTX|2025-09-09 17:30|395.0200|395.5000|393.1500|394.9700|113881|0.0500|0.4800|1.8200|BEARISH
VRTX|2025-09-09 18:30|394.9400|395.8000|394.3800|395.7300|112120|0.7900|0.0700|0.5600|BULLISH
VRTX|2025-09-09 19:30|395.8100|396.8200|395.7050|396.4500|143935|0.6400|0.3700|0.1050|BULLISH
VRTX|2025-09-10 13:30|396.1700|396.8600|390.3850|391.3292|322017|4.8408|0.6900|0.9442|BEARISH
VRTX|2025-09-10 14:30|390.8000|393.1900|390.7800|392.1300|171206|1.3300|1.0600|0.0200|BULLISH
VRTX|2025-09-10 15:30|392.2800|392.8400|391.6100|391.6300|70925|0.6500|0.5600|0.0200|BEARISH
VRTX|2025-09-10 16:30|391.2908|391.6550|389.3500|390.5050|98718|0.7858|0.3642|1.1550|BEARISH
VRTX|2025-09-10 17:30|390.3800|390.9300|388.4100|390.9200|147841|0.5400|0.0100|1.9700|BULLISH
VRTX|2025-09-10 18:30|391.0100|392.5200|387.6400|387.7100|150284|3.3000|1.5100|0.0700|BEARISH
VRTX|2025-09-10 19:30|387.7300|389.6450|387.1900|388.4200|277658|0.6900|1.2250|0.5400|BULLISH
VRTX|2025-09-11 13:30|388.5500|392.7600|388.5500|392.6000|140909|4.0500|0.1600|0.0000|BULLISH
VRTX|2025-09-11 14:30|392.3500|393.7500|392.2950|392.6700|37058|0.3200|1.0800|0.0550|BULLISH
VRTX|2025-09-11 15:30|392.7200|392.9576|392.2200|392.2200|145775|0.5000|0.2376|0.0000|BEARISH
VRTX|2025-09-11 16:30|392.3700|395.1100|392.1000|394.7650|145088|2.3950|0.3450|0.2700|BULLISH
VRTX|2025-09-11 17:30|394.7650|397.1800|394.7400|396.4200|115833|1.6550|0.7600|0.0250|BULLISH
VRTX|2025-09-11 18:30|396.4440|397.0600|394.9641|397.0500|140281|0.6060|0.0100|1.4799|BULLISH
VRTX|2025-09-11 19:30|397.3200|398.5000|397.0100|397.3890|201758|0.0690|1.1110|0.3100|BULLISH
VRTX|2025-09-12 13:30|395.0000|396.8300|393.6250|395.6550|101011|0.6550|1.1750|1.3750|BULLISH
VRTX|2025-09-12 14:30|395.4092|396.1600|395.0800|395.3750|110255|0.0342|0.7508|0.2950|BEARISH
VRTX|2025-09-12 15:30|395.3950|395.5700|393.2000|394.2300|106776|1.1650|0.1750|1.0300|BEARISH
VRTX|2025-09-12 16:30|394.2700|394.8400|393.8000|394.7256|58684|0.4556|0.1144|0.4700|BULLISH
VRTX|2025-09-12 17:30|394.5900|394.8800|393.7150|394.6501|73921|0.0601|0.2299|0.8750|BULLISH
VRTX|2025-09-12 18:30|395.2200|395.4537|393.9275|394.3000|53993|0.9200|0.2337|0.3725|BEARISH
VRTX|2025-09-12 19:30|394.4100|395.3400|393.8658|394.5100|173248|0.1000|0.8300|0.5442|BULLISH
VRTX|2025-09-15 13:30|392.9600|397.8650|392.5400|395.6550|236345|2.6950|2.2100|0.4200|BULLISH
VRTX|2025-09-15 14:30|395.5700|396.3200|393.1300|393.1750|206791|2.3950|0.7500|0.0450|BEARISH
VRTX|2025-09-15 15:30|393.1800|393.6299|391.9600|392.4650|110120|0.7150|0.4499|0.5050|BEARISH
VRTX|2025-09-15 16:30|392.4500|394.1900|392.0300|394.1000|144818|1.6500|0.0900|0.4200|BULLISH
VRTX|2025-09-15 17:30|394.1100|394.8300|393.3700|394.0900|97200|0.0200|0.7200|0.7200|BEARISH
VRTX|2025-09-15 18:30|394.0800|394.6100|393.8100|394.0000|136766|0.0800|0.5300|0.1900|BEARISH
VRTX|2025-09-15 19:30|394.0400|394.5650|392.3200|393.1500|257467|0.8900|0.5250|0.8300|BEARISH
VRTX|2025-09-16 13:30|392.5900|395.1900|392.0400|393.2000|155351|0.6100|1.9900|0.5500|BULLISH
VRTX|2025-09-16 14:30|393.2075|394.8950|391.9100|394.4600|120921|1.2525|0.4350|1.2975|BULLISH
VRTX|2025-09-16 15:30|394.0800|395.4500|392.9362|394.5900|163880|0.5100|0.8600|1.1438|BULLISH
VRTX|2025-09-16 16:30|394.3786|394.6500|386.3600|390.0950|326785|4.2836|0.2714|3.7350|BEARISH
VRTX|2025-09-16 17:30|390.5351|391.2600|387.6000|389.0350|228213|1.5001|0.7249|1.4350|BEARISH
VRTX|2025-09-16 18:30|389.3100|390.9650|388.9650|390.5000|196956|1.1900|0.4650|0.3450|BULLISH
VRTX|2025-09-16 19:30|390.4100|392.2700|390.0000|391.3400|241368|0.9300|0.9300|0.4100|BULLISH
VRTX|2025-09-17 13:30|392.9400|396.3100|392.9400|394.2400|331285|1.3000|2.0700|0.0000|BULLISH
VRTX|2025-09-17 14:30|394.3500|394.4000|392.1400|393.0450|98968|1.3050|0.0500|0.9050|BEARISH
VRTX|2025-09-17 15:30|393.0650|393.1700|390.4700|390.6300|72650|2.4350|0.1050|0.1600|BEARISH
VRTX|2025-09-17 16:30|390.5901|390.7900|387.0000|390.7400|209135|0.1499|0.0500|3.5901|BULLISH
VRTX|2025-09-17 17:30|390.7600|392.7100|389.9100|390.4600|303778|0.3000|1.9500|0.5500|BEARISH
VRTX|2025-09-17 18:30|390.2200|390.3250|387.6950|388.9300|433486|1.2900|0.1050|1.2350|BEARISH
VRTX|2025-09-17 19:30|388.9900|388.9900|386.4700|387.1500|276034|1.8400|0.0000|0.6800|BEARISH
VRTX|2025-09-18 13:30|389.6700|390.6600|387.1900|388.9450|298322|0.7250|0.9900|1.7550|BEARISH
VRTX|2025-09-18 14:30|388.8900|389.0400|385.4600|387.0950|226502|1.7950|0.1500|1.6350|BEARISH
VRTX|2025-09-18 15:30|387.0700|387.7100|386.5000|387.3070|138328|0.2370|0.4030|0.5700|BULLISH
VRTX|2025-09-18 16:30|387.2700|387.2950|384.8700|385.9600|163680|1.3100|0.0250|1.0900|BEARISH
VRTX|2025-09-18 17:30|385.9700|388.2850|385.2600|387.4500|265126|1.4800|0.8350|0.7100|BULLISH
VRTX|2025-09-18 18:30|387.6500|387.6500|386.2800|386.4400|275380|1.2100|0.0000|0.1600|BEARISH
VRTX|2025-09-18 19:30|386.3500|387.5200|386.1500|386.9500|254717|0.6000|0.5700|0.2000|BULLISH
VRTX|2025-09-19 13:30|388.9900|389.4600|383.8800|386.7200|713512|2.2700|0.4700|2.8400|BEARISH
VRTX|2025-09-19 14:30|386.8100|386.8100|385.2400|385.9300|130302|0.8800|0.0000|0.6900|BEARISH
VRTX|2025-09-19 15:30|385.9300|386.4200|385.1600|385.1600|144011|0.7700|0.4900|0.0000|BEARISH
VRTX|2025-09-19 16:30|385.2100|386.0000|384.6900|385.4200|114144|0.2100|0.5800|0.5200|BULLISH
VRTX|2025-09-19 17:30|385.3300|385.9872|384.8301|385.1350|119310|0.1950|0.6572|0.3049|BEARISH
VRTX|2025-09-19 18:30|384.9300|385.7850|384.5900|384.8600|232476|0.0700|0.8550|0.2700|BEARISH
VRTX|2025-09-19 19:30|384.7450|385.1450|382.6000|382.8900|509634|1.8550|0.4000|0.2900|BEARISH
VRTX|2025-09-22 13:30|384.0700|385.8400|381.7800|385.5200|191865|1.4500|0.3200|2.2900|BULLISH
VRTX|2025-09-22 14:30|385.5450|386.0800|383.5000|383.7100|149934|1.8350|0.5350|0.2100|BEARISH
VRTX|2025-09-22 15:30|383.5200|384.5200|383.2800|383.8200|129713|0.3000|0.7000|0.2400|BULLISH
VRTX|2025-09-22 16:30|383.8200|384.8150|383.4400|384.4100|100787|0.5900|0.4050|0.3800|BULLISH
VRTX|2025-09-22 17:30|384.5266|385.0100|383.2300|384.8000|139854|0.2734|0.2100|1.2966|BULLISH
VRTX|2025-09-22 18:30|384.7100|385.5265|383.2500|383.5150|132320|1.1950|0.8165|0.2650|BEARISH
VRTX|2025-09-22 19:30|383.3700|383.7900|382.8300|382.9600|235671|0.4100|0.4200|0.1300|BEARISH
VRTX|2025-09-23 13:30|381.5900|383.5000|380.5400|380.8400|104442|0.7500|1.9100|0.3000|BEARISH
VRTX|2025-09-23 14:30|380.9138|382.0000|377.7300|379.2850|152813|1.6288|1.0862|1.5550|BEARISH
VRTX|2025-09-23 15:30|379.2000|380.1200|378.3300|379.6200|93340|0.4200|0.5000|0.8700|BULLISH
VRTX|2025-09-23 16:30|379.6250|380.9050|379.2000|379.2600|143164|0.3650|1.2800|0.0600|BEARISH
VRTX|2025-09-23 17:30|379.3150|380.7600|378.6800|379.8300|92216|0.5150|0.9300|0.6350|BULLISH
VRTX|2025-09-23 18:30|379.6700|379.8600|377.5100|377.9500|387797|1.7200|0.1900|0.4400|BEARISH
VRTX|2025-09-23 19:30|377.9000|380.2350|376.0000|379.6800|287358|1.7800|0.5550|1.9000|BULLISH
VRTX|2025-09-24 13:30|377.5600|380.7250|376.1800|379.9600|169541|2.4000|0.7650|1.3800|BULLISH
VRTX|2025-09-24 14:30|380.0350|380.5000|377.3200|377.9600|117456|2.0750|0.4650|0.6400|BEARISH
VRTX|2025-09-24 15:30|378.0400|379.3400|377.3500|378.0150|100759|0.0250|1.3000|0.6650|BEARISH
VRTX|2025-09-24 16:30|378.0962|378.1400|377.2200|377.4400|64883|0.6562|0.0438|0.2200|BEARISH
VRTX|2025-09-24 17:30|377.5200|377.5600|374.1700|375.1100|109005|2.4100|0.0400|0.9400|BEARISH
VRTX|2025-09-24 18:30|375.2350|376.3750|375.0800|375.8900|115584|0.6550|0.4850|0.1550|BULLISH
VRTX|2025-09-24 19:30|375.9800|377.1300|375.3900|376.7100|489277|0.7300|0.4200|0.5900|BULLISH
VRTX|2025-09-25 13:30|383.2000|387.4799|380.3200|381.0100|346133|2.1900|4.2799|0.6900|BEARISH
VRTX|2025-09-25 14:30|380.9699|381.5400|377.1200|378.9500|160665|2.0199|0.5701|1.8300|BEARISH
VRTX|2025-09-25 15:30|378.9150|379.0750|377.0200|377.7800|164414|1.1350|0.1600|0.7600|BEARISH
VRTX|2025-09-25 16:30|377.6600|379.5300|377.5250|378.6800|129072|1.0200|0.8500|0.1350|BULLISH
VRTX|2025-09-25 17:30|378.6400|380.6900|378.1300|380.2850|182971|1.6450|0.4050|0.5100|BULLISH
VRTX|2025-09-25 18:30|380.3500|383.2150|380.0500|380.8700|315163|0.5200|2.3450|0.3000|BULLISH
VRTX|2025-09-25 19:30|380.8300|382.1200|379.9400|381.9800|301927|1.1500|0.1400|0.8900|BULLISH
VRTX|2025-09-26 13:30|381.9100|385.9799|379.7200|384.7300|209309|2.8200|1.2499|2.1900|BULLISH
VRTX|2025-09-26 14:30|384.5300|386.4640|384.0900|385.1600|133668|0.6300|1.3040|0.4400|BULLISH
VRTX|2025-09-26 15:30|385.0000|385.7700|383.5000|385.6550|95733|0.6550|0.1150|1.5000|BULLISH
VRTX|2025-09-26 16:30|385.6550|387.4800|384.2200|384.6100|148603|1.0450|1.8250|0.3900|BEARISH
VRTX|2025-09-26 17:30|384.8450|385.5000|383.7539|384.7700|118488|0.0750|0.6550|1.0161|BEARISH
VRTX|2025-09-26 18:30|385.0050|386.5400|384.8450|384.9800|147546|0.0250|1.5350|0.1350|BEARISH
VRTX|2025-09-26 19:30|384.9500|386.1150|384.8184|385.8000|273388|0.8500|0.3150|0.1316|BULLISH
VRTX|2025-09-29 13:30|386.3000|393.6225|384.3940|392.3900|217604|6.0900|1.2325|1.9060|BULLISH
VRTX|2025-09-29 14:30|392.3600|392.6200|389.4901|390.0350|265808|2.3250|0.2600|0.5449|BEARISH
VRTX|2025-09-29 15:30|390.1400|393.5100|389.7100|393.2700|173353|3.1300|0.2400|0.4300|BULLISH
VRTX|2025-09-29 16:30|393.1500|396.0850|393.1400|395.4900|152171|2.3400|0.5950|0.0100|BULLISH
VRTX|2025-09-29 17:30|395.5600|398.4800|395.2600|398.4800|130207|2.9200|0.0000|0.3000|BULLISH
VRTX|2025-09-29 18:30|398.4800|399.1000|396.7900|397.8000|169030|0.6800|0.6200|1.0100|BEARISH
VRTX|2025-09-29 19:30|397.9500|398.4900|394.8650|395.3200|209422|2.6300|0.5400|0.4550|BEARISH
VRTX|2025-09-30 13:30|394.9400|397.6500|385.9401|388.4700|231020|6.4700|2.7100|2.5299|BEARISH
VRTX|2025-09-30 14:30|388.8300|391.2248|385.8650|388.0700|173178|0.7600|2.3948|2.2050|BEARISH
VRTX|2025-09-30 15:30|388.0750|390.2400|386.2876|389.9400|120388|1.8650|0.3000|1.7874|BULLISH
VRTX|2025-09-30 16:30|390.0100|391.9350|389.1550|390.3200|103477|0.3100|1.6150|0.8550|BULLISH
VRTX|2025-09-30 17:30|390.2500|395.0000|388.9050|394.4500|170137|4.2000|0.5500|1.3450|BULLISH
VRTX|2025-09-30 18:30|394.2800|396.2100|391.3700|392.2700|204433|2.0100|1.9300|0.9000|BEARISH
VRTX|2025-09-30 19:30|392.3700|393.0400|391.0800|391.5500|222248|0.8200|0.6700|0.4700|BEARISH
VRTX|2025-10-01 13:30|393.6200|401.3600|392.8200|400.9950|225941|7.3750|0.3650|0.8000|BULLISH
VRTX|2025-10-01 14:30|400.9200|407.3617|400.4100|406.6400|255590|5.7200|0.7217|0.5100|BULLISH
VRTX|2025-10-01 15:30|406.6100|407.5000|405.4900|406.1498|81253|0.4602|0.8900|0.6598|BEARISH
VRTX|2025-10-01 16:30|406.1600|406.2700|403.0300|403.2200|75675|2.9400|0.1100|0.1900|BEARISH
VRTX|2025-10-01 17:30|403.1900|404.4700|402.4000|404.1550|434472|0.9650|0.3150|0.7900|BULLISH
VRTX|2025-10-01 18:30|404.1750|407.4300|403.8800|406.4200|207855|2.2450|1.0100|0.2950|BULLISH
VRTX|2025-10-01 19:30|406.2450|406.2450|403.9800|404.0800|296406|2.1650|0.0000|0.1000|BEARISH
VRTX|2025-10-02 13:30|404.2100|409.0000|403.5900|407.8050|293533|3.5950|1.1950|0.6200|BULLISH
VRTX|2025-10-02 14:30|407.5100|409.3800|405.9050|408.9250|227965|1.4150|0.4550|1.6050|BULLISH
VRTX|2025-10-02 15:30|409.2200|410.2350|408.9600|409.9850|108688|0.7650|0.2500|0.2600|BULLISH
VRTX|2025-10-02 16:30|410.0600|410.9950|406.7976|407.6800|233220|2.3800|0.9350|0.8824|BEARISH
VRTX|2025-10-02 17:30|407.8500|408.8500|406.6200|407.2000|132997|0.6500|1.0000|0.5800|BEARISH
VRTX|2025-10-02 18:30|407.1200|407.5400|406.6200|407.0300|153991|0.0900|0.4200|0.4100|BEARISH
VRTX|2025-10-02 19:30|407.0500|409.1100|406.7650|408.6900|287713|1.6400|0.4200|0.2850|BULLISH
VRTX|2025-10-03 13:30|411.6700|411.9100|407.0500|408.0000|242334|3.6700|0.2400|0.9500|BEARISH
VRTX|2025-10-03 14:30|408.2900|409.1100|406.1600|406.6450|127195|1.6450|0.8200|0.4850|BEARISH
VRTX|2025-10-03 15:30|406.6300|407.1400|405.0400|405.0800|110733|1.5500|0.5100|0.0400|BEARISH
VRTX|2025-10-03 16:30|405.2700|405.4550|403.5100|404.5425|141123|0.7275|0.1850|1.0325|BEARISH
VRTX|2025-10-03 17:30|404.3500|406.8100|404.3500|406.5700|96361|2.2200|0.2400|0.0000|BULLISH
VRTX|2025-10-03 18:30|406.5300|406.7250|403.7500|404.6400|171858|1.8900|0.1950|0.8900|BEARISH
VRTX|2025-10-03 19:30|404.6300|404.9250|403.0400|403.2800|207309|1.3500|0.2950|0.2400|BEARISH
VRTX|2025-10-06 13:30|403.4300|405.2600|401.2325|405.2350|209102|1.8050|0.0250|2.1975|BULLISH
VRTX|2025-10-06 14:30|405.3000|405.4450|400.7350|402.5500|144215|2.7500|0.1450|1.8150|BEARISH
VRTX|2025-10-06 15:30|402.3750|403.4000|401.6200|402.0200|101178|0.3550|1.0250|0.4000|BEARISH
VRTX|2025-10-06 16:30|402.0275|402.9800|401.1550|402.9800|82937|0.9525|0.0000|0.8725|BULLISH
VRTX|2025-10-06 17:30|402.9100|402.9100|400.9300|401.9850|96229|0.9250|0.0000|1.0550|BEARISH
VRTX|2025-10-06 18:30|402.0936|402.1000|401.0000|401.9750|105209|0.1186|0.0064|0.9750|BEARISH
