Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
VST|2025-09-02 13:30|184.5500|186.2599|182.0900|184.9100|923479|0.3600|1.3499|2.4600|BULLISH
VST|2025-09-02 14:30|184.9100|186.8800|184.1800|186.1900|372116|1.2800|0.6900|0.7300|BULLISH
VST|2025-09-02 15:30|186.2500|186.2500|183.6800|184.4674|388192|1.7826|0.0000|0.7874|BEARISH
VST|2025-09-02 16:30|184.4500|185.3000|183.8500|185.1600|338719|0.7100|0.1400|0.6000|BULLISH
VST|2025-09-02 17:30|185.3400|185.8000|184.7100|185.1600|272418|0.1800|0.4600|0.4500|BEARISH
VST|2025-09-02 18:30|185.1600|186.4699|184.9400|185.9200|353879|0.7600|0.5499|0.2200|BULLISH
VST|2025-09-02 19:30|185.8800|186.4250|185.5800|185.8000|602662|0.0800|0.5450|0.2200|BEARISH
VST|2025-09-03 13:30|186.0000|186.7600|184.3400|186.6900|443660|0.6900|0.0700|1.6600|BULLISH
VST|2025-09-03 14:30|186.6700|187.1100|185.7900|185.9300|308305|0.7400|0.4400|0.1400|BEARISH
VST|2025-09-03 15:30|185.9100|187.6400|185.6200|187.1387|223085|1.2287|0.5013|0.2900|BULLISH
VST|2025-09-03 16:30|187.1300|187.1600|185.5000|186.1600|206622|0.9700|0.0300|0.6600|BEARISH
VST|2025-09-03 17:30|186.0900|187.2300|186.0900|187.0350|274081|0.9450|0.1950|0.0000|BULLISH
VST|2025-09-03 18:30|187.0350|188.0600|186.4701|187.9150|378663|0.8800|0.1450|0.5649|BULLISH
VST|2025-09-03 19:30|187.9500|188.5500|187.7500|188.1900|452589|0.2400|0.3600|0.2000|BULLISH
VST|2025-09-04 13:30|189.0000|191.9400|188.8521|191.0000|679293|2.0000|0.9400|0.1479|BULLISH
VST|2025-09-04 14:30|190.8950|192.1100|189.6000|189.9200|399934|0.9750|1.2150|0.3200|BEARISH
VST|2025-09-04 15:30|189.9100|190.3300|188.8700|189.1925|272736|0.7175|0.4200|0.3225|BEARISH
VST|2025-09-04 16:30|189.0900|190.2500|188.7961|189.5700|192194|0.4800|0.6800|0.2939|BULLISH
VST|2025-09-04 17:30|189.5800|190.1400|189.1000|189.2550|171479|0.3250|0.5600|0.1550|BEARISH
VST|2025-09-04 18:30|189.2550|189.9999|189.0000|189.9800|199522|0.7250|0.0199|0.2550|BULLISH
VST|2025-09-04 19:30|189.9118|190.1800|189.1550|189.8400|425223|0.0718|0.2682|0.6850|BEARISH
VST|2025-09-05 13:30|190.2500|191.4332|180.8350|181.2350|1328947|9.0150|1.1832|0.4000|BEARISH
VST|2025-09-05 14:30|181.1300|181.8700|178.4300|181.2300|882462|0.1000|0.6400|2.7000|BULLISH
VST|2025-09-05 15:30|181.2400|183.7200|181.0100|183.2500|543482|2.0100|0.4700|0.2300|BULLISH
VST|2025-09-05 16:30|183.1950|186.3100|183.1400|186.0650|374513|2.8700|0.2450|0.0550|BULLISH
VST|2025-09-05 17:30|185.9600|187.2500|185.6300|186.6500|366663|0.6900|0.6000|0.3300|BULLISH
VST|2025-09-05 18:30|186.6405|188.0550|186.5000|187.3400|387750|0.6995|0.7150|0.1405|BULLISH
VST|2025-09-05 19:30|187.4120|188.0600|186.5200|188.0200|645322|0.6080|0.0400|0.8920|BULLISH
VST|2025-09-08 13:30|189.5900|190.5550|185.4700|186.4450|845569|3.1450|0.9650|0.9750|BEARISH
VST|2025-09-08 14:30|186.4800|186.5300|184.6800|186.0850|544183|0.3950|0.0500|1.4050|BEARISH
VST|2025-09-08 15:30|186.0300|186.3550|184.9500|185.5400|287396|0.4900|0.3250|0.5900|BEARISH
VST|2025-09-08 16:30|185.6200|185.8899|184.6100|185.6722|316908|0.0522|0.2177|1.0100|BULLISH
VST|2025-09-08 17:30|185.7100|186.7700|185.2300|186.6500|289819|0.9400|0.1200|0.4800|BULLISH
VST|2025-09-08 18:30|186.6500|187.4400|186.3200|187.1400|496236|0.4900|0.3000|0.3300|BULLISH
VST|2025-09-08 19:30|187.1400|188.1300|187.0400|187.9800|636148|0.8400|0.1500|0.1000|BULLISH
