Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
VTR|2025-09-02 13:30|67.8400|68.1500|67.6000|68.1300|305763|0.2900|0.0200|0.2400|BULLISH
VTR|2025-09-02 14:30|68.1300|68.1600|67.8800|68.0100|210652|0.1200|0.0300|0.1300|BEARISH
VTR|2025-09-02 15:30|68.0000|68.0100|67.3800|67.4750|242674|0.5250|0.0100|0.0950|BEARISH
VTR|2025-09-02 16:30|67.4700|67.7150|67.3900|67.6900|204316|0.2200|0.0250|0.0800|BULLISH
VTR|2025-09-02 17:30|67.6900|67.8000|67.5950|67.7000|171993|0.0100|0.1000|0.0950|BULLISH
VTR|2025-09-02 18:30|67.6900|67.6950|67.5200|67.6300|231702|0.0600|0.0050|0.1100|BEARISH
VTR|2025-09-02 19:30|67.6400|67.9300|67.5800|67.9100|590648|0.2700|0.0200|0.0600|BULLISH
VTR|2025-09-03 13:30|67.6900|67.9600|67.4450|67.7200|136393|0.0300|0.2400|0.2450|BULLISH
VTR|2025-09-03 14:30|67.7100|67.9900|67.6000|67.9150|91065|0.2050|0.0750|0.1100|BULLISH
VTR|2025-09-03 15:30|67.9400|68.0100|67.5650|67.6100|130883|0.3300|0.0700|0.0450|BEARISH
VTR|2025-09-03 16:30|67.6050|67.7300|67.4500|67.5200|110753|0.0850|0.1250|0.0700|BEARISH
VTR|2025-09-03 17:30|67.5200|67.7700|67.4200|67.6500|166307|0.1300|0.1200|0.1000|BULLISH
VTR|2025-09-03 18:30|67.6400|67.6600|67.4200|67.5500|220603|0.0900|0.0200|0.1300|BEARISH
VTR|2025-09-03 19:30|67.5450|67.5950|67.2900|67.4800|543894|0.0650|0.0500|0.1900|BEARISH
VTR|2025-09-04 13:30|67.6400|68.3100|67.5600|67.8800|453687|0.2400|0.4300|0.0800|BULLISH
VTR|2025-09-04 14:30|67.8500|67.9650|67.5200|67.6200|130498|0.2300|0.1150|0.1000|BEARISH
VTR|2025-09-04 15:30|67.6200|67.6900|67.3900|67.4850|132712|0.1350|0.0700|0.0950|BEARISH
VTR|2025-09-04 16:30|67.4850|67.6000|67.3700|67.5808|99017|0.0958|0.0192|0.1150|BULLISH
VTR|2025-09-04 17:30|67.5750|67.5750|67.3900|67.5390|163930|0.0360|0.0000|0.1490|BEARISH
VTR|2025-09-04 18:30|67.5500|67.7600|67.5500|67.7100|233513|0.1600|0.0500|0.0000|BULLISH
VTR|2025-09-04 19:30|67.6900|67.7400|67.6200|67.7200|367570|0.0300|0.0200|0.0700|BULLISH
VTR|2025-09-05 13:30|68.0000|68.2699|66.3750|67.2100|308044|0.7900|0.2699|0.8350|BEARISH
VTR|2025-09-05 14:30|67.2350|67.5700|67.1100|67.5300|390232|0.2950|0.0400|0.1250|BULLISH
VTR|2025-09-05 15:30|67.5600|67.6700|67.3700|67.5350|176200|0.0250|0.1100|0.1650|BEARISH
VTR|2025-09-05 16:30|67.5300|67.7800|67.4550|67.7200|184894|0.1900|0.0600|0.0750|BULLISH
VTR|2025-09-05 17:30|67.7400|67.8250|67.5600|67.7750|265596|0.0350|0.0500|0.1800|BULLISH
VTR|2025-09-05 18:30|67.7700|68.0700|67.7700|67.9850|298818|0.2150|0.0850|0.0000|BULLISH
VTR|2025-09-05 19:30|67.9850|68.0550|67.7700|67.9200|540146|0.0650|0.0700|0.1500|BEARISH
VTR|2025-09-08 13:30|67.4500|68.3850|67.4300|67.9400|312013|0.4900|0.4450|0.0200|BULLISH
VTR|2025-09-08 14:30|67.9500|68.0600|67.8750|68.0400|161943|0.0900|0.0200|0.0750|BULLISH
VTR|2025-09-08 15:30|68.0300|68.1450|67.9100|67.9950|219807|0.0350|0.1150|0.0850|BEARISH
VTR|2025-09-08 16:30|67.9950|68.0400|67.8500|68.0100|132505|0.0150|0.0300|0.1450|BULLISH
VTR|2025-09-08 17:30|68.0100|68.0500|67.8100|67.8735|146470|0.1365|0.0400|0.0635|BEARISH
VTR|2025-09-08 18:30|67.8700|67.9300|67.6900|67.7900|205771|0.0800|0.0600|0.1000|BEARISH
VTR|2025-09-08 19:30|67.7900|68.1600|67.7350|68.0800|525567|0.2900|0.0800|0.0550|BULLISH
VTR|2025-09-09 13:30|68.0250|68.1500|67.7800|68.0200|209995|0.0050|0.1250|0.2400|BEARISH
VTR|2025-09-09 14:30|68.0400|68.3100|67.9800|68.3050|223907|0.2650|0.0050|0.0600|BULLISH
VTR|2025-09-09 15:30|68.3100|68.6200|68.3000|68.5500|323138|0.2400|0.0700|0.0100|BULLISH
VTR|2025-09-09 16:30|68.5600|68.5600|68.3200|68.4100|105307|0.1500|0.0000|0.0900|BEARISH
VTR|2025-09-09 17:30|68.4100|68.6900|68.4100|68.5500|173775|0.1400|0.1400|0.0000|BULLISH
VTR|2025-09-09 18:30|68.5500|68.5500|68.3650|68.3700|224575|0.1800|0.0000|0.0050|BEARISH
VTR|2025-09-09 19:30|68.3600|68.4400|68.2350|68.2600|470108|0.1000|0.0800|0.0250|BEARISH
VTR|2025-09-10 13:30|68.3200|69.7300|68.0950|69.6000|392817|1.2800|0.1300|0.2250|BULLISH
VTR|2025-09-10 14:30|69.6050|69.6100|69.2750|69.4600|357608|0.1450|0.0050|0.1850|BEARISH
VTR|2025-09-10 15:30|69.4900|69.6300|69.2200|69.2300|277834|0.2600|0.1400|0.0100|BEARISH
VTR|2025-09-10 16:30|69.2400|69.3050|68.9700|68.9700|197974|0.2700|0.0650|0.0000|BEARISH
VTR|2025-09-10 17:30|68.9500|69.1500|68.9300|69.0900|209890|0.1400|0.0600|0.0200|BULLISH
VTR|2025-09-10 18:30|69.0900|69.3050|69.0900|69.1850|311659|0.0950|0.1200|0.0000|BULLISH
VTR|2025-09-10 19:30|69.1502|69.2800|69.1000|69.2600|585771|0.1098|0.0200|0.0502|BULLISH
VTR|2025-09-11 13:30|69.2600|69.7400|69.2600|69.3550|214355|0.0950|0.3850|0.0000|BULLISH
VTR|2025-09-11 14:30|69.3450|69.5100|69.2350|69.2700|131464|0.0750|0.1650|0.0350|BEARISH
VTR|2025-09-11 15:30|69.2600|69.6200|69.2050|69.5500|139899|0.2900|0.0700|0.0550|BULLISH
VTR|2025-09-11 16:30|69.5350|69.5600|69.3200|69.3400|107951|0.1950|0.0250|0.0200|BEARISH
VTR|2025-09-11 17:30|69.3400|69.4400|69.2600|69.3850|102658|0.0450|0.0550|0.0800|BULLISH
VTR|2025-09-11 18:30|69.3900|69.5550|69.1800|69.5100|160342|0.1200|0.0450|0.2100|BULLISH
VTR|2025-09-11 19:30|69.5150|69.6050|69.3800|69.4400|341282|0.0750|0.0900|0.0600|BEARISH
VTR|2025-09-12 13:30|69.4400|69.5500|68.8300|69.4800|138618|0.0400|0.0700|0.6100|BULLISH
VTR|2025-09-12 14:30|69.4950|69.5700|69.3800|69.4800|104198|0.0150|0.0750|0.1000|BEARISH
VTR|2025-09-12 15:30|69.5087|69.6200|69.3800|69.6050|164960|0.0963|0.0150|0.1287|BULLISH
VTR|2025-09-12 16:30|69.6050|69.6600|69.4950|69.6300|82251|0.0250|0.0300|0.1100|BULLISH
VTR|2025-09-12 17:30|69.6400|69.7950|69.6400|69.7250|128868|0.0850|0.0700|0.0000|BULLISH
VTR|2025-09-12 18:30|69.7300|69.8400|69.6300|69.7600|176461|0.0300|0.0800|0.1000|BULLISH
VTR|2025-09-12 19:30|69.7500|69.8400|69.6250|69.7300|409741|0.0200|0.0900|0.1050|BEARISH
VTR|2025-09-15 13:30|69.7700|69.9650|69.5600|69.6600|180111|0.1100|0.1950|0.1000|BEARISH
VTR|2025-09-15 14:30|69.6850|70.0100|69.6300|69.8600|172582|0.1750|0.1500|0.0550|BULLISH
VTR|2025-09-15 15:30|69.8600|69.9799|69.7800|69.8750|100566|0.0150|0.1049|0.0800|BULLISH
VTR|2025-09-15 16:30|69.8750|69.9100|69.6100|69.7100|107170|0.1650|0.0350|0.1000|BEARISH
VTR|2025-09-15 17:30|69.7150|69.9689|69.6900|69.8350|126796|0.1200|0.1339|0.0250|BULLISH
VTR|2025-09-15 18:30|69.8600|69.9500|69.6900|69.9250|196473|0.0650|0.0250|0.1700|BULLISH
VTR|2025-09-15 19:30|69.9250|69.9900|69.7600|69.8700|520253|0.0550|0.0650|0.1100|BEARISH
VTR|2025-09-16 13:30|69.8000|69.9500|69.4100|69.4600|148757|0.3400|0.1500|0.0500|BEARISH
VTR|2025-09-16 14:30|69.4650|69.6400|69.2800|69.4100|365207|0.0550|0.1750|0.1300|BEARISH
