Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WEC|2025-09-02 13:30|106.2300|106.7799|105.8100|106.5350|157127|0.3050|0.2449|0.4200|BULLISH
WEC|2025-09-02 14:30|106.5700|106.9000|106.4900|106.6000|120112|0.0300|0.3000|0.0800|BULLISH
WEC|2025-09-02 15:30|106.6050|106.7800|106.2100|106.3400|153086|0.2650|0.1750|0.1300|BEARISH
WEC|2025-09-02 16:30|106.3600|106.3700|106.0518|106.1300|102491|0.2300|0.0100|0.0782|BEARISH
WEC|2025-09-02 17:30|106.1250|106.2800|106.0800|106.2400|173173|0.1150|0.0400|0.0450|BULLISH
WEC|2025-09-02 18:30|106.2300|106.2600|105.8400|105.8890|185769|0.3410|0.0300|0.0490|BEARISH
WEC|2025-09-02 19:30|105.8800|106.0850|105.6500|106.0250|500965|0.1450|0.0600|0.2300|BULLISH
WEC|2025-09-03 13:30|105.7000|106.3821|105.5000|106.1500|182789|0.4500|0.2321|0.2000|BULLISH
WEC|2025-09-03 14:30|106.1100|106.6900|106.0500|106.6500|90935|0.5400|0.0400|0.0600|BULLISH
WEC|2025-09-03 15:30|106.6600|106.6900|106.2600|106.2600|272360|0.4000|0.0300|0.0000|BEARISH
WEC|2025-09-03 16:30|106.2500|106.2700|106.0500|106.2450|92242|0.0050|0.0200|0.1950|BEARISH
WEC|2025-09-03 17:30|106.2200|106.4900|106.1100|106.3815|137444|0.1615|0.1085|0.1100|BULLISH
WEC|2025-09-03 18:30|106.3700|106.5850|106.2700|106.5000|199567|0.1300|0.0850|0.1000|BULLISH
WEC|2025-09-03 19:30|106.5200|106.9400|106.4200|106.8950|569347|0.3750|0.0450|0.1000|BULLISH
WEC|2025-09-04 13:30|107.6700|108.2200|107.1200|107.5100|803429|0.1600|0.5500|0.3900|BEARISH
WEC|2025-09-04 14:30|107.5300|107.7400|107.1400|107.2400|524690|0.2900|0.2100|0.1000|BEARISH
WEC|2025-09-04 15:30|107.2200|107.3500|107.0300|107.1500|168536|0.0700|0.1300|0.1200|BEARISH
WEC|2025-09-04 16:30|107.1700|107.3700|106.9700|107.2873|235074|0.1173|0.0827|0.2000|BULLISH
WEC|2025-09-04 17:30|107.2500|107.2500|106.9700|107.1200|175993|0.1300|0.0000|0.1500|BEARISH
WEC|2025-09-04 18:30|107.1100|107.3090|106.9800|107.2000|213523|0.0900|0.1090|0.1300|BULLISH
WEC|2025-09-04 19:30|107.1910|107.4900|107.1500|107.4900|418160|0.2990|0.0000|0.0410|BULLISH
WEC|2025-09-05 13:30|107.4500|107.9350|107.1700|107.4550|233211|0.0050|0.4800|0.2800|BULLISH
WEC|2025-09-05 14:30|107.4800|107.8500|107.2901|107.6800|161736|0.2000|0.1700|0.1899|BULLISH
WEC|2025-09-05 15:30|107.7100|107.7500|107.0400|107.1000|96136|0.6100|0.0400|0.0600|BEARISH
WEC|2025-09-05 16:30|107.0800|107.3400|107.0800|107.2500|94525|0.1700|0.0900|0.0000|BULLISH
WEC|2025-09-05 17:30|107.2600|107.4100|107.1500|107.2600|127017|0.0000|0.1500|0.1100|BULLISH
WEC|2025-09-05 18:30|107.2400|107.5200|107.2400|107.4500|139103|0.2100|0.0700|0.0000|BULLISH
WEC|2025-09-05 19:30|107.4600|107.8000|107.4100|107.7800|334972|0.3200|0.0200|0.0500|BULLISH
WEC|2025-09-08 13:30|107.5200|107.6500|106.6500|106.9500|143622|0.5700|0.1300|0.3000|BEARISH
WEC|2025-09-08 14:30|106.9900|107.5100|106.7900|107.4300|115843|0.4400|0.0800|0.2000|BULLISH
WEC|2025-09-08 15:30|107.4500|107.4900|107.2600|107.2950|145801|0.1550|0.0400|0.0350|BEARISH
WEC|2025-09-08 16:30|107.3200|107.4400|107.2200|107.2500|103678|0.0700|0.1200|0.0300|BEARISH
WEC|2025-09-08 17:30|107.2700|107.3600|107.0400|107.0900|98540|0.1800|0.0900|0.0500|BEARISH
WEC|2025-09-08 18:30|107.0750|107.2850|106.8800|107.0800|409025|0.0050|0.2050|0.1950|BULLISH
WEC|2025-09-08 19:30|107.0800|107.4700|106.8200|107.3800|300732|0.3000|0.0900|0.2600|BULLISH
WEC|2025-09-09 13:30|107.1150|107.3600|106.8300|107.0700|94026|0.0450|0.2450|0.2400|BEARISH
WEC|2025-09-09 14:30|107.0600|107.2100|106.8164|107.1628|96755|0.1028|0.0472|0.2436|BULLISH
WEC|2025-09-09 15:30|107.1700|107.6500|107.1700|107.4700|216473|0.3000|0.1800|0.0000|BULLISH
WEC|2025-09-09 16:30|107.4500|107.5300|107.3300|107.4700|86974|0.0200|0.0600|0.1200|BULLISH
WEC|2025-09-09 17:30|107.5175|108.0400|107.5175|107.9400|83764|0.4225|0.1000|0.0000|BULLISH
WEC|2025-09-09 18:30|107.9500|107.9700|107.5700|107.5750|125986|0.3750|0.0200|0.0050|BEARISH
WEC|2025-09-09 19:30|107.5700|107.7200|107.3900|107.5600|247252|0.0100|0.1500|0.1700|BEARISH
WEC|2025-09-10 13:30|108.2300|109.5000|107.7400|109.2150|512849|0.9850|0.2850|0.4900|BULLISH
WEC|2025-09-10 14:30|109.2200|109.2300|108.3600|108.6500|398393|0.5700|0.0100|0.2900|BEARISH
WEC|2025-09-10 15:30|108.6700|109.3900|108.6400|109.2500|443485|0.5800|0.1400|0.0300|BULLISH
WEC|2025-09-10 16:30|109.2500|109.2950|108.8200|109.1100|378295|0.1400|0.0450|0.2900|BEARISH
WEC|2025-09-10 17:30|109.1100|109.3900|109.0100|109.3450|242564|0.2350|0.0450|0.1000|BULLISH
WEC|2025-09-10 18:30|109.3500|109.4200|109.1600|109.2450|467938|0.1050|0.0700|0.0850|BEARISH
WEC|2025-09-10 19:30|109.2100|109.5000|109.1800|109.3900|469736|0.1800|0.1100|0.0300|BULLISH
WEC|2025-09-11 13:30|109.2600|110.0000|108.8000|109.8640|231064|0.6040|0.1360|0.4600|BULLISH
WEC|2025-09-11 14:30|109.8400|110.1300|109.6300|110.0000|171049|0.1600|0.1300|0.2100|BULLISH
WEC|2025-09-11 15:30|110.0100|110.0100|109.4250|109.8350|186631|0.1750|0.0000|0.4100|BEARISH
WEC|2025-09-11 16:30|109.8350|109.8600|109.0850|109.1170|193741|0.7180|0.0250|0.0320|BEARISH
WEC|2025-09-11 17:30|109.0950|109.6600|109.0600|109.4900|437566|0.3950|0.1700|0.0350|BULLISH
WEC|2025-09-11 18:30|109.4700|109.5700|109.3400|109.3900|189162|0.0800|0.1000|0.0500|BEARISH
WEC|2025-09-11 19:30|109.3900|109.7600|109.3600|109.7100|464447|0.3200|0.0500|0.0300|BULLISH
WEC|2025-09-12 13:30|109.2900|110.2400|109.2900|110.1750|185947|0.8850|0.0650|0.0000|BULLISH
WEC|2025-09-12 14:30|110.1800|110.4000|109.9700|110.1070|132771|0.0730|0.2200|0.1370|BEARISH
WEC|2025-09-12 15:30|110.1400|110.4100|110.0500|110.4000|97891|0.2600|0.0100|0.0900|BULLISH
WEC|2025-09-12 16:30|110.4300|110.4300|110.1600|110.2500|192265|0.1800|0.0000|0.0900|BEARISH
WEC|2025-09-12 17:30|110.2700|110.5000|110.2000|110.3400|112970|0.0700|0.1600|0.0700|BULLISH
WEC|2025-09-12 18:30|110.3600|110.6700|110.3600|110.5700|144099|0.2100|0.1000|0.0000|BULLISH
WEC|2025-09-12 19:30|110.5800|110.7750|110.4400|110.5200|292015|0.0600|0.1950|0.0800|BEARISH
WEC|2025-09-15 13:30|110.5100|110.9300|110.4200|110.5000|106883|0.0100|0.4200|0.0800|BEARISH
WEC|2025-09-15 14:30|110.5100|110.9400|110.4800|110.5550|143191|0.0450|0.3850|0.0300|BULLISH
WEC|2025-09-15 15:30|110.5500|110.7600|110.4400|110.4625|104384|0.0875|0.2100|0.0225|BEARISH
WEC|2025-09-15 16:30|110.4650|110.6510|110.3600|110.6080|178433|0.1430|0.0430|0.1050|BULLISH
WEC|2025-09-15 17:30|110.6100|110.8500|110.5100|110.8400|130271|0.2300|0.0100|0.1000|BULLISH
WEC|2025-09-15 18:30|110.8400|111.0200|110.6600|110.9400|201259|0.1000|0.0800|0.1800|BULLISH
WEC|2025-09-15 19:30|110.9500|111.2650|110.8700|110.9950|773587|0.0450|0.2700|0.0800|BULLISH
WEC|2025-09-16 13:30|110.5600|110.8500|109.7900|109.8399|99898|0.7201|0.2900|0.0499|BEARISH
WEC|2025-09-16 14:30|109.8400|110.1700|109.7000|109.7550|81946|0.0850|0.3300|0.0550|BEARISH
WEC|2025-09-16 15:30|109.7650|109.8900|109.4600|109.4950|87158|0.2700|0.1250|0.0350|BEARISH
WEC|2025-09-16 16:30|109.4950|109.6900|109.3600|109.4900|90586|0.0050|0.1950|0.1300|BEARISH
