Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WELL|2025-09-02 13:30|168.0900|169.2700|167.5900|169.0300|447093|0.9400|0.2400|0.5000|BULLISH
WELL|2025-09-02 14:30|169.0950|169.2475|168.3586|168.5800|247626|0.5150|0.1525|0.2214|BEARISH
WELL|2025-09-02 15:30|168.5400|168.8192|167.1600|167.3150|200997|1.2250|0.2792|0.1550|BEARISH
WELL|2025-09-02 16:30|167.3150|167.4200|166.9800|167.3050|209350|0.0100|0.1050|0.3250|BEARISH
WELL|2025-09-02 17:30|167.3600|167.5200|167.0450|167.3600|158473|0.0000|0.1600|0.3150|BULLISH
WELL|2025-09-02 18:30|167.3700|167.5850|167.0100|167.3450|261540|0.0250|0.2150|0.3350|BEARISH
WELL|2025-09-02 19:30|167.3450|167.8050|167.2850|167.7600|605448|0.4150|0.0450|0.0600|BULLISH
WELL|2025-09-03 13:30|167.4800|168.4700|167.1500|168.4100|202222|0.9300|0.0600|0.3300|BULLISH
WELL|2025-09-03 14:30|168.4100|169.4650|168.0800|169.1500|187593|0.7400|0.3150|0.3300|BULLISH
WELL|2025-09-03 15:30|169.2100|169.4700|168.3400|168.4700|149356|0.7400|0.2600|0.1300|BEARISH
WELL|2025-09-03 16:30|168.4700|168.6600|167.9600|168.0200|204971|0.4500|0.1900|0.0600|BEARISH
WELL|2025-09-03 17:30|167.9800|168.5900|167.9600|168.2404|188560|0.2604|0.3496|0.0200|BULLISH
WELL|2025-09-03 18:30|168.1900|168.2100|167.7900|167.8200|267234|0.3700|0.0200|0.0300|BEARISH
WELL|2025-09-03 19:30|167.8300|167.9400|167.1400|167.4800|481589|0.3500|0.1100|0.3400|BEARISH
WELL|2025-09-04 13:30|168.2500|168.9100|167.6850|167.8150|231971|0.4350|0.6600|0.1300|BEARISH
WELL|2025-09-04 14:30|167.7750|168.0000|166.7300|166.7500|174449|1.0250|0.2250|0.0200|BEARISH
WELL|2025-09-04 15:30|166.7800|167.0200|166.2200|166.5800|156673|0.2000|0.2400|0.3600|BEARISH
WELL|2025-09-04 16:30|166.5850|166.7300|166.1700|166.7100|143858|0.1250|0.0200|0.4150|BULLISH
WELL|2025-09-04 17:30|166.6600|167.0200|166.5050|166.7000|144895|0.0400|0.3200|0.1550|BULLISH
WELL|2025-09-04 18:30|166.7200|167.4650|166.6950|167.3950|260280|0.6750|0.0700|0.0250|BULLISH
WELL|2025-09-04 19:30|167.3900|167.7500|167.2600|167.6800|439414|0.2900|0.0700|0.1300|BULLISH
WELL|2025-09-05 13:30|168.3600|168.5932|164.3300|165.7850|381959|2.5750|0.2332|1.4550|BEARISH
WELL|2025-09-05 14:30|165.8500|166.0600|164.7400|166.0200|367498|0.1700|0.0400|1.1100|BULLISH
WELL|2025-09-05 15:30|166.0700|166.1800|165.6200|165.7500|238740|0.3200|0.1100|0.1300|BEARISH
WELL|2025-09-05 16:30|165.7300|166.4900|165.5850|166.4050|232698|0.6750|0.0850|0.1450|BULLISH
WELL|2025-09-05 17:30|166.3700|167.1600|166.2150|167.0550|235765|0.6850|0.1050|0.1550|BULLISH
WELL|2025-09-05 18:30|167.0600|167.7700|167.0350|167.6100|266864|0.5500|0.1600|0.0250|BULLISH
WELL|2025-09-05 19:30|167.6100|167.9300|167.5600|167.8100|448260|0.2000|0.1200|0.0500|BULLISH
WELL|2025-09-08 13:30|167.8100|170.9900|166.9550|169.2400|486464|1.4300|1.7500|0.8550|BULLISH
WELL|2025-09-08 14:30|169.2900|169.5179|168.9350|169.2050|278612|0.0850|0.2279|0.2700|BEARISH
WELL|2025-09-08 15:30|169.2050|169.4200|168.8100|169.1100|248501|0.0950|0.2150|0.3000|BEARISH
WELL|2025-09-08 16:30|169.1400|169.4100|168.9600|169.3300|188393|0.1900|0.0800|0.1800|BULLISH
WELL|2025-09-08 17:30|169.3300|169.4150|168.8100|168.8952|184122|0.4348|0.0850|0.0852|BEARISH
WELL|2025-09-08 18:30|168.8900|169.0800|168.4300|168.9600|300741|0.0700|0.1200|0.4600|BULLISH
WELL|2025-09-08 19:30|168.9700|169.7600|168.7400|169.3700|549304|0.4000|0.3900|0.2300|BULLISH
WELL|2025-09-09 13:30|169.3300|169.6100|168.2601|168.7250|189330|0.6050|0.2800|0.4649|BEARISH
WELL|2025-09-09 14:30|168.7250|168.8000|168.1650|168.7750|181711|0.0500|0.0250|0.5600|BULLISH
WELL|2025-09-09 15:30|168.7750|169.2500|168.7100|169.1900|161591|0.4150|0.0600|0.0650|BULLISH
WELL|2025-09-09 16:30|169.1300|169.4400|168.9600|169.1000|107145|0.0300|0.3100|0.1400|BEARISH
WELL|2025-09-09 17:30|169.1400|169.6200|169.0900|169.1150|172894|0.0250|0.4800|0.0250|BEARISH
WELL|2025-09-09 18:30|169.1150|169.5100|168.9400|168.9400|283064|0.1750|0.3950|0.0000|BEARISH
WELL|2025-09-09 19:30|168.9350|169.0200|168.6200|168.8100|545623|0.1250|0.0850|0.1900|BEARISH
WELL|2025-09-10 13:30|168.8400|170.4900|168.6750|170.1500|238675|1.3100|0.3400|0.1650|BULLISH
WELL|2025-09-10 14:30|170.1550|170.1550|169.2800|169.5250|176035|0.6300|0.0000|0.2450|BEARISH
WELL|2025-09-10 15:30|169.5250|169.9500|169.3500|169.4050|173807|0.1200|0.4250|0.0550|BEARISH
WELL|2025-09-10 16:30|169.4050|169.6350|168.7300|168.7650|132275|0.6400|0.2300|0.0350|BEARISH
WELL|2025-09-10 17:30|168.7650|168.8900|168.3000|168.3800|122939|0.3850|0.1250|0.0800|BEARISH
WELL|2025-09-10 18:30|168.3850|168.8000|168.2500|168.3600|221956|0.0250|0.4150|0.1100|BEARISH
WELL|2025-09-10 19:30|168.3500|168.5850|168.0100|168.0300|404452|0.3200|0.2350|0.0200|BEARISH
WELL|2025-09-11 13:30|168.2300|169.2200|168.2300|168.7100|176338|0.4800|0.5100|0.0000|BULLISH
WELL|2025-09-11 14:30|168.6300|169.0100|168.1900|168.1900|114846|0.4400|0.3800|0.0000|BEARISH
WELL|2025-09-11 15:30|168.2750|168.9600|168.0900|168.7800|137587|0.5050|0.1800|0.1850|BULLISH
WELL|2025-09-11 16:30|168.7000|168.7100|167.8950|167.8950|134761|0.8050|0.0100|0.0000|BEARISH
WELL|2025-09-11 17:30|167.8950|168.0900|167.5800|167.9250|212610|0.0300|0.1650|0.3150|BULLISH
WELL|2025-09-11 18:30|167.9500|168.3600|167.5300|168.3450|184961|0.3950|0.0150|0.4200|BULLISH
WELL|2025-09-11 19:30|168.3200|168.4700|168.0800|168.4400|347771|0.1200|0.0300|0.2400|BULLISH
WELL|2025-09-12 13:30|168.4300|168.9100|168.0700|168.7900|223426|0.3600|0.1200|0.3600|BULLISH
WELL|2025-09-12 14:30|168.8300|168.9700|168.5000|168.8200|197033|0.0100|0.1400|0.3200|BEARISH
WELL|2025-09-12 15:30|168.8300|168.8400|168.4800|168.7750|163520|0.0550|0.0100|0.2950|BEARISH
WELL|2025-09-12 16:30|168.7650|169.3000|168.5000|169.2100|131114|0.4450|0.0900|0.2650|BULLISH
WELL|2025-09-12 17:30|169.2300|169.6400|169.1450|169.4300|174690|0.2000|0.2100|0.0850|BULLISH
WELL|2025-09-12 18:30|169.4450|169.6650|169.0650|169.3400|237474|0.1050|0.2200|0.2750|BEARISH
WELL|2025-09-12 19:30|169.3400|169.3400|168.9350|169.1200|454689|0.2200|0.0000|0.1850|BEARISH
WELL|2025-09-15 13:30|169.3000|170.4100|169.2600|169.3750|285936|0.0750|1.0350|0.0400|BULLISH
WELL|2025-09-15 14:30|169.4700|170.1650|169.3650|169.9150|188723|0.4450|0.2500|0.1050|BULLISH
WELL|2025-09-15 15:30|169.9225|170.0350|169.5000|169.5350|141864|0.3875|0.1125|0.0350|BEARISH
WELL|2025-09-15 16:30|169.5200|169.5750|168.6200|168.7800|140838|0.7400|0.0550|0.1600|BEARISH
WELL|2025-09-15 17:30|168.7600|169.3800|168.6400|169.1350|152690|0.3750|0.2450|0.1200|BULLISH
WELL|2025-09-15 18:30|169.1300|169.1400|168.6600|169.0250|269047|0.1050|0.0100|0.3650|BEARISH
WELL|2025-09-15 19:30|169.0000|169.1100|168.5750|168.9000|470909|0.1000|0.1100|0.3250|BEARISH
WELL|2025-09-16 13:30|169.0100|169.1500|167.7500|168.4150|265241|0.5950|0.1400|0.6650|BEARISH
WELL|2025-09-16 14:30|168.4150|168.7150|168.0800|168.2550|213856|0.1600|0.3000|0.1750|BEARISH
WELL|2025-09-16 15:30|168.2150|168.2150|167.3400|167.4200|142309|0.7950|0.0000|0.0800|BEARISH
WELL|2025-09-16 16:30|167.4200|167.5599|166.8500|166.9700|137479|0.4500|0.1399|0.1200|BEARISH
WELL|2025-09-16 17:30|166.9700|167.0900|166.0600|166.1750|203751|0.7950|0.1200|0.1150|BEARISH
WELL|2025-09-16 18:30|166.1750|166.5300|165.8400|165.8600|283482|0.3150|0.3550|0.0200|BEARISH
WELL|2025-09-16 19:30|165.8800|165.9100|164.9300|165.2000|764484|0.6800|0.0300|0.2700|BEARISH
WELL|2025-09-17 13:30|165.4500|166.2800|164.3300|166.1100|388637|0.6600|0.1700|1.1200|BULLISH
WELL|2025-09-17 14:30|166.1000|167.0000|165.8600|166.3850|275831|0.2850|0.6150|0.2400|BULLISH
WELL|2025-09-17 15:30|166.4200|166.6492|166.1800|166.2300|172273|0.1900|0.2292|0.0500|BEARISH
WELL|2025-09-17 16:30|166.2500|166.3000|165.5800|165.9200|159413|0.3300|0.0500|0.3400|BEARISH
WELL|2025-09-17 17:30|165.9800|166.6850|165.6500|166.6450|366250|0.6650|0.0400|0.3300|BULLISH
WELL|2025-09-17 18:30|166.7100|166.7700|165.9500|166.7200|1040605|0.0100|0.0500|0.7600|BULLISH
WELL|2025-09-17 19:30|166.7200|166.7200|165.8100|165.9300|571436|0.7900|0.0000|0.1200|BEARISH
WELL|2025-09-18 13:30|166.2000|167.5200|166.1000|166.6450|599787|0.4450|0.8750|0.1000|BULLISH
WELL|2025-09-18 14:30|166.6450|166.8450|166.3950|166.6850|225332|0.0400|0.1600|0.2500|BULLISH
WELL|2025-09-18 15:30|166.7600|167.2300|166.7500|167.1500|139599|0.3900|0.0800|0.0100|BULLISH
WELL|2025-09-18 16:30|167.1550|167.7216|167.1500|167.2650|136389|0.1100|0.4566|0.0050|BULLISH
