Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WMB|2025-09-02 13:30|57.5100|57.9400|56.9200|57.6100|763061|0.1000|0.3300|0.5900|BULLISH
WMB|2025-09-02 14:30|57.6100|57.7750|57.5500|57.7450|288511|0.1350|0.0300|0.0600|BULLISH
WMB|2025-09-02 15:30|57.7384|57.9000|56.8600|57.1200|847638|0.6184|0.1616|0.2600|BEARISH
WMB|2025-09-02 16:30|57.1200|57.1700|56.9900|57.0900|409823|0.0300|0.0500|0.1000|BEARISH
WMB|2025-09-02 17:30|57.0900|57.1800|56.7850|56.8650|341069|0.2250|0.0900|0.0800|BEARISH
WMB|2025-09-02 18:30|56.8650|57.1050|56.7950|57.1050|342241|0.2400|0.0000|0.0700|BULLISH
WMB|2025-09-02 19:30|57.1100|57.3800|57.1100|57.3600|1016103|0.2500|0.0200|0.0000|BULLISH
WMB|2025-09-03 13:30|57.3600|57.6200|56.9500|57.4400|681177|0.0800|0.1800|0.4100|BULLISH
WMB|2025-09-03 14:30|57.4350|57.6300|57.3300|57.5400|674700|0.1050|0.0900|0.1050|BULLISH
WMB|2025-09-03 15:30|57.5500|57.9900|57.5470|57.8300|589925|0.2800|0.1600|0.0030|BULLISH
WMB|2025-09-03 16:30|57.8200|57.8300|57.3500|57.3800|440810|0.4400|0.0100|0.0300|BEARISH
WMB|2025-09-03 17:30|57.3800|57.6900|57.3500|57.6450|365987|0.2650|0.0450|0.0300|BULLISH
WMB|2025-09-03 18:30|57.6500|57.6600|57.4200|57.5599|386639|0.0901|0.0100|0.1399|BEARISH
WMB|2025-09-03 19:30|57.5600|57.7400|57.4400|57.7300|869474|0.1700|0.0100|0.1200|BULLISH
WMB|2025-09-04 13:30|58.0000|58.5900|57.7350|57.8275|527732|0.1725|0.5900|0.0925|BEARISH
WMB|2025-09-04 14:30|57.8400|58.0387|57.6150|57.6500|428853|0.1900|0.1987|0.0350|BEARISH
WMB|2025-09-04 15:30|57.6600|57.8100|57.5200|57.6400|689166|0.0200|0.1500|0.1200|BEARISH
WMB|2025-09-04 16:30|57.6350|57.6900|57.1700|57.3800|765369|0.2550|0.0550|0.2100|BEARISH
WMB|2025-09-04 17:30|57.3700|57.4300|57.1750|57.2300|409820|0.1400|0.0600|0.0550|BEARISH
WMB|2025-09-04 18:30|57.2400|57.4200|57.2150|57.4100|440811|0.1700|0.0100|0.0250|BULLISH
WMB|2025-09-04 19:30|57.4000|57.5700|57.3650|57.5700|757221|0.1700|0.0000|0.0350|BULLISH
WMB|2025-09-05 13:30|57.5050|57.7700|56.6000|56.8800|2472651|0.6250|0.2650|0.2800|BEARISH
WMB|2025-09-05 14:30|56.8900|56.9800|56.0850|56.3200|1144230|0.5700|0.0900|0.2350|BEARISH
WMB|2025-09-05 15:30|56.3200|56.7300|56.2700|56.6400|515670|0.3200|0.0900|0.0500|BULLISH
WMB|2025-09-05 16:30|56.6300|56.7900|56.4800|56.7000|523304|0.0700|0.0900|0.1500|BULLISH
WMB|2025-09-05 17:30|56.6800|57.0100|56.6750|56.9500|482569|0.2700|0.0600|0.0050|BULLISH
WMB|2025-09-05 18:30|56.9500|57.1100|56.8800|57.0900|440085|0.1400|0.0200|0.0700|BULLISH
WMB|2025-09-05 19:30|57.0900|57.2300|56.9700|57.2000|775501|0.1100|0.0300|0.1200|BULLISH
WMB|2025-09-08 13:30|57.3000|57.6800|56.6300|56.7200|749355|0.5800|0.3800|0.0900|BEARISH
WMB|2025-09-08 14:30|56.7100|56.8950|56.5800|56.6900|352966|0.0200|0.1850|0.1100|BEARISH
WMB|2025-09-08 15:30|56.6800|56.9200|56.4600|56.9100|323044|0.2300|0.0100|0.2200|BULLISH
WMB|2025-09-08 16:30|56.9100|56.9300|56.6700|56.7050|309222|0.2050|0.0200|0.0350|BEARISH
WMB|2025-09-08 17:30|56.7050|56.9000|56.6450|56.7700|182716|0.0650|0.1300|0.0600|BULLISH
WMB|2025-09-08 18:30|56.7750|56.9400|56.7250|56.7972|316750|0.0222|0.1428|0.0500|BULLISH
WMB|2025-09-08 19:30|56.8000|56.9850|56.6400|56.8600|659681|0.0600|0.1250|0.1600|BULLISH
WMB|2025-09-09 13:30|57.2200|57.7200|57.0889|57.6300|621790|0.4100|0.0900|0.1311|BULLISH
WMB|2025-09-09 14:30|57.6300|57.6600|57.4000|57.6000|372900|0.0300|0.0300|0.2000|BEARISH
WMB|2025-09-09 15:30|57.6200|57.7800|57.5750|57.7600|341314|0.1400|0.0200|0.0450|BULLISH
WMB|2025-09-09 16:30|57.7600|57.9450|57.7600|57.8800|311693|0.1200|0.0650|0.0000|BULLISH
WMB|2025-09-09 17:30|57.9000|57.9700|57.7600|57.9100|386583|0.0100|0.0600|0.1400|BULLISH
