Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WM|2025-09-02 13:30|226.4150|226.8500|225.3100|225.6300|264263|0.7850|0.4350|0.3200|BEARISH
WM|2025-09-02 14:30|225.6200|225.9945|225.1000|225.1200|195167|0.5000|0.3745|0.0200|BEARISH
WM|2025-09-02 15:30|225.0900|225.2230|224.2350|224.2400|296282|0.8500|0.1330|0.0050|BEARISH
WM|2025-09-02 16:30|224.2050|224.8900|223.7327|224.7300|85608|0.5250|0.1600|0.4723|BULLISH
WM|2025-09-02 17:30|224.7700|225.0600|224.4600|225.0600|137489|0.2900|0.0000|0.3100|BULLISH
WM|2025-09-02 18:30|225.0800|225.5286|224.8501|225.1150|192879|0.0350|0.4136|0.2299|BULLISH
WM|2025-09-02 19:30|225.1500|225.8000|225.1029|225.7900|333302|0.6400|0.0100|0.0471|BULLISH
WM|2025-09-03 13:30|224.9900|226.2700|223.6000|224.0000|307309|0.9900|1.2800|0.4000|BEARISH
WM|2025-09-03 14:30|224.1000|224.5600|223.7200|224.0600|136414|0.0400|0.4600|0.3400|BEARISH
WM|2025-09-03 15:30|224.0600|224.2100|223.7200|223.8600|96398|0.2000|0.1500|0.1400|BEARISH
WM|2025-09-03 16:30|223.8250|223.9100|223.1100|223.1950|155567|0.6300|0.0850|0.0850|BEARISH
WM|2025-09-03 17:30|223.2000|223.8500|222.9350|223.7100|141464|0.5100|0.1400|0.2650|BULLISH
WM|2025-09-03 18:30|223.6950|223.9400|223.3800|223.7050|183816|0.0100|0.2350|0.3150|BULLISH
WM|2025-09-03 19:30|223.7300|224.4500|223.5700|224.3600|305287|0.6300|0.0900|0.1600|BULLISH
WM|2025-09-04 13:30|224.5800|226.2400|224.3700|226.0000|153110|1.4200|0.2400|0.2100|BULLISH
WM|2025-09-04 14:30|226.0300|226.1705|225.5866|225.8600|88896|0.1700|0.1405|0.2734|BEARISH
WM|2025-09-04 15:30|225.8150|225.8800|224.9550|224.9550|228885|0.8600|0.0650|0.0000|BEARISH
WM|2025-09-04 16:30|225.0539|225.1100|224.6400|224.9700|70230|0.0839|0.0561|0.3300|BEARISH
WM|2025-09-04 17:30|224.9500|225.0500|224.2200|224.2500|82431|0.7000|0.1000|0.0300|BEARISH
WM|2025-09-04 18:30|224.2950|224.8900|224.2250|224.6250|203944|0.3300|0.2650|0.0700|BULLISH
WM|2025-09-04 19:30|224.6200|225.0200|224.1069|224.8900|394328|0.2700|0.1300|0.5131|BULLISH
WM|2025-09-05 13:30|224.5400|224.8500|222.5500|222.5500|485500|1.9900|0.3100|0.0000|BEARISH
WM|2025-09-05 14:30|222.6400|222.7190|220.1700|220.5400|275133|2.1000|0.0790|0.3700|BEARISH
WM|2025-09-05 15:30|220.6600|220.8600|218.7110|218.7600|183997|1.9000|0.2000|0.0490|BEARISH
WM|2025-09-05 16:30|218.7300|219.8450|218.6600|219.6300|174250|0.9000|0.2150|0.0700|BULLISH
WM|2025-09-05 17:30|219.6400|220.0000|218.6600|219.5518|177627|0.0882|0.3600|0.8918|BEARISH
WM|2025-09-05 18:30|219.5600|220.6300|219.5400|220.4650|132662|0.9050|0.1650|0.0200|BULLISH
WM|2025-09-05 19:30|220.5000|220.5000|219.8300|220.1000|239571|0.4000|0.0000|0.2700|BEARISH
WM|2025-09-08 13:30|220.0100|220.6050|217.9100|218.0600|255077|1.9500|0.5950|0.1500|BEARISH
WM|2025-09-08 14:30|218.2300|219.2800|217.9100|219.1700|169444|0.9400|0.1100|0.3200|BULLISH
WM|2025-09-08 15:30|219.1600|219.1600|218.5800|218.7700|115199|0.3900|0.0000|0.1900|BEARISH
