Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WRB|2025-09-02 13:30|71.7700|71.9600|71.2200|71.8700|128987|0.1000|0.0900|0.5500|BULLISH
WRB|2025-09-02 14:30|71.8900|72.2200|71.8700|71.9200|117007|0.0300|0.3000|0.0200|BULLISH
WRB|2025-09-02 15:30|71.9300|72.0150|71.8100|71.8200|100691|0.1100|0.0850|0.0100|BEARISH
WRB|2025-09-02 16:30|71.8300|71.8400|71.6700|71.7900|114658|0.0400|0.0100|0.1200|BEARISH
WRB|2025-09-02 17:30|71.7900|71.8150|71.6450|71.7700|131508|0.0200|0.0250|0.1250|BEARISH
WRB|2025-09-02 18:30|71.7800|71.9500|71.6400|71.8690|168415|0.0890|0.0810|0.1400|BULLISH
WRB|2025-09-02 19:30|71.8650|72.0200|71.8300|71.9800|362156|0.1150|0.0400|0.0350|BULLISH
WRB|2025-09-03 13:30|71.6500|72.0540|71.4000|71.9000|115396|0.2500|0.1540|0.2500|BULLISH
WRB|2025-09-03 14:30|71.9300|72.1550|71.7800|72.1300|90427|0.2000|0.0250|0.1500|BULLISH
WRB|2025-09-03 15:30|72.1275|72.1624|71.9000|71.9250|77713|0.2025|0.0349|0.0250|BEARISH
WRB|2025-09-03 16:30|71.9100|72.0100|71.8600|71.9900|68978|0.0800|0.0200|0.0500|BULLISH
WRB|2025-09-03 17:30|71.9974|72.2800|71.9700|72.1800|123702|0.1826|0.1000|0.0274|BULLISH
WRB|2025-09-03 18:30|72.1750|72.2600|71.9200|71.9500|149515|0.2250|0.0850|0.0300|BEARISH
WRB|2025-09-03 19:30|71.9400|72.3800|71.9400|72.2850|368187|0.3450|0.0950|0.0000|BULLISH
WRB|2025-09-04 13:30|72.8100|73.3300|72.5550|72.9650|129860|0.1550|0.3650|0.2550|BULLISH
WRB|2025-09-04 14:30|72.9400|73.1400|72.8350|73.1100|99129|0.1700|0.0300|0.1050|BULLISH
WRB|2025-09-04 15:30|73.1394|73.3500|72.9700|73.0000|147351|0.1394|0.2106|0.0300|BEARISH
WRB|2025-09-04 16:30|73.0100|73.0300|72.6068|72.6800|154637|0.3300|0.0200|0.0732|BEARISH
WRB|2025-09-04 17:30|72.6700|72.8100|72.5200|72.6700|134774|0.0000|0.1400|0.1500|BULLISH
WRB|2025-09-04 18:30|72.6900|72.7500|72.5400|72.6050|226496|0.0850|0.0600|0.0650|BEARISH
WRB|2025-09-04 19:30|72.6200|72.9900|72.6000|72.9300|400012|0.3100|0.0600|0.0200|BULLISH
WRB|2025-09-05 13:30|72.8300|73.0100|72.4576|72.5500|126033|0.2800|0.1800|0.0924|BEARISH
WRB|2025-09-05 14:30|72.4700|72.4700|72.1000|72.3475|115743|0.1225|0.0000|0.2475|BEARISH
WRB|2025-09-05 15:30|72.3100|72.3400|71.9800|72.0600|96677|0.2500|0.0300|0.0800|BEARISH
WRB|2025-09-05 16:30|72.0500|72.2100|72.0300|72.1050|60151|0.0550|0.1050|0.0200|BULLISH
WRB|2025-09-05 17:30|72.1074|72.1400|71.6500|71.7800|92833|0.3274|0.0326|0.1300|BEARISH
WRB|2025-09-05 18:30|71.8100|72.0400|71.8100|71.9700|135059|0.1600|0.0700|0.0000|BULLISH
WRB|2025-09-05 19:30|71.9900|72.1100|71.8850|71.9800|333169|0.0100|0.1200|0.0950|BEARISH
WRB|2025-09-08 13:30|71.8500|71.9000|71.0900|71.5900|129128|0.2600|0.0500|0.5000|BEARISH
WRB|2025-09-08 14:30|71.5900|72.2150|71.5900|72.1800|100852|0.5900|0.0350|0.0000|BULLISH
WRB|2025-09-08 15:30|72.1800|72.2000|71.9400|72.0850|83302|0.0950|0.0200|0.1450|BEARISH
WRB|2025-09-08 16:30|72.0900|72.2450|72.0900|72.1600|77535|0.0700|0.0850|0.0000|BULLISH
WRB|2025-09-08 17:30|72.1600|72.2100|71.9400|72.0550|110024|0.1050|0.0500|0.1150|BEARISH
WRB|2025-09-08 18:30|72.0600|72.2100|71.9800|72.1000|145480|0.0400|0.1100|0.0800|BULLISH
WRB|2025-09-08 19:30|72.1050|72.5850|72.0900|72.4300|344215|0.3250|0.1550|0.0150|BULLISH
WRB|2025-09-09 13:30|72.2300|72.7102|72.0250|72.3250|135913|0.0950|0.3852|0.2050|BULLISH
WRB|2025-09-09 14:30|72.3400|72.5200|72.1901|72.5000|101374|0.1600|0.0200|0.1499|BULLISH
WRB|2025-09-09 15:30|72.5000|72.5867|72.2550|72.3100|110253|0.1900|0.0867|0.0550|BEARISH
WRB|2025-09-09 16:30|72.2900|72.4000|72.1700|72.3000|111153|0.0100|0.1000|0.1200|BULLISH
WRB|2025-09-09 17:30|72.2900|72.5950|72.2900|72.5950|125992|0.3050|0.0000|0.0000|BULLISH
WRB|2025-09-09 18:30|72.5900|72.6050|72.4100|72.4500|178482|0.1400|0.0150|0.0400|BEARISH
WRB|2025-09-09 19:30|72.4400|72.4600|72.2200|72.2900|365077|0.1500|0.0200|0.0700|BEARISH
WRB|2025-09-10 13:30|71.9700|72.2500|71.6900|72.0500|132297|0.0800|0.2000|0.2800|BULLISH
WRB|2025-09-10 14:30|72.0300|72.0300|71.5450|71.6400|74304|0.3900|0.0000|0.0950|BEARISH
WRB|2025-09-10 15:30|71.6700|71.9800|71.6300|71.8092|88607|0.1393|0.1708|0.0400|BULLISH
WRB|2025-09-10 16:30|71.8400|71.9151|71.7300|71.8400|84391|0.0000|0.0751|0.1100|BULLISH
WRB|2025-09-10 17:30|71.8400|72.0400|71.7710|72.0192|83156|0.1792|0.0208|0.0690|BULLISH
WRB|2025-09-10 18:30|72.0100|72.1500|71.9400|72.0082|148132|0.0018|0.1400|0.0682|BEARISH
WRB|2025-09-10 19:30|72.0100|72.2600|71.9150|72.1500|364542|0.1400|0.1100|0.0950|BULLISH
WRB|2025-09-11 13:30|72.2100|72.9360|71.9850|72.9150|130781|0.7050|0.0210|0.2250|BULLISH
WRB|2025-09-11 14:30|72.9200|73.0650|72.7800|73.0650|163298|0.1450|0.0000|0.1400|BULLISH
WRB|2025-09-11 15:30|73.0700|73.2700|72.9600|73.1850|133410|0.1150|0.0850|0.1100|BULLISH
WRB|2025-09-11 16:30|73.1900|73.3700|73.1501|73.2304|84511|0.0404|0.1396|0.0399|BULLISH
WRB|2025-09-11 17:30|73.2400|73.2600|73.1100|73.1250|176718|0.1150|0.0200|0.0150|BEARISH
WRB|2025-09-11 18:30|73.1300|73.3100|73.0800|73.2600|173688|0.1300|0.0500|0.0500|BULLISH
WRB|2025-09-11 19:30|73.2700|73.8800|73.2700|73.8000|385478|0.5300|0.0800|0.0000|BULLISH
WRB|2025-09-12 13:30|73.5700|74.1100|73.2300|73.8100|192535|0.2400|0.3000|0.3400|BULLISH
WRB|2025-09-12 14:30|73.8500|74.2400|73.8000|74.0700|129699|0.2200|0.1700|0.0500|BULLISH
WRB|2025-09-12 15:30|74.0800|74.0800|73.7900|73.8700|175561|0.2100|0.0000|0.0800|BEARISH
WRB|2025-09-12 16:30|73.8650|73.9600|73.7650|73.7700|115790|0.0950|0.0950|0.0050|BEARISH
WRB|2025-09-12 17:30|73.7600|74.1200|73.7600|74.1150|91597|0.3550|0.0050|0.0000|BULLISH
WRB|2025-09-12 18:30|74.1300|74.1650|73.9900|74.0200|156248|0.1100|0.0350|0.0300|BEARISH
WRB|2025-09-12 19:30|74.0300|74.0750|73.7800|73.8200|296532|0.2100|0.0450|0.0400|BEARISH
