Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WST|2025-09-02 13:30|246.7900|248.1900|242.8000|243.1200|75192|3.6700|1.4000|0.3200|BEARISH
WST|2025-09-02 14:30|242.9700|243.9300|242.1200|242.4700|43698|0.5000|0.9600|0.3500|BEARISH
WST|2025-09-02 15:30|242.4800|243.1300|241.7750|241.9600|39014|0.5200|0.6500|0.1850|BEARISH
WST|2025-09-02 16:30|242.1100|242.6000|241.6350|242.1000|26301|0.0100|0.4900|0.4650|BEARISH
WST|2025-09-02 17:30|242.3950|244.2700|242.3950|243.3800|30228|0.9850|0.8900|0.0000|BULLISH
WST|2025-09-02 18:30|243.1950|243.7700|242.8150|243.7700|32021|0.5750|0.0000|0.3800|BULLISH
WST|2025-09-02 19:30|243.8400|243.8900|243.0550|243.6800|83849|0.1600|0.0500|0.6250|BEARISH
WST|2025-09-03 13:30|242.8500|244.9900|242.8500|244.0800|50202|1.2300|0.9100|0.0000|BULLISH
WST|2025-09-03 14:30|244.1200|244.4300|243.2200|243.4950|47756|0.6250|0.3100|0.2750|BEARISH
WST|2025-09-03 15:30|243.4200|243.9300|242.7300|243.9200|31313|0.5000|0.0100|0.6900|BULLISH
WST|2025-09-03 16:30|244.0400|244.3550|243.4650|243.6218|33819|0.4182|0.3150|0.1568|BEARISH
WST|2025-09-03 17:30|243.5100|244.3900|242.8200|244.3900|30081|0.8800|0.0000|0.6900|BULLISH
WST|2025-09-03 18:30|244.4100|248.3500|244.4100|247.4100|166977|3.0000|0.9400|0.0000|BULLISH
WST|2025-09-03 19:30|247.2400|248.9700|247.0300|248.9500|205353|1.7100|0.0200|0.2100|BULLISH
WST|2025-09-04 13:30|247.8800|248.9400|243.6200|248.5200|59814|0.6400|0.4200|4.2600|BULLISH
WST|2025-09-04 14:30|248.2456|249.7800|248.2456|248.9900|75826|0.7444|0.7900|0.0000|BULLISH
WST|2025-09-04 15:30|248.6800|249.1300|247.2700|248.9900|59598|0.3100|0.1400|1.4100|BULLISH
WST|2025-09-04 16:30|248.9650|249.0500|248.4900|248.5600|36196|0.4050|0.0850|0.0700|BEARISH
WST|2025-09-04 17:30|248.5100|249.0500|247.1710|247.5950|49096|0.9150|0.5400|0.4240|BEARISH
WST|2025-09-04 18:30|247.7800|248.9700|247.4650|248.0300|66187|0.2500|0.9400|0.3150|BULLISH
WST|2025-09-04 19:30|247.9100|248.3400|247.4100|247.5750|128635|0.3350|0.4300|0.1650|BEARISH
WST|2025-09-05 13:30|247.1100|251.0000|247.1100|250.6800|54176|3.5700|0.3200|0.0000|BULLISH
WST|2025-09-05 14:30|250.6250|251.0400|249.4600|250.2250|80171|0.4000|0.4150|0.7650|BEARISH
WST|2025-09-05 15:30|250.4950|251.6500|250.2300|250.9700|28973|0.4750|0.6800|0.2650|BULLISH
WST|2025-09-05 16:30|251.0400|251.0900|250.3000|250.8900|24609|0.1500|0.0500|0.5900|BEARISH
WST|2025-09-05 17:30|251.1500|251.3900|250.6800|250.9700|20334|0.1800|0.2400|0.2900|BEARISH
