Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WY|2025-09-02 13:30|25.5200|25.5800|25.1800|25.1800|990086|0.3400|0.0600|0.0000|BEARISH
WY|2025-09-02 14:30|25.1850|25.1900|24.9150|24.9600|1019745|0.2250|0.0050|0.0450|BEARISH
WY|2025-09-02 15:30|24.9650|24.9800|24.8600|24.8700|380920|0.0950|0.0150|0.0100|BEARISH
WY|2025-09-02 16:30|24.8800|24.9000|24.7950|24.8550|633267|0.0250|0.0200|0.0600|BEARISH
WY|2025-09-02 17:30|24.8550|24.9300|24.8150|24.9000|576007|0.0450|0.0300|0.0400|BULLISH
WY|2025-09-02 18:30|24.9058|25.0050|24.9000|24.9450|503712|0.0392|0.0600|0.0058|BULLISH
WY|2025-09-02 19:30|24.9450|24.9450|24.8400|24.8900|760959|0.0550|0.0000|0.0500|BEARISH
WY|2025-09-03 13:30|24.7900|25.0300|24.7300|24.7800|371322|0.0100|0.2400|0.0500|BEARISH
WY|2025-09-03 14:30|24.7750|24.9100|24.7700|24.8050|225424|0.0300|0.1050|0.0050|BULLISH
WY|2025-09-03 15:30|24.8100|24.8200|24.7000|24.7400|258916|0.0700|0.0100|0.0400|BEARISH
WY|2025-09-03 16:30|24.7400|24.8800|24.7400|24.8550|251089|0.1150|0.0250|0.0000|BULLISH
WY|2025-09-03 17:30|24.8500|24.8850|24.7500|24.8700|239621|0.0200|0.0150|0.1000|BULLISH
WY|2025-09-03 18:30|24.8600|24.8700|24.7600|24.7650|283990|0.0950|0.0100|0.0050|BEARISH
WY|2025-09-03 19:30|24.7650|24.8400|24.7650|24.8000|551883|0.0350|0.0400|0.0000|BULLISH
WY|2025-09-04 13:30|24.9900|25.2550|24.7400|25.1650|699004|0.1750|0.0900|0.2500|BULLISH
WY|2025-09-04 14:30|25.1650|25.2500|25.1150|25.2350|230707|0.0700|0.0150|0.0500|BULLISH
WY|2025-09-04 15:30|25.2350|25.3150|25.2242|25.2500|450557|0.0150|0.0650|0.0108|BULLISH
WY|2025-09-04 16:30|25.2550|25.3600|25.1850|25.3419|210059|0.0869|0.0181|0.0700|BULLISH
WY|2025-09-04 17:30|25.3450|25.4200|25.3050|25.4050|429853|0.0600|0.0150|0.0400|BULLISH
WY|2025-09-04 18:30|25.4100|25.5600|25.4000|25.5450|466326|0.1350|0.0150|0.0100|BULLISH
WY|2025-09-04 19:30|25.5500|25.5700|25.5100|25.5500|682110|0.0000|0.0200|0.0400|BULLISH
WY|2025-09-05 13:30|25.7600|26.3500|25.6900|25.9950|938444|0.2350|0.3550|0.0700|BULLISH
WY|2025-09-05 14:30|25.9900|26.0850|25.8350|26.0400|291017|0.0500|0.0450|0.1550|BULLISH
WY|2025-09-05 15:30|26.0500|26.1000|25.9900|26.0150|155148|0.0350|0.0500|0.0250|BEARISH
WY|2025-09-05 16:30|26.0100|26.1200|25.9900|26.0900|135385|0.0800|0.0300|0.0200|BULLISH
WY|2025-09-05 17:30|26.0950|26.1250|26.0550|26.0750|247605|0.0200|0.0300|0.0200|BEARISH
WY|2025-09-05 18:30|26.0750|26.1700|26.0750|26.0950|465740|0.0200|0.0750|0.0000|BULLISH
WY|2025-09-05 19:30|26.1000|26.1650|26.0800|26.1400|519895|0.0400|0.0250|0.0200|BULLISH
WY|2025-09-08 13:30|26.0200|26.0200|25.4550|25.5400|734519|0.4800|0.0000|0.0850|BEARISH
WY|2025-09-08 14:30|25.5350|25.7050|25.4650|25.6999|1450253|0.1649|0.0051|0.0700|BULLISH
WY|2025-09-08 15:30|25.6990|25.7100|25.6000|25.6900|181171|0.0090|0.0110|0.0900|BEARISH
WY|2025-09-08 16:30|25.6900|25.7500|25.6440|25.6450|209200|0.0450|0.0600|0.0010|BEARISH
WY|2025-09-08 17:30|25.6450|25.7264|25.5800|25.7250|242262|0.0800|0.0014|0.0650|BULLISH
WY|2025-09-08 18:30|25.7263|25.8350|25.7250|25.7750|407174|0.0487|0.0600|0.0013|BULLISH
WY|2025-09-08 19:30|25.7750|25.9700|25.7650|25.9600|988836|0.1850|0.0100|0.0100|BULLISH
WY|2025-09-09 13:30|25.8150|25.8800|25.6250|25.7250|390251|0.0900|0.0650|0.1000|BEARISH
WY|2025-09-09 14:30|25.7300|25.7300|25.4100|25.4981|289532|0.2319|0.0000|0.0881|BEARISH
WY|2025-09-09 15:30|25.4950|25.5300|25.2000|25.2550|287579|0.2400|0.0350|0.0550|BEARISH
WY|2025-09-09 16:30|25.2550|25.2889|25.2150|25.2800|288190|0.0250|0.0089|0.0400|BULLISH
WY|2025-09-09 17:30|25.2701|25.3400|25.2650|25.3250|143887|0.0549|0.0150|0.0051|BULLISH
WY|2025-09-09 18:30|25.3250|25.3450|25.2100|25.2250|337818|0.1000|0.0200|0.0150|BEARISH
WY|2025-09-09 19:30|25.2250|25.2800|25.1550|25.2650|539110|0.0400|0.0150|0.0700|BULLISH
WY|2025-09-10 13:30|25.1200|25.3000|25.1200|25.1950|306893|0.0750|0.1050|0.0000|BULLISH
WY|2025-09-10 14:30|25.1950|25.2250|25.1250|25.2146|356541|0.0196|0.0104|0.0700|BULLISH
WY|2025-09-10 15:30|25.2150|25.3550|25.2150|25.2150|347336|0.0000|0.1400|0.0000|BULLISH
WY|2025-09-10 16:30|25.2199|25.2550|25.1550|25.1650|210369|0.0549|0.0351|0.0100|BEARISH
WY|2025-09-10 17:30|25.1700|25.1850|25.0550|25.0850|343118|0.0850|0.0150|0.0300|BEARISH
WY|2025-09-10 18:30|25.0850|25.1550|25.0700|25.0750|293300|0.0100|0.0700|0.0050|BEARISH
WY|2025-09-10 19:30|25.0850|25.1800|25.0600|25.0950|936063|0.0100|0.0850|0.0250|BULLISH
WY|2025-09-11 13:30|25.1400|25.8200|25.1400|25.8044|578114|0.6644|0.0156|0.0000|BULLISH
WY|2025-09-11 14:30|25.8100|26.1000|25.7750|26.0700|455076|0.2600|0.0300|0.0350|BULLISH
WY|2025-09-11 15:30|26.0750|26.1000|25.9400|25.9700|513676|0.1050|0.0250|0.0300|BEARISH
WY|2025-09-11 16:30|25.9750|25.9850|25.8050|25.8500|466107|0.1250|0.0100|0.0450|BEARISH
WY|2025-09-11 17:30|25.8435|25.9276|25.8400|25.9150|243473|0.0715|0.0126|0.0035|BULLISH
WY|2025-09-11 18:30|25.9100|25.9650|25.8650|25.9000|309234|0.0100|0.0550|0.0350|BEARISH
WY|2025-09-11 19:30|25.9000|25.9050|25.8000|25.8300|1021569|0.0700|0.0050|0.0300|BEARISH
WY|2025-09-12 13:30|25.6600|25.7999|25.3000|25.3111|483642|0.3489|0.1399|0.0111|BEARISH
WY|2025-09-12 14:30|25.3150|25.3300|25.1700|25.1750|325925|0.1400|0.0150|0.0050|BEARISH
WY|2025-09-12 15:30|25.1750|25.2100|25.1235|25.2001|286439|0.0251|0.0099|0.0515|BULLISH
WY|2025-09-12 16:30|25.2000|25.2188|25.1301|25.1750|209297|0.0250|0.0188|0.0449|BEARISH
WY|2025-09-12 17:30|25.1800|25.2200|25.0800|25.1150|279289|0.0650|0.0400|0.0350|BEARISH
WY|2025-09-12 18:30|25.1150|25.2450|25.0500|25.0550|677251|0.0600|0.1300|0.0050|BEARISH
WY|2025-09-12 19:30|25.0550|25.0600|24.9000|24.9100|635807|0.1450|0.0050|0.0100|BEARISH
WY|2025-09-15 13:30|25.0000|25.1300|24.8097|24.9750|520693|0.0250|0.1300|0.1653|BEARISH
WY|2025-09-15 14:30|24.9750|25.0500|24.8200|24.8299|432156|0.1451|0.0750|0.0099|BEARISH
WY|2025-09-15 15:30|24.8250|24.8965|24.7535|24.8800|430964|0.0550|0.0165|0.0715|BULLISH
WY|2025-09-15 16:30|24.8800|24.8900|24.7550|24.7950|368141|0.0850|0.0100|0.0400|BEARISH
WY|2025-09-15 17:30|24.7945|24.8700|24.7737|24.8515|274785|0.0570|0.0185|0.0208|BULLISH
WY|2025-09-15 18:30|24.8600|24.8850|24.7511|24.8550|355539|0.0050|0.0250|0.1039|BEARISH
WY|2025-09-15 19:30|24.8550|24.9100|24.8050|24.8500|667432|0.0050|0.0550|0.0450|BEARISH
WY|2025-09-16 13:30|24.8000|25.0550|24.7900|24.9050|445040|0.1050|0.1500|0.0100|BULLISH
WY|2025-09-16 14:30|24.9050|25.1151|24.8550|25.0300|609129|0.1250|0.0851|0.0500|BULLISH
WY|2025-09-16 15:30|25.0350|25.1550|25.0100|25.0599|385222|0.0249|0.0951|0.0250|BULLISH
WY|2025-09-16 16:30|25.0600|25.0750|24.9500|25.0536|363442|0.0064|0.0150|0.1036|BEARISH
WY|2025-09-16 17:30|25.0500|25.1100|25.0200|25.0300|217788|0.0200|0.0600|0.0100|BEARISH
WY|2025-09-16 18:30|25.0400|25.1250|24.9450|24.9850|597150|0.0550|0.0850|0.0400|BEARISH
