Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
YUM|2025-09-02 13:30|145.2700|146.1800|144.6100|145.1250|194053|0.1450|0.9100|0.5150|BEARISH
YUM|2025-09-02 14:30|145.0400|145.1450|144.3300|144.4600|122307|0.5800|0.1050|0.1300|BEARISH
YUM|2025-09-02 15:30|144.4400|144.7700|144.3900|144.4900|123407|0.0500|0.2800|0.0500|BULLISH
YUM|2025-09-02 16:30|144.4700|144.9300|144.3100|144.7850|83328|0.3150|0.1450|0.1600|BULLISH
YUM|2025-09-02 17:30|144.7800|145.2400|144.7750|145.2000|73065|0.4200|0.0400|0.0050|BULLISH
YUM|2025-09-02 18:30|145.2150|145.6990|145.0750|145.6100|111898|0.3950|0.0890|0.1400|BULLISH
YUM|2025-09-02 19:30|145.5600|145.6900|145.2700|145.4000|312637|0.1600|0.1300|0.1300|BEARISH
YUM|2025-09-03 13:30|144.7200|145.0200|143.9000|144.6450|151367|0.0750|0.3000|0.7450|BEARISH
YUM|2025-09-03 14:30|144.6300|144.6500|144.1000|144.4800|168846|0.1500|0.0200|0.3800|BEARISH
YUM|2025-09-03 15:30|144.4600|144.6400|144.2400|144.6350|103496|0.1750|0.0050|0.2200|BULLISH
YUM|2025-09-03 16:30|144.6100|144.8350|144.4100|144.8100|169112|0.2000|0.0250|0.2000|BULLISH
YUM|2025-09-03 17:30|144.8200|144.8400|144.5400|144.7450|86755|0.0750|0.0200|0.2050|BEARISH
YUM|2025-09-03 18:30|144.7200|144.8400|144.4700|144.5200|148105|0.2000|0.1200|0.0500|BEARISH
YUM|2025-09-03 19:30|144.5350|144.7250|144.4500|144.6000|364015|0.0650|0.1250|0.0850|BULLISH
YUM|2025-09-04 13:30|144.6600|145.3600|142.3500|142.9800|203179|1.6800|0.7000|0.6300|BEARISH
YUM|2025-09-04 14:30|142.9800|143.5300|142.9100|143.3900|122960|0.4100|0.1400|0.0700|BULLISH
YUM|2025-09-04 15:30|143.4300|143.4600|143.1700|143.3900|83045|0.0400|0.0300|0.2200|BEARISH
YUM|2025-09-04 16:30|143.4000|143.4300|143.0420|143.0420|70858|0.3580|0.0300|0.0000|BEARISH
YUM|2025-09-04 17:30|143.0300|143.2100|142.8900|143.0400|101999|0.0100|0.1700|0.1400|BULLISH
YUM|2025-09-04 18:30|143.0450|143.7200|143.0000|143.4900|162119|0.4450|0.2300|0.0450|BULLISH
YUM|2025-09-04 19:30|143.4800|143.9200|143.4000|143.7100|411229|0.2300|0.2100|0.0800|BULLISH
YUM|2025-09-05 13:30|143.7400|146.1100|143.7400|145.1350|150232|1.3950|0.9750|0.0000|BULLISH
YUM|2025-09-05 14:30|145.1700|145.5000|144.5700|144.9950|134580|0.1750|0.3300|0.4250|BEARISH
YUM|2025-09-05 15:30|144.9500|144.9700|144.3200|144.3800|121851|0.5700|0.0200|0.0600|BEARISH
YUM|2025-09-05 16:30|144.4100|144.8300|144.3800|144.6000|111806|0.1900|0.2300|0.0300|BULLISH
YUM|2025-09-05 17:30|144.6300|144.8300|144.3200|144.4200|97214|0.2100|0.2000|0.1000|BEARISH
YUM|2025-09-05 18:30|144.4700|144.9300|144.4200|144.6700|184901|0.2000|0.2600|0.0500|BULLISH
YUM|2025-09-05 19:30|144.6900|144.9400|144.4900|144.6300|286344|0.0600|0.2500|0.1400|BEARISH
YUM|2025-09-08 13:30|144.0000|145.8800|143.2300|145.4500|256160|1.4500|0.4300|0.7700|BULLISH
YUM|2025-09-08 14:30|145.5300|147.1600|145.4800|147.0900|367056|1.5600|0.0700|0.0500|BULLISH
YUM|2025-09-08 15:30|147.0650|147.1300|146.0750|146.2000|183496|0.8650|0.0650|0.1250|BEARISH
YUM|2025-09-08 16:30|146.1300|146.4800|146.0600|146.4300|151384|0.3000|0.0500|0.0700|BULLISH
YUM|2025-09-08 17:30|146.4900|146.9200|146.3800|146.8300|180427|0.3400|0.0900|0.1100|BULLISH
YUM|2025-09-08 18:30|146.8300|147.2900|146.5800|147.2800|253625|0.4500|0.0100|0.2500|BULLISH
YUM|2025-09-08 19:30|147.2850|148.0400|147.1100|147.9900|430289|0.7050|0.0500|0.1750|BULLISH
YUM|2025-09-09 13:30|147.4150|148.1000|146.3700|146.4600|156086|0.9550|0.6850|0.0900|BEARISH
YUM|2025-09-09 14:30|146.5113|147.0100|146.3600|146.7300|157645|0.2187|0.2800|0.1513|BULLISH
YUM|2025-09-09 15:30|146.7450|146.8600|146.3500|146.4450|145385|0.3000|0.1150|0.0950|BEARISH
YUM|2025-09-09 16:30|146.4200|146.6800|146.1600|146.4900|106012|0.0700|0.1900|0.2600|BULLISH
YUM|2025-09-09 17:30|146.5300|146.7200|146.4100|146.6050|109841|0.0750|0.1150|0.1200|BULLISH
YUM|2025-09-09 18:30|146.6400|146.9000|145.8800|146.0050|283130|0.6350|0.2600|0.1250|BEARISH
YUM|2025-09-09 19:30|145.9800|146.2700|145.6600|145.7400|403357|0.2400|0.2900|0.0800|BEARISH
YUM|2025-09-10 13:30|145.4200|147.0000|144.8000|145.9900|306750|0.5700|1.0100|0.6200|BULLISH
YUM|2025-09-10 14:30|145.9300|146.3000|145.3000|145.6825|184821|0.2475|0.3700|0.3825|BEARISH
YUM|2025-09-10 15:30|145.7050|145.9600|145.3100|145.7800|123043|0.0750|0.1800|0.3950|BULLISH
YUM|2025-09-10 16:30|145.7900|146.2700|145.5900|146.0500|112782|0.2600|0.2200|0.2000|BULLISH
YUM|2025-09-10 17:30|146.0800|146.8200|145.8600|146.8200|148925|0.7400|0.0000|0.2200|BULLISH
YUM|2025-09-10 18:30|146.7700|147.0625|146.4500|146.4700|232300|0.3000|0.2925|0.0200|BEARISH
YUM|2025-09-10 19:30|146.4400|146.4850|145.8800|146.0100|403178|0.4300|0.0450|0.1300|BEARISH
YUM|2025-09-11 13:30|146.7000|148.5700|146.1150|148.4850|329614|1.7850|0.0850|0.5850|BULLISH
YUM|2025-09-11 14:30|148.6000|149.3700|148.3900|149.1400|283266|0.5400|0.2300|0.2100|BULLISH
YUM|2025-09-11 15:30|149.1600|149.2350|148.8400|149.0600|215737|0.1000|0.0750|0.2200|BEARISH
YUM|2025-09-11 16:30|149.0400|149.1750|148.8100|148.9300|140524|0.1100|0.1350|0.1200|BEARISH
YUM|2025-09-11 17:30|148.9550|149.5000|148.8800|149.4700|326387|0.5150|0.0300|0.0750|BULLISH
YUM|2025-09-11 18:30|149.5000|149.5800|149.0800|149.1400|214809|0.3600|0.0800|0.0600|BEARISH
YUM|2025-09-11 19:30|149.1700|149.4700|148.9000|149.1500|632204|0.0200|0.3000|0.2500|BEARISH
YUM|2025-09-12 13:30|149.0000|150.5100|148.6550|149.5200|178249|0.5200|0.9900|0.3450|BULLISH
YUM|2025-09-12 14:30|149.5300|149.6200|148.5150|148.9100|191667|0.6200|0.0900|0.3950|BEARISH
YUM|2025-09-12 15:30|148.8200|149.2100|148.7600|149.0700|95791|0.2500|0.1400|0.0600|BULLISH
YUM|2025-09-12 16:30|149.0475|149.1600|148.6800|149.1300|81385|0.0825|0.0300|0.3675|BULLISH
YUM|2025-09-12 17:30|149.1300|150.0200|148.9900|149.9050|156628|0.7750|0.1150|0.1400|BULLISH
YUM|2025-09-12 18:30|149.8700|150.0100|149.5300|149.7350|180328|0.1350|0.1400|0.2050|BEARISH
YUM|2025-09-12 19:30|149.7300|149.8300|149.3900|149.4600|422468|0.2700|0.1000|0.0700|BEARISH
YUM|2025-09-15 13:30|149.8000|150.3200|148.9200|149.3950|192005|0.4050|0.5200|0.4750|BEARISH
YUM|2025-09-15 14:30|149.5000|150.1450|149.4350|149.8150|166179|0.3150|0.3300|0.0650|BULLISH
YUM|2025-09-15 15:30|149.8150|149.8600|149.2900|149.4400|138170|0.3750|0.0450|0.1500|BEARISH
YUM|2025-09-15 16:30|149.4200|149.5700|149.0600|149.4100|122130|0.0100|0.1500|0.3500|BEARISH
YUM|2025-09-15 17:30|149.4450|149.8500|148.9700|149.0900|196313|0.3550|0.4050|0.1200|BEARISH
YUM|2025-09-15 18:30|149.0650|149.7150|148.9550|149.3250|195248|0.2600|0.3900|0.1100|BULLISH
YUM|2025-09-15 19:30|149.2900|149.8600|148.9000|148.9800|697773|0.3100|0.5700|0.0800|BEARISH
YUM|2025-09-16 13:30|148.9000|149.9200|147.5000|148.0550|273016|0.8450|1.0200|0.5550|BEARISH
YUM|2025-09-16 14:30|148.0500|148.7100|147.9900|148.3200|142342|0.2700|0.3900|0.0600|BULLISH
YUM|2025-09-16 15:30|148.3200|148.6850|148.0800|148.1750|202286|0.1450|0.3650|0.0950|BEARISH
YUM|2025-09-16 16:30|148.1811|148.1900|147.2050|147.5600|117002|0.6211|0.0089|0.3550|BEARISH
YUM|2025-09-16 17:30|147.5650|148.4100|147.5650|148.0115|172323|0.4465|0.3985|0.0000|BULLISH
YUM|2025-09-16 18:30|147.9700|148.2450|147.8850|147.9200|246529|0.0500|0.2750|0.0350|BEARISH
YUM|2025-09-16 19:30|147.9600|148.2600|147.7760|148.0000|393256|0.0400|0.2600|0.1840|BULLISH
YUM|2025-09-17 13:30|148.3400|149.8200|148.1100|149.0900|268644|0.7500|0.7300|0.2300|BULLISH
YUM|2025-09-17 14:30|149.0800|150.0200|148.9800|149.6700|213122|0.5900|0.3500|0.1000|BULLISH
YUM|2025-09-17 15:30|149.7400|149.8300|149.1800|149.2600|140132|0.4800|0.0900|0.0800|BEARISH
YUM|2025-09-17 16:30|149.2800|149.5900|149.1700|149.3000|107461|0.0200|0.2900|0.1100|BULLISH
YUM|2025-09-17 17:30|149.3450|150.0750|149.1300|149.3300|201962|0.0150|0.7300|0.2000|BEARISH
YUM|2025-09-17 18:30|149.4000|149.4050|148.1500|148.5500|163271|0.8500|0.0050|0.4000|BEARISH
YUM|2025-09-17 19:30|148.5000|148.6900|147.8900|148.1900|322561|0.3100|0.1900|0.3000|BEARISH
YUM|2025-09-18 13:30|146.6300|147.8350|145.5865|146.0400|177635|0.5900|1.2050|0.4535|BEARISH
YUM|2025-09-18 14:30|146.0200|146.1150|144.8001|145.3400|155619|0.6800|0.0950|0.5399|BEARISH
YUM|2025-09-18 15:30|145.2900|146.0450|145.1301|145.2100|135326|0.0800|0.7550|0.0799|BEARISH
YUM|2025-09-18 16:30|145.2500|145.3600|144.8200|145.0500|144835|0.2000|0.1100|0.2300|BEARISH
YUM|2025-09-18 17:30|145.0600|145.5500|144.8700|145.4600|202970|0.4000|0.0900|0.1900|BULLISH
YUM|2025-09-18 18:30|145.4200|145.5500|145.0100|145.0600|197106|0.3600|0.1300|0.0500|BEARISH
YUM|2025-09-18 19:30|145.0500|145.6400|144.9500|145.2500|367857|0.2000|0.3900|0.1000|BULLISH
YUM|2025-09-19 13:30|145.3200|146.4500|145.1200|146.3917|413521|1.0717|0.0583|0.2000|BULLISH
YUM|2025-09-19 14:30|146.4600|146.9500|146.1400|146.4900|175607|0.0300|0.4600|0.3200|BULLISH
YUM|2025-09-19 15:30|146.5100|146.9400|146.0100|146.1600|123855|0.3500|0.4300|0.1500|BEARISH
YUM|2025-09-19 16:30|146.1750|146.2400|145.8000|145.8700|73118|0.3050|0.0650|0.0700|BEARISH
YUM|2025-09-19 17:30|145.9100|146.3350|145.7200|145.7900|136836|0.1200|0.4250|0.0700|BEARISH
YUM|2025-09-19 18:30|145.7900|146.1800|145.5300|146.0400|192216|0.2500|0.1400|0.2600|BULLISH
YUM|2025-09-19 19:30|146.0500|146.4900|145.5300|145.6500|425758|0.4000|0.4400|0.1200|BEARISH
YUM|2025-09-22 13:30|145.6200|147.0900|145.4900|146.9750|169137|1.3550|0.1150|0.1300|BULLISH
YUM|2025-09-22 14:30|146.9901|148.0850|146.8100|147.4450|169083|0.4549|0.6400|0.1801|BULLISH
YUM|2025-09-22 15:30|147.4550|147.7400|147.2700|147.5400|144887|0.0850|0.2000|0.1850|BULLISH
YUM|2025-09-22 16:30|147.4650|148.4250|147.2800|148.3700|136990|0.9050|0.0550|0.1850|BULLISH
YUM|2025-09-22 17:30|148.4300|149.1100|148.3600|148.6400|191090|0.2100|0.4700|0.0700|BULLISH
YUM|2025-09-22 18:30|148.6800|149.4400|148.6600|149.0650|190161|0.3850|0.3750|0.0200|BULLISH
