Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ZBH|2025-09-02 13:30|105.7200|106.1100|104.5600|105.6300|82182|0.0900|0.3900|1.0700|BEARISH
ZBH|2025-09-02 14:30|105.5700|105.6800|105.2100|105.4500|72730|0.1200|0.1100|0.2400|BEARISH
ZBH|2025-09-02 15:30|105.3950|105.9200|105.3350|105.3725|111819|0.0225|0.5250|0.0375|BEARISH
ZBH|2025-09-02 16:30|105.3700|105.4400|105.1200|105.3500|56885|0.0200|0.0700|0.2300|BEARISH
ZBH|2025-09-02 17:30|105.3450|105.8400|105.3400|105.5100|103566|0.1650|0.3300|0.0050|BULLISH
ZBH|2025-09-02 18:30|105.4900|105.5200|105.1850|105.3750|133663|0.1150|0.0300|0.1900|BEARISH
ZBH|2025-09-02 19:30|105.3800|105.4200|104.9300|105.0100|284908|0.3700|0.0400|0.0800|BEARISH
ZBH|2025-09-03 13:30|104.3800|104.9800|103.7250|103.9500|109444|0.4300|0.6000|0.2250|BEARISH
ZBH|2025-09-03 14:30|103.9700|104.5000|103.8600|104.3300|97906|0.3600|0.1700|0.1100|BULLISH
ZBH|2025-09-03 15:30|104.3300|104.4100|103.8050|104.1300|102150|0.2000|0.0800|0.3250|BEARISH
ZBH|2025-09-03 16:30|104.1451|104.3900|104.0800|104.3700|84096|0.2249|0.0200|0.0651|BULLISH
ZBH|2025-09-03 17:30|104.3700|104.7729|104.1700|104.7729|75018|0.4029|0.0000|0.2000|BULLISH
ZBH|2025-09-03 18:30|104.7000|104.8300|104.3900|104.4100|127733|0.2900|0.1300|0.0200|BEARISH
ZBH|2025-09-03 19:30|104.4450|105.0800|104.4100|105.0800|278925|0.6350|0.0000|0.0350|BULLISH
ZBH|2025-09-04 13:30|104.9900|105.2100|104.0900|104.6900|90564|0.3000|0.2200|0.6000|BEARISH
ZBH|2025-09-04 14:30|104.6550|104.8900|104.5200|104.7901|73734|0.1351|0.0999|0.1350|BULLISH
ZBH|2025-09-04 15:30|104.7800|105.0000|104.7700|104.8750|61057|0.0950|0.1250|0.0100|BULLISH
ZBH|2025-09-04 16:30|104.8750|105.3300|104.8350|105.3000|81803|0.4250|0.0300|0.0400|BULLISH
ZBH|2025-09-04 17:30|105.3391|105.3391|104.7400|104.7400|101765|0.5991|0.0000|0.0000|BEARISH
ZBH|2025-09-04 18:30|104.7400|104.9200|104.5100|104.5100|169375|0.2300|0.1800|0.0000|BEARISH
ZBH|2025-09-04 19:30|104.5100|104.7900|104.3100|104.7600|229852|0.2500|0.0300|0.2000|BULLISH
ZBH|2025-09-05 13:30|104.7700|106.2000|104.4900|105.1300|125241|0.3600|1.0700|0.2800|BULLISH
ZBH|2025-09-05 14:30|105.1300|105.7600|104.9400|105.7600|76323|0.6300|0.0000|0.1900|BULLISH
ZBH|2025-09-05 15:30|105.8000|105.8599|105.5150|105.5900|44195|0.2100|0.0599|0.0750|BEARISH
ZBH|2025-09-05 16:30|105.5900|105.7700|105.1800|105.1800|52436|0.4100|0.1800|0.0000|BEARISH
ZBH|2025-09-05 17:30|105.1750|105.2700|104.7450|104.8000|114474|0.3750|0.0950|0.0550|BEARISH
ZBH|2025-09-05 18:30|104.7800|105.2490|104.7800|105.0800|180947|0.3000|0.1690|0.0000|BULLISH
ZBH|2025-09-05 19:30|105.0850|105.8100|104.9900|105.7300|296936|0.6450|0.0800|0.0950|BULLISH
ZBH|2025-09-08 13:30|105.4000|105.5000|103.2800|104.2600|293032|1.1400|0.1000|0.9800|BEARISH
ZBH|2025-09-08 14:30|104.1800|104.5900|104.1300|104.2575|115668|0.0775|0.3325|0.0500|BULLISH
ZBH|2025-09-08 15:30|104.2100|104.3199|103.8250|103.9550|122890|0.2550|0.1099|0.1300|BEARISH
ZBH|2025-09-08 16:30|103.9450|104.6900|103.9100|104.6900|238420|0.7450|0.0000|0.0350|BULLISH
ZBH|2025-09-08 17:30|104.6900|104.7400|104.2900|104.5800|119902|0.1100|0.0500|0.2900|BEARISH
ZBH|2025-09-08 18:30|104.6200|104.7900|104.3150|104.3600|165082|0.2600|0.1700|0.0450|BEARISH
ZBH|2025-09-08 19:30|104.3650|104.9200|104.2100|104.7200|400840|0.3550|0.2000|0.1550|BULLISH
ZBH|2025-09-09 13:30|104.0300|104.7550|103.8542|104.1700|101056|0.1400|0.5850|0.1758|BULLISH
ZBH|2025-09-09 14:30|104.1600|104.2300|103.7900|104.2200|157796|0.0600|0.0100|0.3700|BULLISH
ZBH|2025-09-09 15:30|104.2300|104.4100|103.8600|104.1200|82780|0.1100|0.1800|0.2600|BEARISH
ZBH|2025-09-09 16:30|104.1350|104.4100|104.0600|104.3900|98910|0.2550|0.0200|0.0750|BULLISH
ZBH|2025-09-09 17:30|104.3750|104.5250|104.2300|104.2650|107649|0.1100|0.1500|0.0350|BEARISH
ZBH|2025-09-09 18:30|104.2700|104.3700|103.9541|104.0850|136850|0.1850|0.1000|0.1309|BEARISH
ZBH|2025-09-09 19:30|104.0900|104.0900|103.6900|103.8500|343621|0.2400|0.0000|0.1600|BEARISH
ZBH|2025-09-10 13:30|103.2600|104.0700|102.9000|103.1500|250793|0.1100|0.8100|0.2500|BEARISH
ZBH|2025-09-10 14:30|103.1200|103.8600|102.9850|103.1601|295694|0.0401|0.6999|0.1350|BULLISH
ZBH|2025-09-10 15:30|103.1900|103.3900|102.9400|103.0000|139819|0.1900|0.2000|0.0600|BEARISH
ZBH|2025-09-10 16:30|103.0450|103.0550|102.5500|102.5810|113871|0.4640|0.0100|0.0310|BEARISH
ZBH|2025-09-10 17:30|102.5800|102.9300|102.5700|102.7500|88413|0.1700|0.1800|0.0100|BULLISH
ZBH|2025-09-10 18:30|102.7550|102.9700|102.4600|102.4700|150100|0.2850|0.2150|0.0100|BEARISH
ZBH|2025-09-10 19:30|102.4300|102.4800|102.1600|102.2700|304555|0.1600|0.0500|0.1100|BEARISH
ZBH|2025-09-11 13:30|102.3100|103.6000|101.9500|103.5500|148007|1.2400|0.0500|0.3600|BULLISH
ZBH|2025-09-11 14:30|103.5500|103.9500|103.3000|103.7800|141624|0.2300|0.1700|0.2500|BULLISH
