Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ZTS|2025-09-02 13:30|154.9800|155.3800|152.1000|152.3000|652801|2.6800|0.4000|0.2000|BEARISH
ZTS|2025-09-02 14:30|152.2950|152.8418|151.8300|151.9650|239329|0.3300|0.5468|0.1350|BEARISH
ZTS|2025-09-02 15:30|151.9600|152.2253|151.8000|151.8700|153001|0.0900|0.2653|0.0700|BEARISH
ZTS|2025-09-02 16:30|151.8700|152.1000|151.6100|151.8101|146335|0.0599|0.2300|0.2001|BEARISH
ZTS|2025-09-02 17:30|151.8900|152.7700|151.8550|152.5500|164241|0.6600|0.2200|0.0350|BULLISH
ZTS|2025-09-02 18:30|152.5400|153.0293|152.3400|152.8700|195376|0.3300|0.1593|0.2000|BULLISH
ZTS|2025-09-02 19:30|152.8500|152.8900|152.5900|152.8900|296944|0.0400|0.0000|0.2600|BULLISH
ZTS|2025-09-03 13:30|152.3400|153.0900|151.4800|152.2450|350862|0.0950|0.7500|0.7650|BEARISH
ZTS|2025-09-03 14:30|152.2600|152.4050|151.7700|151.7800|171167|0.4800|0.1450|0.0100|BEARISH
ZTS|2025-09-03 15:30|151.8100|151.9500|151.4600|151.7410|153228|0.0690|0.1400|0.2810|BEARISH
ZTS|2025-09-03 16:30|151.7500|152.1250|151.7500|151.9300|117991|0.1800|0.1950|0.0000|BULLISH
ZTS|2025-09-03 17:30|151.9201|152.4350|151.6300|152.3550|160240|0.4349|0.0800|0.2901|BULLISH
ZTS|2025-09-03 18:30|152.3400|152.5700|152.1801|152.2300|156819|0.1100|0.2300|0.0499|BEARISH
ZTS|2025-09-03 19:30|152.2300|152.4500|152.0900|152.4100|295553|0.1800|0.0400|0.1400|BULLISH
ZTS|2025-09-04 13:30|152.5300|152.5300|151.3500|152.2100|288742|0.3200|0.0000|0.8600|BEARISH
ZTS|2025-09-04 14:30|152.1850|152.8199|151.7500|152.7100|181320|0.5250|0.1099|0.4350|BULLISH
ZTS|2025-09-04 15:30|152.7100|152.8200|152.2600|152.2750|123028|0.4350|0.1100|0.0150|BEARISH
ZTS|2025-09-04 16:30|152.2800|152.3050|151.7100|152.1000|148706|0.1800|0.0250|0.3900|BEARISH
ZTS|2025-09-04 17:30|152.1100|152.6350|152.1010|152.5300|110078|0.4200|0.1050|0.0090|BULLISH
ZTS|2025-09-04 18:30|152.5300|153.3700|152.4500|153.2850|144728|0.7550|0.0850|0.0800|BULLISH
ZTS|2025-09-04 19:30|153.2850|153.4900|153.0300|153.1200|325168|0.1650|0.2050|0.0900|BEARISH
ZTS|2025-09-05 13:30|151.8500|155.1500|151.8500|152.8300|547934|0.9800|2.3200|0.0000|BULLISH
ZTS|2025-09-05 14:30|154.2700|154.7400|152.4100|153.5200|470103|0.7500|0.4700|1.1100|BEARISH
ZTS|2025-09-05 15:30|153.0700|153.6850|153.0700|153.2500|262745|0.1800|0.4350|0.0000|BULLISH
ZTS|2025-09-05 16:30|153.3200|153.5200|153.0100|153.1000|258044|0.2200|0.2000|0.0900|BEARISH
ZTS|2025-09-05 17:30|153.2400|153.3300|152.5800|152.6000|265120|0.6400|0.0900|0.0200|BEARISH
ZTS|2025-09-05 18:30|153.1275|153.2800|152.4000|152.7600|439133|0.3675|0.1525|0.3600|BEARISH
ZTS|2025-09-05 19:30|152.5800|153.3200|152.4000|153.2900|599316|0.7100|0.0300|0.1800|BULLISH
ZTS|2025-09-08 13:30|152.4950|152.4950|149.9600|151.6175|321655|0.8775|0.0000|1.6575|BEARISH
ZTS|2025-09-08 14:30|151.6700|152.9700|151.6450|152.9050|214167|1.2350|0.0650|0.0250|BULLISH
ZTS|2025-09-08 15:30|152.9050|152.9215|152.0912|152.3200|195132|0.5850|0.0165|0.2288|BEARISH
ZTS|2025-09-08 16:30|152.3400|152.3600|146.4900|151.6800|796162|0.6600|0.0200|5.1900|BEARISH
ZTS|2025-09-08 17:30|151.5800|151.8800|150.1200|151.2900|348533|0.2900|0.3000|1.1700|BEARISH
ZTS|2025-09-08 18:30|151.2900|151.6700|151.1410|151.5400|400964|0.2500|0.1300|0.1490|BULLISH
ZTS|2025-09-08 19:30|151.5200|151.9900|151.1400|151.8100|456307|0.2900|0.1800|0.3800|BULLISH
ZTS|2025-09-09 13:30|151.4100|152.1200|150.3700|151.1500|326284|0.2600|0.7100|0.7800|BEARISH
ZTS|2025-09-09 14:30|151.1500|151.1700|150.5000|150.8650|201464|0.2850|0.0200|0.3650|BEARISH
ZTS|2025-09-09 15:30|150.8650|151.1000|150.3300|150.6600|162464|0.2050|0.2350|0.3300|BEARISH
ZTS|2025-09-09 16:30|150.6400|150.8199|150.3800|150.5700|140151|0.0700|0.1799|0.1900|BEARISH
ZTS|2025-09-09 17:30|150.6340|150.9800|150.5000|150.5700|145961|0.0640|0.3460|0.0700|BEARISH
ZTS|2025-09-09 18:30|150.5700|150.7100|150.2500|150.3300|171756|0.2400|0.1400|0.0800|BEARISH
ZTS|2025-09-09 19:30|150.3500|150.4200|149.6400|149.7900|427255|0.5600|0.0700|0.1500|BEARISH
ZTS|2025-09-10 13:30|149.0000|150.0000|148.3780|149.5687|618385|0.5687|0.4313|0.6220|BULLISH
ZTS|2025-09-10 14:30|149.5125|150.5800|149.2601|150.2800|324682|0.7675|0.3000|0.2524|BULLISH
ZTS|2025-09-10 15:30|150.2800|150.2800|149.4826|149.6500|238990|0.6300|0.0000|0.1674|BEARISH
ZTS|2025-09-10 16:30|149.6500|149.6700|149.1800|149.5300|225988|0.1200|0.0200|0.3500|BEARISH
ZTS|2025-09-10 17:30|149.5300|149.5500|148.9303|149.1300|248067|0.4000|0.0200|0.1997|BEARISH
ZTS|2025-09-10 18:30|149.0950|149.6250|149.0400|149.0400|309166|0.0550|0.5300|0.0000|BEARISH
ZTS|2025-09-10 19:30|149.0400|149.5200|148.9400|149.4100|406373|0.3700|0.1100|0.1000|BULLISH
ZTS|2025-09-11 13:30|149.7750|151.1300|149.4200|151.0550|381049|1.2800|0.0750|0.3550|BULLISH
ZTS|2025-09-11 14:30|151.0550|151.6500|150.4450|151.3200|440770|0.2650|0.3300|0.6100|BULLISH
ZTS|2025-09-11 15:30|151.3800|152.0000|150.4000|150.4200|441359|0.9600|0.6200|0.0200|BEARISH
ZTS|2025-09-11 16:30|150.4100|150.8600|150.0000|150.7000|462376|0.2900|0.1600|0.4100|BULLISH
ZTS|2025-09-11 17:30|150.7000|150.7600|150.1100|150.2050|256817|0.4950|0.0600|0.0950|BEARISH
ZTS|2025-09-11 18:30|150.1675|150.8400|150.1350|150.8100|400218|0.6425|0.0300|0.0325|BULLISH
ZTS|2025-09-11 19:30|150.8100|150.9800|150.4950|150.5850|422703|0.2250|0.1700|0.0900|BEARISH
ZTS|2025-09-12 13:30|149.6450|150.0500|147.3501|147.6400|294708|2.0050|0.4050|0.2899|BEARISH
ZTS|2025-09-12 14:30|147.6400|147.8500|147.2100|147.3500|336032|0.2900|0.2100|0.1400|BEARISH
ZTS|2025-09-12 15:30|147.3600|147.4600|146.5350|147.1950|342574|0.1650|0.1000|0.6600|BEARISH
ZTS|2025-09-12 16:30|147.2100|147.9800|146.9800|147.8950|268653|0.6850|0.0850|0.2300|BULLISH
ZTS|2025-09-12 17:30|147.8850|149.2100|147.8300|149.1800|305157|1.2950|0.0300|0.0550|BULLISH
ZTS|2025-09-12 18:30|149.1900|149.4300|148.9600|149.3500|362233|0.1600|0.0800|0.2300|BULLISH
ZTS|2025-09-12 19:30|149.3300|149.3550|148.1800|148.1900|775446|1.1400|0.0250|0.0100|BEARISH
ZTS|2025-09-15 13:30|148.0800|149.7500|147.7600|148.9300|400239|0.8500|0.8200|0.3200|BULLISH
ZTS|2025-09-15 14:30|148.8350|149.1700|146.2200|146.4150|472711|2.4200|0.3350|0.1950|BEARISH
ZTS|2025-09-15 15:30|146.4500|147.1800|145.8900|147.0800|321250|0.6300|0.1000|0.5600|BULLISH
ZTS|2025-09-15 16:30|147.0800|147.3000|146.5000|146.8120|272347|0.2680|0.2200|0.3120|BEARISH
ZTS|2025-09-15 17:30|146.8800|147.1400|146.6000|146.9200|396381|0.0400|0.2200|0.2800|BULLISH
