Scenario,TradingDate,Symbol,Price,Score,Target,StopLoss,ExpProfit,SMA20,vsSMA20,YTD,LastMonth,Price5d,PnL5d,Price10d,PnL10d,MaxPrice10d,Status
10%/10d,2026-02-02,SLVR,62.91,88,69.09,53.47,9.8,75.37,Under,12.3,8.6,69.69,10.78,62.4,-0.81,72.0,HIT TARGET
10%/10d,2026-02-02,MRNA,42.56,87,47.15,38.76,10.8,45.11,Under,37.0,32.3,41.95,-1.43,43.95,3.27,45.5,MISSED
10%/10d,2026-02-02,ALB,164.91,79,181.59,153.73,10.1,180.12,Under,15.7,12.9,165.69,0.47,168.97,2.46,182.8,HIT TARGET
10%/10d,2026-02-02,AMD,246.27,49,258.7,231.39,5.0,249.2,Under,11.0,11.4,215.8,-12.37,203.04,-17.55,252.64,STOPPED OUT
10%/10d,2026-02-02,HAL,32.83,68,34.66,31.58,5.6,33.62,Under,14.4,2.8,34.9,6.31,33.71,2.68,35.39,HIT TARGET
10%/10d,2026-02-02,AMAT,328.51,62,352.99,317.21,7.5,335.08,Under,23.0,15.5,330.48,0.6,358.94,9.26,376.31,HIT TARGET
10%/10d,2026-02-02,ETSY,53.61,62,56.37,52.15,5.2,53.75,Under,-5.9,-8.5,55.13,2.84,44.38,-17.22,58.09,HIT TARGET
10%/10d,2026-02-02,DLTR,117.22,57,122.52,114.89,4.5,118.33,Under,-7.1,-8.8,123.15,5.06,128.54,9.66,130.94,HIT TARGET
10%/10d,2026-02-02,PLTR,147.74,56,154.29,141.07,4.4,153.87,Under,-15.4,-15.1,142.91,-3.27,133.07,-9.93,165.08,HIT TARGET
10%/10d,2026-02-02,MRVL,78.64,52,83.06,75.12,5.6,81.31,Under,-10.8,-12.8,82.31,4.67,79.04,0.51,83.78,HIT TARGET
10%/10d,2026-02-03,ALB,170.55,91,187.19,158.45,9.8,174.59,Under,19.6,7.9,168.53,-1.18,171.21,0.39,182.8,MISSED
10%/10d,2026-02-03,SLVR,67.54,90,74.62,59.01,10.5,70.95,Under,20.5,10.3,69.16,2.4,65.12,-3.58,72.0,MISSED
10%/10d,2026-02-03,MRNA,42.2,88,46.88,38.8,11.1,44.39,Under,35.9,18.3,42.0,-0.47,46.65,10.55,47.68,HIT TARGET
10%/10d,2026-02-03,LLY,1002.88,59,1051.42,971.26,4.8,1023.17,Under,-6.0,-5.7,1024.8,2.19,1020.16,1.72,1114.0,HIT TARGET
10%/10d,2026-02-03,ORCL,154.62,53,161.61,147.09,4.5,161.84,Under,-20.6,-20.1,159.85,3.38,156.17,1.0,165.39,HIT TARGET
10%/10d,2026-02-03,MRVL,75.54,60,79.97,71.72,5.9,78.09,Under,-14.3,-14.4,82.03,8.59,79.09,4.7,83.78,HIT TARGET
10%/10d,2026-02-03,AMAT,318.63,59,340.98,304.86,7.0,329.01,Under,19.3,7.7,329.06,3.27,369.29,15.9,376.31,HIT TARGET
10%/10d,2026-02-03,EPAM,183.33,57,191.4,169.68,4.4,200.24,Under,-8.5,-15.9,191.61,4.52,167.65,-8.55,193.83,HIT TARGET
10%/10d,2026-02-03,KLAC,1355.54,56,1455.02,1234.68,7.3,1496.52,Under,7.4,-2.8,1430.94,5.56,1479.9,9.17,1502.84,HIT TARGET
10%/10d,2026-02-03,EL,116.31,55,121.44,112.94,4.4,116.51,Under,9.8,7.1,101.32,-12.89,111.6,-4.05,120.03,STOPPED OUT
8%/10d,2026-02-03,ALB,170.55,97,187.19,158.45,9.8,174.59,Under,19.6,7.9,168.53,-1.18,171.21,0.39,182.8,MISSED
8%/10d,2026-02-03,SLVR,67.54,95,74.62,59.01,10.5,70.95,Under,20.5,10.3,69.16,2.4,65.12,-3.58,72.0,MISSED
8%/10d,2026-02-03,MRNA,42.2,91,46.88,38.8,11.1,44.39,Under,35.9,18.3,42.0,-0.47,46.65,10.55,47.68,HIT TARGET
8%/10d,2026-02-03,LLY,1002.88,69,1051.42,971.26,4.8,1023.17,Under,-6.0,-5.7,1024.8,2.19,1020.16,1.72,1114.0,HIT TARGET
8%/10d,2026-02-03,ORCL,154.62,63,161.61,147.09,4.5,161.84,Under,-20.6,-20.1,159.85,3.38,156.17,1.0,165.39,HIT TARGET
8%/10d,2026-02-03,MRVL,75.54,68,79.97,71.72,5.9,78.09,Under,-14.3,-14.4,82.03,8.59,79.09,4.7,83.78,HIT TARGET
8%/10d,2026-02-03,KLAC,1355.54,65,1455.02,1234.68,7.3,1496.52,Under,7.4,-2.8,1430.94,5.56,1479.9,9.17,1502.84,HIT TARGET
8%/10d,2026-02-03,CNC,42.49,65,44.62,41.45,5.0,42.7,Under,3.4,-7.1,39.61,-6.78,43.07,1.37,43.13,MISSED
8%/10d,2026-02-03,EL,116.31,65,121.44,112.94,4.4,116.51,Under,9.8,7.1,101.32,-12.89,111.6,-4.05,120.03,STOPPED OUT
8%/10d,2026-02-03,APH,147.06,64,153.49,140.31,4.4,147.07,Under,6.2,4.0,144.16,-1.97,147.69,0.43,151.37,MISSED
8%/10d,2026-02-06,MRNA,40.99,88,45.02,38.24,9.8,41.36,Under,32.0,19.6,42.23,3.03,50.3,22.71,54.02,HIT TARGET
8%/10d,2026-02-06,ALB,163.32,83,178.64,156.2,9.4,162.01,Above,14.6,1.3,166.35,1.86,177.47,8.66,182.8,HIT TARGET
8%/10d,2026-02-06,SLVR,64.75,80,70.86,59.99,9.4,63.78,Above,15.5,6.2,65.7,1.47,76.17,17.64,77.0,HIT TARGET
8%/10d,2026-02-06,AMD,208.32,51,222.9,196.02,7.0,200.68,Above,-6.1,2.5,207.3,-0.49,196.59,-5.63,219.65,MISSED
8%/10d,2026-02-06,TXN,221.44,45,227.5,216.07,2.7,222.36,Under,26.1,16.4,226.23,2.16,219.92,-0.69,231.32,HIT TARGET
8%/10d,2026-02-06,ETHA,15.52,45,16.18,13.86,4.2,15.33,Above,-33.1,-33.1,15.45,-0.45,14.05,-9.47,16.23,HIT TARGET
8%/10d,2026-02-06,XAR,271.88,33,280.11,266.94,3.0,265.24,Above,11.8,-1.7,270.69,-0.44,279.02,2.63,287.52,HIT TARGET
8%/10d,2026-02-06,CNC,38.45,76,40.47,35.9,5.2,39.69,Under,-6.4,-17.5,40.58,5.54,43.36,12.77,43.93,HIT TARGET
8%/10d,2026-02-06,ILMN,119.7,74,126.14,111.38,5.4,129.09,Under,-9.3,-15.1,116.86,-2.37,120.57,0.73,120.74,MISSED
8%/10d,2026-02-06,MOH,131.76,73,138.76,110.8,5.3,161.64,Under,-25.3,-27.4,135.29,2.68,156.23,18.57,156.9,HIT TARGET
10%/10d,2026-02-06,MRNA,40.99,85,45.02,38.24,9.8,41.36,Under,32.0,19.6,42.23,3.03,50.3,22.71,54.02,HIT TARGET
10%/10d,2026-02-06,ALB,163.32,78,178.64,156.2,9.4,162.01,Above,14.6,1.3,166.35,1.86,177.47,8.66,182.8,HIT TARGET
10%/10d,2026-02-06,SLVR,64.75,76,70.86,59.99,9.4,63.78,Above,15.5,6.2,65.7,1.47,76.17,17.64,77.0,HIT TARGET
10%/10d,2026-02-06,AMD,208.32,49,222.9,196.02,7.0,200.68,Above,-6.1,2.5,207.3,-0.49,196.59,-5.63,219.65,MISSED
10%/10d,2026-02-06,CNC,38.45,64,40.47,35.9,5.2,39.69,Under,-6.4,-17.5,40.58,5.54,43.36,12.77,43.93,HIT TARGET
10%/10d,2026-02-06,MOH,131.76,61,138.76,110.8,5.3,161.64,Under,-25.3,-27.4,135.29,2.68,156.23,18.57,156.9,HIT TARGET
10%/10d,2026-02-06,ILMN,119.7,60,126.14,111.38,5.4,129.09,Under,-9.3,-15.1,116.86,-2.37,120.57,0.73,120.74,MISSED
10%/10d,2026-02-06,MCHP,75.98,56,79.48,71.74,4.6,77.1,Under,18.2,1.1,78.59,3.44,76.65,0.88,83.35,HIT TARGET
10%/10d,2026-02-06,CRL,189.2,55,196.57,178.65,3.9,191.74,Under,-5.3,-14.4,161.32,-14.74,163.5,-13.58,188.7,STOPPED OUT
10%/10d,2026-02-06,EL,99.48,49,104.22,86.24,4.8,104.05,Under,-6.1,-12.5,108.22,8.79,113.03,13.62,115.39,HIT TARGET
8%/10d,2026-02-04,ALB,168.58,97,184.7,159.17,9.6,169.71,Under,18.2,4.3,175.19,3.92,168.41,-0.1,182.8,MISSED
8%/10d,2026-02-04,SLVR,67.79,81,74.37,62.11,9.7,67.18,Above,21.0,14.4,70.63,4.19,67.91,0.18,72.0,MISSED
8%/10d,2026-02-04,AMD,200.46,80,216.07,180.59,7.8,229.71,Under,-9.7,-4.5,213.49,6.5,203.35,1.44,219.65,HIT TARGET
8%/10d,2026-02-04,MRVL,73.73,79,78.21,69.5,6.1,75.63,Under,-16.4,-12.9,81.3,10.27,79.63,8.0,83.78,HIT TARGET
8%/10d,2026-02-04,FCX,61.88,82,65.64,58.2,6.1,62.48,Under,19.6,11.5,65.42,5.72,62.58,1.13,65.98,HIT TARGET
8%/10d,2026-02-04,MRNA,42.75,78,47.35,39.91,10.8,42.96,Under,37.6,19.0,40.48,-5.31,49.7,16.26,50.46,HIT TARGET
8%/10d,2026-02-04,AMAT,297.52,77,320.76,275.56,7.8,314.98,Under,11.4,1.8,339.94,14.26,369.99,24.36,376.31,HIT TARGET
8%/10d,2026-02-04,GLW,109.72,75,116.51,101.6,6.2,109.79,Under,23.0,24.7,132.92,21.14,130.01,18.49,136.82,HIT TARGET
8%/10d,2026-02-04,KLAC,1306.77,68,1403.99,1226.63,7.4,1378.12,Under,3.5,-3.9,1479.1,13.19,1470.2,12.51,1502.84,HIT TARGET
8%/10d,2026-02-04,APH,129.98,67,136.29,119.95,4.9,141.27,Under,-6.1,-6.4,144.05,10.82,151.25,16.36,151.38,HIT TARGET
10%/10d,2026-02-05,ALB,156.42,93,173.85,147.05,11.1,164.88,Under,9.7,-1.2,158.99,1.64,168.43,7.68,182.8,HIT TARGET
10%/10d,2026-02-05,SLVR,59.94,90,66.36,54.63,10.7,64.84,Under,7.0,2.6,62.89,4.92,73.1,21.96,73.13,HIT TARGET
10%/10d,2026-02-05,MRNA,40.88,90,45.72,37.92,11.8,42.07,Under,31.6,20.7,40.1,-1.91,49.88,22.02,50.48,HIT TARGET
10%/10d,2026-02-05,AMD,192.49,81,209.66,173.09,8.9,211.14,Under,-13.3,-6.0,205.92,6.98,200.12,3.96,219.65,HIT TARGET
10%/10d,2026-02-05,AMAT,304.08,84,330.1,285.58,8.6,304.23,Under,13.8,8.0,328.29,7.96,375.35,23.44,377.11,HIT TARGET
10%/10d,2026-02-05,TER,271.17,75,297.78,247.9,9.8,273.86,Under,33.1,25.4,311.05,14.71,324.9,19.81,327.99,HIT TARGET
10%/10d,2026-02-05,HAL,33.84,70,35.96,33.02,6.3,33.88,Under,17.9,5.2,34.29,1.33,35.11,3.75,35.85,MISSED
10%/10d,2026-02-05,FCX,59.23,69,62.68,56.52,5.8,61.76,Under,14.5,9.2,62.01,4.69,64.36,8.66,65.98,HIT TARGET
10%/10d,2026-02-05,SLB,49.49,63,52.23,48.17,5.5,49.85,Under,28.3,11.4,50.62,2.28,50.85,2.75,52.4,HIT TARGET
10%/10d,2026-02-05,ETHA,14.09,61,14.83,12.33,5.2,15.8,Under,-39.3,-39.9,14.45,2.56,14.89,5.68,16.23,HIT TARGET
