Scenario,TradingDate,Symbol,Price,Score,Target,StopLoss,ExpProfit,SMA20,vsSMA20,YTD,LastMonth,Price5d,PnL5d,Price10d,PnL10d,MaxPrice10d,Status
10%/10d,2026-03-11,SLVR,70.28,78,74.01,66.36,5.3,70.68,Under,25.4,-0.5,57.68,-17.93,53.98,-23.19,70.5,STOPPED OUT
10%/10d,2026-03-11,GLW,131.78,74,139.3,122.32,5.7,132.43,Under,47.8,-0.9,129.82,-1.49,130.97,-0.61,135.28,MISSED
10%/10d,2026-03-11,MRNA,55.97,73,60.87,52.43,8.8,55.08,Above,80.2,38.3,52.43,-6.32,51.28,-8.38,56.51,STOPPED OUT
10%/10d,2026-03-11,CAT,707.63,53,730.53,690.77,3.2,709.29,Under,20.6,-8.7,693.62,-1.98,701.7,-0.84,712.0,MISSED
10%/10d,2026-03-11,ALB,167.97,73,179.49,161.45,6.9,167.38,Above,17.8,-4.1,165.82,-1.28,167.56,-0.24,171.0,MISSED
10%/10d,2026-03-11,TER,301.96,72,328.09,286.79,8.7,301.08,Above,48.2,-6.0,300.09,-0.62,303.92,0.65,314.28,MISSED
10%/10d,2026-03-11,CNC,35.86,60,37.43,32.71,4.4,38.77,Under,-12.7,-11.3,36.17,0.86,32.81,-8.51,37.05,MISSED
10%/10d,2026-03-11,LUV,41.83,56,43.43,39.94,3.8,42.2,Under,1.1,-18.6,40.17,-3.97,40.35,-3.54,41.83,MISSED
10%/10d,2026-03-11,ILMN,121.52,52,125.4,118.27,3.2,122.64,Under,-7.9,4.5,122.94,1.17,123.79,1.87,128.19,HIT TARGET
10%/10d,2026-03-11,CEG,300.61,52,311.82,289.48,3.7,313.55,Under,-18.4,8.6,317.22,5.53,289.76,-3.61,322.65,HIT TARGET
10%/10d,2026-03-13,ALB,158.21,77,172.6,150.02,9.1,162.83,Under,11.0,-4.9,156.65,-0.99,167.56,5.91,171.0,MISSED
10%/10d,2026-03-13,AMD,193.44,47,204.69,188.72,5.8,198.78,Under,-12.8,-6.7,201.47,4.15,202.68,4.78,209.06,HIT TARGET
10%/10d,2026-03-13,GLW,129.12,47,138.19,124.57,7.0,130.64,Under,44.8,-3.2,124.68,-3.44,130.97,1.43,135.28,MISSED
10%/10d,2026-03-13,SLVR,62.91,43,67.42,59.13,7.2,67.07,Under,12.3,-4.2,51.21,-18.6,53.98,-14.19,64.54,STOPPED OUT
10%/10d,2026-03-13,ORCL,155.1,40,160.61,148.82,3.5,159.8,Under,-20.3,-3.1,149.66,-3.51,154.34,-0.49,158.92,MISSED
10%/10d,2026-03-13,CNC,34.46,66,36.49,33.12,5.9,34.99,Under,-16.2,-15.1,34.39,-0.2,32.81,-4.79,37.05,HIT TARGET
10%/10d,2026-03-13,MRNA,52.55,66,58.22,48.99,10.8,54.1,Under,69.2,24.4,51.4,-2.19,51.28,-2.42,56.51,MISSED
10%/10d,2026-03-13,ETSY,52.02,60,54.58,49.27,4.9,52.62,Under,-8.7,13.8,52.86,1.61,52.49,0.9,55.97,HIT TARGET
10%/10d,2026-03-13,AAL,10.32,56,10.82,9.95,4.9,10.67,Under,-32.1,-25.7,10.44,1.16,10.81,4.75,11.33,HIT TARGET
10%/10d,2026-03-13,PLTR,150.95,55,157.12,145.9,4.1,151.95,Under,-13.5,14.9,150.76,-0.13,160.84,6.55,161.08,HIT TARGET
10%/10d,2026-03-16,ALB,162.43,74,174.79,155.0,7.6,161.6,Above,13.9,-3.9,167.56,3.16,167.56,3.16,171.0,MISSED
10%/10d,2026-03-16,MRNA,53.31,74,58.06,50.38,8.9,53.03,Above,71.6,21.3,51.28,-3.81,51.28,-3.81,56.51,MISSED
10%/10d,2026-03-16,SLVR,62.81,68,66.31,58.93,5.6,64.65,Under,12.1,0.7,53.98,-14.06,53.98,-14.06,64.22,STOPPED OUT
10%/10d,2026-03-16,AMD,196.6,57,207.75,191.78,5.7,196.78,Under,-11.4,-3.2,202.68,3.09,202.68,3.09,209.06,HIT TARGET
10%/10d,2026-03-16,DOW,36.01,58,38.0,35.04,5.5,36.76,Under,53.9,14.6,36.04,0.08,36.04,0.08,38.58,HIT TARGET
10%/10d,2026-03-16,TER,298.23,54,323.18,285.55,8.4,291.4,Above,46.4,-2.4,303.92,1.91,303.92,1.91,314.28,MISSED
10%/10d,2026-03-16,CRL,151.91,53,157.38,145.61,3.6,155.47,Under,-23.9,-4.1,158.0,4.01,158.0,4.01,159.35,HIT TARGET
10%/10d,2026-03-16,LYB,71.1,52,74.53,68.13,4.8,72.44,Under,64.0,27.0,71.47,0.52,71.47,0.52,77.36,HIT TARGET
10%/10d,2026-03-16,CE,56.06,51,58.8,52.61,4.9,58.07,Under,35.2,0.6,56.13,0.12,56.13,0.12,61.92,HIT TARGET
10%/10d,2026-03-16,GLW,132.04,50,141.49,126.96,7.2,130.94,Above,48.1,1.1,130.97,-0.81,130.97,-0.81,135.28,MISSED
10%/10d,2026-03-12,TER,286.6,86,314.96,268.8,9.9,300.13,Under,40.7,-7.9,302.47,5.54,303.92,6.04,314.28,MISSED
10%/10d,2026-03-12,GLW,129.71,80,139.85,122.22,7.8,133.1,Under,45.5,-1.4,133.11,2.62,130.97,0.97,135.28,MISSED
10%/10d,2026-03-12,SLVR,67.67,63,73.4,64.23,8.5,70.3,Under,20.8,7.6,54.36,-19.67,53.98,-20.23,67.34,STOPPED OUT
10%/10d,2026-03-12,AMD,197.82,48,208.53,192.65,5.4,202.48,Under,-10.9,-3.9,205.23,3.75,202.68,2.46,209.06,HIT TARGET
10%/10d,2026-03-12,AMAT,337.4,80,361.25,327.79,7.1,345.98,Under,26.3,2.8,357.23,5.88,361.79,7.23,374.25,HIT TARGET
10%/10d,2026-03-12,MRNA,53.38,69,59.21,49.78,10.9,55.07,Under,71.9,33.1,52.34,-1.95,51.28,-3.93,56.51,MISSED
10%/10d,2026-03-12,ALB,163.75,68,177.77,156.98,8.6,166.63,Under,14.9,3.0,163.23,-0.32,167.56,2.33,171.0,MISSED
10%/10d,2026-03-12,FCX,59.2,65,62.32,56.67,5.3,60.78,Under,14.4,-4.5,53.59,-9.48,54.94,-7.2,59.06,STOPPED OUT
10%/10d,2026-03-12,LUV,38.6,64,40.91,36.78,6.0,41.42,Under,-6.7,-24.0,40.87,5.88,40.35,4.53,41.83,HIT TARGET
10%/10d,2026-03-12,ILMN,115.54,61,121.84,112.36,5.5,120.7,Under,-12.4,1.0,126.51,9.49,123.79,7.14,128.19,HIT TARGET
10%/10d,2026-03-10,ALB,166.42,73,178.15,158.66,7.0,165.78,Above,16.7,-1.3,166.25,-0.1,167.56,0.69,171.0,MISSED
10%/10d,2026-03-10,TER,300.89,71,324.27,284.03,7.8,291.68,Above,47.7,-1.3,299.4,-0.5,303.92,1.01,314.28,MISSED
10%/10d,2026-03-10,SLVR,72.64,68,76.75,68.99,5.7,70.6,Above,29.6,5.0,61.9,-14.79,53.98,-25.69,71.27,STOPPED OUT
10%/10d,2026-03-10,CNC,36.39,58,37.84,32.82,4.0,41.34,Under,-11.5,-8.1,34.94,-3.98,32.81,-9.84,37.05,STOPPED OUT
10%/10d,2026-03-10,MRNA,54.99,54,60.46,50.79,9.9,53.42,Above,77.0,30.9,53.92,-1.95,51.28,-6.75,57.88,MISSED
10%/10d,2026-03-10,AMAT,346.0,51,369.02,333.2,6.7,337.08,Above,29.5,5.1,352.28,1.82,361.79,4.56,374.25,HIT TARGET
10%/10d,2026-03-10,ILMN,122.31,50,125.63,118.56,2.7,123.9,Under,-7.3,2.5,120.82,-1.22,123.79,1.21,128.19,HIT TARGET
10%/10d,2026-03-10,GLW,136.26,49,144.63,127.01,6.1,130.0,Above,52.8,6.4,129.88,-4.68,130.97,-3.88,135.33,MISSED
10%/10d,2026-03-10,APA,31.83,46,33.2,30.55,4.3,32.64,Under,29.3,16.0,35.87,12.69,39.03,22.62,39.51,HIT TARGET
10%/10d,2026-03-10,TRGP,232.46,45,239.07,228.26,2.8,235.82,Under,26.2,7.1,240.84,3.6,239.92,3.21,243.64,HIT TARGET
8%/10d,2026-03-16,ALB,162.43,79,174.79,155.0,7.6,161.6,Above,13.9,-3.9,167.56,3.16,167.56,3.16,171.0,MISSED
8%/10d,2026-03-16,MRNA,53.31,75,58.06,50.38,8.9,53.03,Above,71.6,21.3,51.28,-3.81,51.28,-3.81,56.51,MISSED
8%/10d,2026-03-16,SLVR,62.81,72,66.31,58.93,5.6,64.65,Under,12.1,0.7,53.98,-14.06,53.98,-14.06,64.22,STOPPED OUT
8%/10d,2026-03-16,AMD,196.6,64,207.75,191.78,5.7,196.78,Under,-11.4,-3.2,202.68,3.09,202.68,3.09,209.06,HIT TARGET
8%/10d,2026-03-16,TER,298.23,75,323.18,285.55,8.4,291.4,Above,46.4,-2.4,303.92,1.91,303.92,1.91,314.28,MISSED
8%/10d,2026-03-16,DOW,36.01,66,38.0,35.04,5.5,36.76,Under,53.9,14.6,36.04,0.08,36.04,0.08,38.58,HIT TARGET
8%/10d,2026-03-16,CRL,151.91,64,157.38,145.61,3.6,155.47,Under,-23.9,-4.1,158.0,4.01,158.0,4.01,159.35,HIT TARGET
8%/10d,2026-03-16,AMAT,346.18,64,367.86,336.09,6.3,342.56,Above,29.6,-3.6,361.79,4.51,361.79,4.51,374.25,HIT TARGET
8%/10d,2026-03-16,CE,56.06,61,58.8,52.61,4.9,58.07,Under,35.2,0.6,56.13,0.12,56.13,0.12,61.92,HIT TARGET
8%/10d,2026-03-16,LYB,71.1,60,74.53,68.13,4.8,72.44,Under,64.0,27.0,71.47,0.52,71.47,0.52,77.36,HIT TARGET
8%/10d,2026-03-10,ALB,166.42,78,178.15,158.66,7.0,165.78,Above,16.7,-1.3,166.25,-0.1,167.56,0.69,171.0,MISSED
8%/10d,2026-03-10,TER,300.89,74,324.27,284.03,7.8,291.68,Above,47.7,-1.3,299.4,-0.5,303.92,1.01,314.28,MISSED
8%/10d,2026-03-10,SLVR,72.64,72,76.75,68.99,5.7,70.6,Above,29.6,5.0,61.9,-14.79,53.98,-25.69,71.27,STOPPED OUT
8%/10d,2026-03-10,LMT,650.99,48,665.85,636.16,2.3,664.27,Under,33.9,3.4,636.43,-2.24,616.25,-5.34,661.0,STOPPED OUT
8%/10d,2026-03-10,CAT,716.78,44,737.77,695.67,2.9,700.98,Above,22.1,-3.4,702.49,-1.99,701.7,-2.1,720.42,MISSED
8%/10d,2026-03-10,AMAT,346.0,73,369.02,333.2,6.7,337.08,Above,29.5,5.1,352.28,1.82,361.79,4.56,374.25,HIT TARGET
8%/10d,2026-03-10,CNC,36.39,70,37.84,32.82,4.0,41.34,Under,-11.5,-8.1,34.94,-3.98,32.81,-9.84,37.05,STOPPED OUT
8%/10d,2026-03-10,ILMN,122.31,62,125.63,118.56,2.7,123.9,Under,-7.3,2.5,120.82,-1.22,123.79,1.21,128.19,HIT TARGET
8%/10d,2026-03-10,AMCR,42.12,60,47.77,40.94,13.4,42.4,Under,406.6,-13.2,40.72,-3.32,39.36,-6.55,42.7,STOPPED OUT
8%/10d,2026-03-10,BKR,59.33,59,61.29,58.1,3.3,59.96,Under,28.9,0.3,57.01,-3.91,62.53,5.39,63.13,HIT TARGET
8%/10d,2026-03-11,SLVR,70.28,82,74.01,66.36,5.3,70.68,Under,25.4,-0.5,57.68,-17.93,53.98,-23.19,70.5,STOPPED OUT
8%/10d,2026-03-11,GLW,131.78,78,139.3,122.32,5.7,132.43,Under,47.8,-0.9,129.82,-1.49,130.97,-0.61,135.28,MISSED
8%/10d,2026-03-11,ALB,167.97,78,179.49,161.45,6.9,167.38,Above,17.8,-4.1,165.82,-1.28,167.56,-0.24,171.0,MISSED
8%/10d,2026-03-11,CAT,707.63,69,730.53,690.77,3.2,709.29,Under,20.6,-8.7,693.62,-1.98,701.7,-0.84,712.0,MISSED
8%/10d,2026-03-11,TER,301.96,76,328.09,286.79,8.7,301.08,Above,48.2,-6.0,300.09,-0.62,303.92,0.65,314.28,MISSED
8%/10d,2026-03-11,MRNA,55.97,75,60.87,52.43,8.8,55.08,Above,80.2,38.3,52.43,-6.32,51.28,-8.38,56.51,STOPPED OUT
8%/10d,2026-03-11,AMAT,351.0,74,375.42,340.9,7.0,344.26,Above,31.4,3.3,349.39,-0.46,361.79,3.07,374.25,MISSED
8%/10d,2026-03-11,CNC,35.86,72,37.43,32.71,4.4,38.77,Under,-12.7,-11.3,36.17,0.86,32.81,-8.51,37.05,MISSED
8%/10d,2026-03-11,LUV,41.83,65,43.43,39.94,3.8,42.2,Under,1.1,-18.6,40.17,-3.97,40.35,-3.54,41.83,MISSED
8%/10d,2026-03-11,ILMN,121.52,65,125.4,118.27,3.2,122.64,Under,-7.9,4.5,122.94,1.17,123.79,1.87,128.19,HIT TARGET
8%/10d,2026-03-13,ALB,158.21,82,172.6,150.02,9.1,162.83,Under,11.0,-4.9,156.65,-0.99,167.56,5.91,171.0,MISSED
8%/10d,2026-03-13,CNC,34.46,78,36.49,33.12,5.9,34.99,Under,-16.2,-15.1,34.39,-0.2,32.81,-4.79,37.05,HIT TARGET
8%/10d,2026-03-13,AMD,193.44,53,204.69,188.72,5.8,198.78,Under,-12.8,-6.7,201.47,4.15,202.68,4.78,209.06,HIT TARGET
8%/10d,2026-03-13,ORCL,155.1,49,160.61,148.82,3.5,159.8,Under,-20.3,-3.1,149.66,-3.51,154.34,-0.49,158.92,MISSED
8%/10d,2026-03-13,SLVR,62.91,45,67.42,59.13,7.2,67.07,Under,12.3,-4.2,51.21,-18.6,53.98,-14.19,64.54,STOPPED OUT
8%/10d,2026-03-13,ETHA,15.88,40,16.58,15.11,4.4,15.77,Above,-31.6,2.8,16.11,1.45,16.28,2.52,17.82,HIT TARGET
8%/10d,2026-03-13,ETSY,52.02,72,54.58,49.27,4.9,52.62,Under,-8.7,13.8,52.86,1.61,52.49,0.9,55.97,HIT TARGET
8%/10d,2026-03-13,AAL,10.32,67,10.82,9.95,4.9,10.67,Under,-32.1,-25.7,10.44,1.16,10.81,4.75,11.33,HIT TARGET
8%/10d,2026-03-13,MRNA,52.55,67,58.22,48.99,10.8,54.1,Under,69.2,24.4,51.4,-2.19,51.28,-2.42,56.51,MISSED
8%/10d,2026-03-13,PLTR,150.95,65,157.12,145.9,4.1,151.95,Under,-13.5,14.9,150.76,-0.13,160.84,6.55,161.08,HIT TARGET
5%/10d,2026-03-12,TER,286.6,96,314.96,268.8,9.9,300.13,Under,40.7,-7.9,302.47,5.54,303.92,6.04,314.28,MISSED
5%/10d,2026-03-12,GLW,129.71,92,139.85,122.22,7.8,133.1,Under,45.5,-1.4,133.11,2.62,130.97,0.97,135.28,MISSED
5%/10d,2026-03-12,ETHA,15.64,76,16.33,15.17,4.4,15.58,Above,-32.6,8.3,16.17,3.39,16.28,4.09,17.82,HIT TARGET
5%/10d,2026-03-12,SLVR,67.67,72,73.4,64.23,8.5,70.3,Under,20.8,7.6,54.36,-19.67,53.98,-20.23,67.34,STOPPED OUT
5%/10d,2026-03-12,C,105.5,70,108.42,102.8,2.8,107.75,Under,-9.9,-5.0,109.84,4.11,111.64,5.82,113.39,HIT TARGET
5%/10d,2026-03-12,GS,787.33,68,809.63,765.56,2.8,815.17,Under,-11.3,-12.9,809.68,2.84,831.27,5.58,849.53,HIT TARGET
5%/10d,2026-03-12,XAR,268.68,42,275.34,263.14,2.5,275.84,Under,10.5,0.5,268.06,-0.23,262.84,-2.17,275.0,STOPPED OUT
5%/10d,2026-03-12,AMAT,337.4,92,361.25,327.79,7.1,345.98,Under,26.3,2.8,357.23,5.88,361.79,7.23,374.25,HIT TARGET
5%/10d,2026-03-12,FCX,59.2,90,62.32,56.67,5.3,60.78,Under,14.4,-4.5,53.59,-9.48,54.94,-7.2,59.06,STOPPED OUT
5%/10d,2026-03-12,LUV,38.6,88,40.91,36.78,6.0,41.42,Under,-6.7,-24.0,40.87,5.88,40.35,4.53,41.83,HIT TARGET
3%/10d,2026-03-11,GLW,131.78,93,139.3,122.32,5.7,132.43,Under,47.8,-0.9,129.82,-1.49,130.97,-0.61,135.28,MISSED
3%/10d,2026-03-11,SLVR,70.28,93,74.01,66.36,5.3,70.68,Under,25.4,-0.5,57.68,-17.93,53.98,-23.19,70.5,STOPPED OUT
3%/10d,2026-03-11,NRG,148.68,89,153.75,143.6,3.4,153.02,Under,-10.0,-7.5,159.12,7.02,151.77,2.08,162.98,HIT TARGET
